,Name,Review Rate,Review Time,Review Text
0,Cigaragua, 5 stars ,3 months ago,I had this urge to start smoking cigars all id the sudden. I had no idea about that so after a fast google search i ve found Cigaragua to be a well rated store. …
1,Cigaragua, 5 stars ,6 months ago,"We went there yesterday, we were a group of 6 with no much knowledge concerning cigars and this experience was really nice. We were really well advised and the people were so nice. It is really nice place to smoke and discover cigars with friends. Definitely nice, something we will remember. Thank you much ! :-)"
2,Cigaragua, 5 stars ,2 years ago,"Really superb place, largest walk-in humidor in EU (80m2!!) and even bigger lounge. I picked few singles and the guy working there was very helpful, even gifted me a lighter :o). It has all Nicaraguan cigars you can think of and more..."
3,Cigaragua, 5 stars ,3 years ago,"My favorite cigar lounge in Amsterdam, great place to (net-) work, make new friends and enjoy a smoke at the same time. Good wifi and coffee + drinks available. Though no Havanas sold at the shop, they have an amazing selection of …"
4,Cigaragua, 5 stars ,2 years ago,"Amazing cigar shop and lounge. Very friendly, knowledgeable and helpful staff. A must see for all the cigar lovers visiting Amsterdam!"
5,Cigaragua, 5 stars ,2 years ago,"Very friendly, personalized greeting by the manager and an amazing selection of Nicaraguan cigars. No Cubans here, but don't let that stop you. The Tatuaje Cojonu 2012 pressed cigars can complete with anything the Island has to offer. Nice …"
6,Cigaragua, 5 stars ,2 years ago,"Probably the best humidor I have ever been !

All Nicaragua is here, nicely presented, well stored, the staff is very …"
7,Cigaragua, 5 stars ,2 years ago,Very large selection of Nicaragua plus a comfortable smoking lounge with different drinks available. Knowledgeable staff to help selecting (if that is needed).
8,Cigaragua, 5 stars ,3 years ago,"This place deserves nothing short of a full five stars. The guy working there was very friendly and helpful. No rush. Talk, get you the right type of cigar for you and enjoy. The smoking room downstairs is so chilled. Everything you need to …"
9,Cigaragua, 5 stars ,2 years ago,"Absolutely amazing selection of cigars. Very friendly and professional service. The lounge is a great place to sit and enjoy a high quality cigar and, drink of choice."
10,Cigaragua, 5 stars ,2 years ago,"Paradise of cigars!!! The personnel was the best!! Very helpful, very friendly with great sense of humour!!! We loved these guys!!! Also you can rest your body among other smokers and enjoy a great cigar!!!"
11,Cigaragua, 5 stars ,2 years ago,"If you would like to extend your experience or develop your taste (coming from the Cuban side ;-) towards Nicaragua, this is the place: amazing selection, fantastic skilled sales persons with passion and joy, and on top of it: an cigar lounge to enjoy right on the spot, accompanied by a drink... Simply wonderful!"
12,Cigaragua, 5 stars ,a year ago,"Outstanding customer service and support.
Items delivered quickly well packed and in perfect conditions.
People working there are very Supportive."
13,Cigaragua, 5 stars ,2 years ago,"PARADISE ! For a cigars lover, it's a paradise. The shop is really big and you have a lot a choices at differents prices, the staff is really friendly and helpful. I didnt had the time to smoke here but the next time in Amsterdam i will !"
14,Cigaragua, 3 stars ,2 months ago,"The rating is for their online shop, which used to have a good selection, but now it only offers a very limited selection of box only purchases. What a pity"
15,Cigaragua, 5 stars ,4 years ago,"Friendly staff, good cigars and relax atmosphere in the smoking room. Definitely recommend this place! Especially good before visiting a concert at the concertgebouw, since it's open till 2100 every evening."
16,Cigaragua, 5 stars ,5 months ago,Lovely place .. knowledgeable people .. you can enjoy your time and your cigar there
17,Cigaragua, 5 stars ,4 years ago,"This is the place to be in Netherlands.. Service is excellent, cigars are out of this world. One of the best Shops I' ve ever stepped foot in. Well Done."
18,Cigaragua, 5 stars ,3 years ago,"I would give it more stars if I could. The selection of cigars is huge and is kept in a  room size humidor. The owner is extremely  knowledgeable and friendly, and if you are a beginner, he will help you find your favourite cigar, explain …"
19,Cigaragua, 5 stars ,2 years ago,"The largest collection of Nicaraguan cigars I've seen win a massive selection from their walk-in humidor. The lounge is very well kept, cozy, and has nice Xikar style lighters with every ash tray. Soft lounge music and gentle lighting …"
20,Cigaragua, 5 stars ,2 years ago,"I’m an American, currently sitting in the lounge of Cigaragua smoking one of the finest Nicaraguan cigars I’ve ever had the pleasure to smoke. Wonderful staff, friendly, helpful. I’m no expert concerning cigars but they were happy to get me …"
21,Cigaragua, 5 stars ,2 years ago,"Amazing store for cigar lovers. Very wide choice of cigars and equipment. The best thing is they have very quiet bar downstairs, with light music where you can drink coffee for free while smoking cigar you just bought of them. I recommend the place to all cigar lovers. Definitely worth seeing and smoking one there."
22,Cigaragua, 5 stars ,2 years ago,"I was there on Monday , 17th Feb. 2020. My third visit to the store. It isn't the best store in Amsterdam, Its the best in the Netherlands ! The selection of cigars is huge and the service and friendliness of the staff unrivalled.  It has a …"
23,Cigaragua, 5 stars ,4 years ago,Great customer service. Huge selection. Great smoking room. Open later than other places. Convenient location to public transport.
24,Cigaragua, 5 stars ,3 years ago,"Could this be the best cigar shop in Amsterdam? In Europe? In the world? A vast selection of Nicaraguan sticks in all façons and for every wallet. It's like paradise on earth if you like Nicaraguan cigars, and if you haven't tried smoking …"
25,Cigaragua, 5 stars ,4 years ago,Great cigars selection and good smoking room!!!
26,Cigaragua, 5 stars ,a year ago,"A very good selection cigars, very helpful staff and they take their time to advise you when needed. Nice and friendly atmosphere."
27,Cigaragua, 5 stars ,3 years ago,An incredible cigar emporium based near the museum quarter in Amsterdam. Really helpful and knowledgeable owner and if you've never tried a Nicaraguan cigar it's well worth a visit. One of the largest walk-in humidors and a smoking lounge downstairs to sample (enjoy) your purchase.
28,Cigaragua, 5 stars ,2 years ago,"Hands down the best place in amsterdam to buy (from an amazing selection) and enjoy a cigar on the spot. Cordial and friendly stuff, they make you feel like you are the most welcomed guest of the day."
29,Cigaragua, 5 stars ,2 years ago,"Heaven does indeed exist and its its called Cigaragua.

The level of service and knowledge provided by the workers is a virtue ive not …"
30,Cigaragua, 5 stars ,3 years ago,"Cigaragua Cigars totally deserves a 5/5, tge staff was more than wholesome, took the time to find us the perfect product even when aware we were not going to spend much. The shop is clean, very well equipped and the collection of cigars is just amazing."
31,Cigaragua, 5 stars ,5 years ago,"Nice bright - and well ventilated - smoking lounge, wide selection of Nicaraguan cigars. Next to this good selection of wines and local beers. Fine place to enjoy your cigar in peace and quiet."
32,Cigaragua, 5 stars ,2 years ago,"Great Nicaragua cigars selection, friendly staff and big and conformable lounge. Perfect place to have a smoke in a relax atmosphere with a glass of whiskey."
33,Cigaragua, 5 stars ,2 years ago,So proud that our Oliva Cigars received a nice spot in this amazing humidor and cigar lounge!  Widest selection of Nicaraguan cigars of the world; really worth a visit!
34,Cigaragua, 5 stars ,2 years ago,"Excellent selection of Nicaraguan cigars, nice lounge."
35,Cigaragua, 5 stars ,6 months ago,Amazing customer service for choosing the right cigar for you
36,Cigaragua, 5 stars ,2 years ago,Well where to start Romel what a wonderful lad so knowledgeable on cigars ! Very large selection and incredibly interesting to have a look ! But back to Romel cant believe how nice and friendly he was sat and smoked with us chatting away ! Would recommend to anyone
37,Cigaragua, 5 stars ,2 years ago,"I can't visit Amsterdam with a visit here. The staff is knowledgeable and offers good recommendations, and the lounge below is a nice place to have a drink while you enjoy your purchase as you watch football. Just remember to hang your jacket on the peg *outside* the lounge."
38,Cigaragua, 5 stars ,4 years ago,"A great selection of Nicaraguan cigars and truly excellent service.
The staff was knowledgeable. I also got help fixing a troublesome lighter.
Well worth a visit."
39,Cigaragua, 5 stars ,3 years ago,"Absolute must, Onno works there Tuesday to Thursday and Sunday, he is an expert, smoke cigars inside should you be invited to the separate smoking club downstairs, experience flavor development like you never have before, extremely reasonable prices for a top notch product. Cigar smoking course included free of charge."
40,Cigaragua, 5 stars ,a year ago,"Perfect online ordering experience. Next day delivery very carefully packed with air-bags,a free lighter and even a boveda pack!! I will definately order from Cigaragua again."
41,Cigaragua, 5 stars ,5 years ago,A feel like home atmosphere in a comfortable and well ventilated cigar lounge. The selection of Nicaraguan cigars tops 800 varieties......pure joy.
42,Cigaragua, 5 stars ,3 years ago,"This is my second time in Amsterdam and my third visit to this fantastic lounge.
The cigars, the ""know how"", the atmosphere ... They have everything. …"
43,Cigaragua, 5 stars ,4 years ago,Best cigar shop in Amsterdam with amazing staff. Such an amazing range
44,Cigaragua, 5 stars ,5 years ago,"Wow, what a selection... great cigars, good advice, very big smoking lounge which is very wel equipped for working as well as relaxing. If you love cigars and haven't visited this place..........."
45,Cigaragua, 4 stars ,3 years ago,"Visited 4 or 5 times. Very big collection of Nigaraguan cigars. You have to try some to decide which you like. My self would advise: Oliva, Padron, Drew Estate, San Cristobal. Lesser tastes for me: Tatuajo and Asylum Schizo."
46,Cigaragua, 5 stars ,3 years ago,The friendliest cigar shop in Amsterdam. Huge selection of Nicaraguans in a great walk-in humidor. Also possible to smoke in the lounge.
47,Cigaragua, 5 stars ,2 years ago,"Cigaragua is the places to visit if you enjoy, or are curious about, cigars. Wonderful lounge, great selections and a bunch of social smokers. I'll be BACK!!"
48,Cigaragua, 5 stars ,2 years ago,Amazing selection of cigars. Super helpful and friendly staff - found exactly the gift I was looking for.
49,Cigaragua, 5 stars ,3 years ago,"Can’t fault this place. A calm pleasant atmosphere, massive selection of cigars with knowledgable friendly staff and great prices."
50,Cigaragua, 5 stars ,4 years ago,Great range of Cigars they dont have Cohibas but they have lot of good flavor cigars and a place to smoke it. The staffs are very knowledgeable and great.
51,Cigaragua, 5 stars ,2 years ago,Great place for cigars with a smoking lounge downstairs. Great spot to relax the feet after walking miles of museums. Exclusively nicuaraguan.
52,Cigaragua, 5 stars ,3 years ago,Great american style humidor with all the cigars we are used to. No Cubans of for some reason you wanted one of those
53,Cigaragua, 5 stars ,4 years ago,Very kind people here. They have a great selection of cigars and the smoking Lounge is very comfortable.
54,Cigaragua, 5 stars ,2 years ago,It's always a pleasure to come back to this store. Friendly staff and cigar lounge to relax and enjoy a nice stogie
55,Cigaragua, 5 stars ,3 years ago,Excellent friendly service with good selection of cigars plus a lounge one can chill and smoke.
56,Cigaragua, 5 stars ,2 years ago,"Impressive selection of cigars with excellent service. Ask for Romel, you will be well looked after!"
57,Cigaragua, 5 stars ,2 years ago,"Best cigar store in town, they have all of the Nicaraguan top brands"
58,Cigaragua, 5 stars ,2 years ago,Top quality humidor & smoking lounge! Great cigars from the hottest producers in the world
59,Cigaragua, 5 stars ,2 years ago,"Great staff ,friendly .
Huge selection Huge walk in humidor
Lots of Nicaraguan all major brands"
60,Cigaragua, 5 stars ,2 years ago,Juste the best place I have ever been for cigar ... and It's only  from Nicaragua. Thank you I learne to much in few time ❤
61,Cigaragua, 5 stars ,3 years ago,Friendly and approachable host made it a pleasure to while away some time here. Huge selection of cigars too.
62,Cigaragua, 5 stars ,3 years ago,"Loads and loads of cigars, pretty much a candy store for cigar lovers😁 nice atmosphere, great customer service and friendly people"
63,Cigaragua, 5 stars ,2 years ago,Very professional staff with a very great and wide variety of cigars.
64,Cigaragua, 1 star ,2 years ago,I buy some cigars from that shop and the quality wasn’t good.I would recommend to buy only Cuban cigars.
65,Cigaragua, 5 stars ,2 years ago,"The place to buy cigars
You can get a lot of information
Large variety"
66,Cigaragua, 5 stars ,3 years ago,"Fantastic selection of Cigars, incredibly friendly staff, and very affordable. I'll be making a point of going back."
67,Cigaragua, 5 stars ,3 years ago,Excellent. There is nothing contrived here. No attitude. Highly knowledgeable and super friendly staff. They’ll walk you through their collection and find something appropriate for you. Casual and easy going.
68,Cigaragua, 5 stars ,2 years ago,Great place for a smoke. Good selection of Nicaraguan cigars.
69,Cigaragua, 5 stars ,4 years ago,I was visiting Amsterdam for a week and wanted a good cigar and wanted a place to chill Google this place Cigaragua I wad less then 10 miles away from schiphol airport nice atmosphere
70,Cigaragua, 5 stars ,2 years ago,"Real Cigar Shop.

Great Staff, Shop & Location. …"
71,Cigaragua, 5 stars ,2 years ago,"Great Nicaraguan selection, and they stay open after dinner. (A rare find here.)"
72,Cigaragua, 5 stars ,3 years ago,"Absolute must, Onno works there Tuesday to Thursday and Sunday, he is an expert, smoke cigars inside should you be invited to the separate smoking club downstairs, experience flavor development like you never have before, extremely reasonable prices for a top notch product. Cigar smoking course included free of charge."
