,Name,Review Rate,Review Time,Review Text
0,Club Church, 5 stars ,5 months ago,It was lovely and a lovely place to be my family (LGBTIQ). I was there WOW!!!!!!!!!!!!. I’ve taken my two Corona Vaccine now  I’m waiting for my CORONACHECK ACTIVATION to be able to visit again. I LOVE YOU GUYS!!!!!
1,Club Church, 5 stars ,5 months ago,"Hello, I am student in Amsterdam and Iw want to come to this club tomorrow.  I have got two dose of Corona vaccine but I don't use coronacheck app because I am not from here. I have certificate. Is it still okey to enter into the club?"
2,Club Church, 5 stars ,5 years ago,"This place is a must if you're visiting.  The themed nights work well.  Something for everyone.  Check the program before you go tho. Great DJs, awesome music.  Not the obvious sound you hear everywhere else.   But then again, check before you go..."
3,Club Church, 4 stars ,3 weeks ago,"Hello, what is the current update? is showing a negative covid test ok to get in?"
4,Club Church, 5 stars ,4 months ago,"Friendliest doorman , great music and downstairs is pretty fun :)"
5,Club Church, 5 stars ,5 years ago,"Only good memories!!!!!.....Fantastic Club...Great Theme Party's....Stunning Decorations....Ideal location....Friendly & Amazing hardworking Staff....It's a great place to party....an award winning club for year's already....works with talented DJ's & VJ's....organise the best ""AfterHours""....it's just....perfect ✌🏻❤🏳️‍🌈🏆"
6,Club Church, 4 stars ,2 years ago,"I visited Club Church on Wednesday, no clothes night. It was a ball.
Very friendly and helpful staff. No attitude patrons. Nice mix of guys, but majority were from late 20s to mid 40s. …"
7,Club Church, 5 stars ,2 years ago,"I really liked this club. Great fetish feel, some cool darkroom spaces, and good DJs. It can fluctuate from being pretty quiet to being really busy. The staff were super. I got to meet Chris and he's an awesome guy. Looking forward to my next visit!"
8,Club Church, 5 stars ,2 years ago,Really good vibes. Good mix between locals and visitors. Best place to go out on Thursdays. Friendly staff. It’s a place where you can be really comfortable with yourself and the rest of the people. And still have a lot of fun!
9,Club Church, 5 stars ,2 years ago,"Great place, like the openminded atmosphere,  just Be You and do You baby!!! Everyone is so nice and friendly!!! Props to the main Security always smiling and greeting people!!! And he makes You feel welcome and safe."
10,Club Church, 5 stars ,3 years ago,"Extremely friendly doorman. Bottom boys behind the bar can serve you well in any way possible.During gay pride loads of action, on balcony it gets really hot, literally! Maybe next year a fan would be a good idea. This is the perfect place for a top, you can choose from a variety of bottoms."
11,Club Church, 4 stars ,2 years ago,"The main gay club in Amsterdam. If you only have time to visit one I'd recommend this one. It's very different on different days of the week- Thursdays are my favorite, the most mixed (all genders welcome), most diverse - trans, gender …"
12,Club Church, 2 stars ,3 years ago,There was a posting here about the staff being deceitful. I share that sentiment.  Came here based off of a recommendation. I left my coat at the coat check with my blue tooth headset in there. I have NO DOUBT that it was in there. The …
13,Club Church, 5 stars ,4 years ago,"Blue on Thursday night is my favorite night out in Amsterdam. This is how a club should be: fantastic and attentive staff, good and cheap drinks, the best music in town and the greatest mix of people you will see in Amsterdam. All are welcome and everything is possible. As long as you are nice :)"
14,Club Church, 1 star ,3 years ago,"One of the worst places i went. Read many good things but really boring on fridays. Compare to the space there is a nicer place without a huge entrance fee that is Eagle Amsterdam, free to go, good DJ's great place and friendly staff."
15,Club Church, 5 stars ,3 years ago,"Wonderful place for an adventure or just to hang out.
I had a wonderful time twice while visiting Amsterdam.
I can't recommend it enough for the gay man with a pension for some fun."
16,Club Church, 4 stars ,2 years ago,"Perfect place if you wanna have some fun. Friendly staff, relatively clean, but closes a bit early from what is expected from this kind of places. Reasonable prices and was quite full also."
17,Club Church, 5 stars ,4 years ago,"Club Church, is a well designed club with fantastic music and great bartenders. Different theme every night so there's something for everyone. They even have a smoking room with glass doors so you can see who's inside."
18,Club Church, 1 star ,2 years ago,"I bought a ticket for the oil party, well in advance. There were a limited number of tickets and the event was sold out well before the event. On the night, everyone was made to line up outside, irrespective whether or not they had tickets. …"
19,Club Church, 5 stars ,2 years ago,"Awesome place to be on Thursday.. loved the vibes, the ambiance"
20,Club Church, 3 stars ,3 years ago,"Very underground place for ""nasty people (in a good way). During the gay pride in Amsterdam is one of the most visited places for gay people. Very small and a little dark. The music is ok. I went twice but I don´t think so I will return to this ""bar"". I"
21,Club Church, 5 stars ,3 years ago,"Whaha just to reply on
Keitaro Tamura
11 uur geleden- …"
22,Club Church, 5 stars ,3 years ago,Nice place for a sex club . Lot of different people there and different parties every week . If you just want to have fun you can go there alone or with friends and will definitely find sex there Haha:)
23,Club Church, 1 star ,4 years ago,"This place is going down!
After few weeks I went there and I see MORE woman than man! If you go twice you will realize it's mosty always the same people, excepting some tourists. …"
24,Club Church, 2 stars ,5 years ago,"If you are a casual visitor and want some sex in a sleazy place, this could be a fun club to pass by. If you go twice you will realize it's mosty always the same people, excepting some turists and normally not a young enviroment. If you are …"
25,Club Church, 5 stars ,5 years ago,"Me and my mates had a jamboree of a time here. If you like hip hopping, grooving and generally having a really roadman time then come shimmy on down here. Would recommend to families and old couples still in love XX"
26,Club Church, 1 star ,3 years ago,"Be very careful here, and watch your belongings. Very rude, deceitful, staff who would rather try to get rid of you than admit, and try to correct, their mistakes. Regular customer or not, they don't care, and treat you like an inconvenience."
27,Club Church, 2 stars ,6 years ago,I came here in a Thursday night at 23:00 staff are quite rude don't understand English speaking customers. I asked for a red bull and some cheap nasty can of crap ... I thought this was a gay crusing club ?? There are 20 women from a HEN party dancing .... Don't come here if your looking for a Fit lad ... But the music is ok !!!
28,Club Church, 5 stars ,3 years ago,"I really like this kind of clubs and I'm really happy to have the chance to visit this one while I'm here in Amsterdam.
I encourage any gay men to visit this place for a night of fun."
29,Club Church, 1 star ,2 years ago,"Im 20 and on naked day it was full of 50yo guys, they seemed like they had no standards just whatever ugly fat guy they could find the Latino bartender is hot tho"
30,Club Church, 5 stars ,3 years ago,An interesting club! Nice atmosphere and contingent! Friendly staff! Cool music! not enough shower cubicles! I advise everyone!
31,Club Church, 5 stars ,2 years ago,Went to the party called meat market was not si crowded but a lot of nice guys cruising around.
32,Club Church, 5 stars ,2 years ago,Fun. Different themed nights. Don't miss Blue on Thursdays. Great crowd and dancing.
33,Club Church, 5 stars ,5 years ago,"Had a fab time love this club.
I am definitely gonna plan a trip to Amsterdam soon and will be going to club church for sure!!"
34,Club Church, 5 stars ,4 years ago,"Just love this place. The craziest parties in the gay nightlife from Amsterdam.  A ""must go"" nightclub if you're a nasty pig!"
35,Club Church, 4 stars ,2 years ago,Don't be afraid to go here. The atmosphere is safe and relaxed and the music is great.
36,Club Church, 5 stars ,5 years ago,"Love this club. Great crowd, hot guys. I went there for the naked night and had a blast."
37,Club Church, 4 stars ,2 years ago,Great place for a hot night :) they should have longer opening times though :)
38,Club Church, 5 stars ,3 years ago,Fun place for a night out. Nice bar staff and great music
39,Club Church, 5 stars ,3 years ago,Really fun night if you have an open mind its a great time 😉
40,Club Church, 3 stars ,2 years ago,"Not bad for a night out, definitely on the weekend. A bit dull on weekdays."
41,Club Church, 5 stars ,3 years ago,"Great place for night out. Very 'hot' atmosphere, friendly staff!"
