,Name,Review Rate,Review Time,Review Text
0,Club Smokey, 2 stars ,6 months ago,"We came here around 12.00 am. No other customers at all. Only us. We ordered a fruit smoothie and a milkshake.
The staff here honesty is bored and a little rude. Not kind for sure"
1,Club Smokey, 5 stars ,3 weeks ago,"Nice vibe with amazing shisha, good place to watch your foot all games too"
2,Club Smokey, 5 stars ,3 months ago,"Staff were very friendly and prices were also very cheap, location was great and the atmosphere was amazing! Would highly recommend visiting here!"
3,Club Smokey, 1 star ,7 months ago,"Very rude, no customer service. 5 people who were working only one was serving the other 4 were chilling outside while it's hella busy #fridaynight."
4,Club Smokey, 4 stars ,7 months ago,Club Smokey iş a choice of tourist who want to have fun after midnight. Crowd and music quality is not quite good but ıt's ok if you wanna meet new people. Cover charge was like 6 Euros but this price may change depends on security guys at …
5,Club Smokey, 4 stars ,2 years ago,Brilliant night in here last weekend! Music was decent and atmosphere was buzzing. Security guards where sound ! Smokeys had decent shot deals to! We will be sure to be back here next time!
6,Club Smokey, 4 stars ,2 years ago,"Heard that is one of the only ones where you can smoke and have a drink so I thought it was cool. The milkshakes looked pretty good but missed having one. The annoying parts was that the bathroom is 50 cents and I bought a joint of ""hash n …"
7,Club Smokey, 5 stars ,a month ago,"I love thisclub, small club but nice service ❤"
8,Club Smokey, 5 stars ,4 months ago,"Good vibes, owner is a legend. Very nice party music"
9,Club Smokey, 5 stars ,4 months ago,"Just perfect.
Great service.
Good music.."
10,Club Smokey, 1 star ,a year ago,Staff was quite rude to us. We ordered a shisha and then each person at the table was forced to order drinks even though some didn't want any. Toilets were 50c even though we had payed for drinks and shisha. …
11,Club Smokey, 1 star ,8 months ago,"I swear to god, we waited 4 hours for a drink. And they are so unfriendly there. Don’t go there if you want to chill in Amsterdam. Inshallah you find a other placeIg: Fabian.ahm"
12,Club Smokey, 5 stars ,2 years ago,"Great atmosphere, quite small but really enjoyable, great live DJs"
13,Club Smokey, 5 stars ,3 weeks ago,"Great place, loved it!"
14,Club Smokey, 1 star ,a year ago,"We payed for a shisha, and then everyone was asked to pay for a drink. The toilets were also 50c even after buying drinks and shisha. This is not okay, the service was borderline rude and one of our cocktails didn't taste good"
15,Club Smokey, 5 stars ,2 years ago,"Went out on a Tuesday and it was incredible! Awesome beats and great atmosphere, friendly staff. €4 tequila shots, was such a good night! So glad we found this place. Highly recommend"
16,Club Smokey, 3 stars ,2 years ago,"The music is very good but it's a small place. So when it's crowded it can get uncomfortable. The drinks are expensive, as well, and they weren't anything spectacular for the amount I paid. …"
17,Club Smokey, 5 stars ,4 months ago,"I come here many times, just for sitting on the rembrandtplein and drink some coffee"
18,Club Smokey, 2 stars ,a year ago,"The hookahs ( shisha ) had no mouth piece, we asked for one and didnt get any. The coals were small and the tables weren't stable. Staff were just okay"
19,Club Smokey, 5 stars ,2 years ago,Visited a few times when on my trip to Amsterdam. It was a great place to party with a great and atmosphere and good selection of people in there. It has a smoking area outside and the prices are the same as all the other joints there. Good experience.
20,Club Smokey, 2 stars ,2 years ago,"Loved the few late night drinks and club atmosphere, but the front door reception/policy is awful. No welcome. No friendly smile. No"" hallo"". No ""goedenavond"". No ""goedemorgan"". Just the bodily search and frisk by bored, uninterested young …"
21,Club Smokey, 3 stars ,3 years ago,"Difficult to give a rating. Music is nice, it’s the only club we find open everytime we come in amsterdam. Prices are ok.. with a 30euro for a bottle of prosecco beeing our favorite. But most of the times the bodyguards are absolutely rude. …"
22,Club Smokey, 4 stars ,2 years ago,Really good night out! The crowd was very mixed and fun and the DJ played some good music.  Good  venue for tourists and free entry! Would definitely return again
23,Club Smokey, 4 stars ,6 months ago,not a bad joint. mainly for tourists.
24,Club Smokey, 1 star ,2 years ago,"Really great place, just a real shame the  blonde woman with a bad attitude in there tries to charge 3 euros for tap water and double the price 15 euros for a drink. The other staff are all lovely though."
25,Club Smokey, 2 stars ,3 years ago,"It's full, the drinks are ok, but the club hosts a DJ which is playing the catchy part of every song and stops after 30 sec and and switches to the next... Total atmosphere killer."
26,Club Smokey, 1 star ,3 years ago,"The bouncer (doorman) is racist and aggressive. My friends and I were here and they made us leave for no reason. When asked why, they wouldn't answer. Do not go here, other places are better"
27,Club Smokey, 4 stars ,2 years ago,"Nice people. Good music at times and for once, nice security who gave us a bottle of free prosecco to enjoy our night!"
28,Club Smokey, 4 stars ,2 years ago,"Fun place. People were going really crazy. DJ had mixing skills and a good selection of international, but also local tracks. Would come back."
29,Club Smokey, 4 stars ,4 months ago,Nice spot with friendly staff
30,Club Smokey, 5 stars ,4 months ago,Very nice
