,Name,Review Rate,Review Time,Review Text
0,Cocotte, 5 stars ,a month ago,"Excellent experience! You get the whole package: quality, quantity, presentation of the food, served by a friendly and caring staff, bathed in an authentic french playlist :) The real galettes bretonnes that I struggle to find elsewhere in the Netherlands. I highly recommend it"
1,Cocotte, 5 stars ,2 weeks ago,"Perhaps one of the coziest cafés in the center of Amsterdam. Great place to hide from the crowds and take a moment. I ate a Galette Normandie and it was delicious. Lovely interior design, music and owners. Un petit coin de France en plein cœur d’Amsterdam, parfait."
2,Cocotte, 5 stars ,5 months ago,"Def worth the discovery. Lovely small corner cafe that does amazing breakfast, brunch all day menus. I had the brunch with orange juice, freshly baked baguette rolls with really nice salty butter, black coffee, and a buckwheat pancake …"
3,Cocotte, 5 stars ,8 months ago,"Love this cute cosy French place.
Amazing galettes - I really recommend the  one called A'dam. I'm also a fun of this tiny salad that they serve you with the galette (even though it has …"
4,Cocotte, 5 stars ,3 weeks ago,"This place is a tiny piece of France in the middle of Amsterdam. The owner is the kindest person in the world and once you try one of his crepes, you feel immediately in a traditional french crêperie! Finally, I will suggest you to try the Suzette. One of the softest and most delicate treasures of this gem!"
5,Cocotte, 5 stars ,8 months ago,Beautiful and cozy place where to spend a little time for an excellent hot chocolate and french crêpes. Very nice and smiling staff.
6,Cocotte, 5 stars ,7 months ago,"Cute french café and crêperie in the centre of Amsterdam, a bit of a french cultural heritage with great crêpes and gluten free crêpes!!! Definitely will be visiting way more in the future! C'est trés bon!"
7,Cocotte, 5 stars ,a month ago,Beautiful savoury galettes and crêpes French style. Don't expect to find Dutch small pancakes (poffertjes). Very enjoyable.
8,Cocotte, 5 stars ,2 years ago,"I like this little French dessert place in the city. It actually fit my category of dessert that night. If you look at my photos they serve hot chocolate pretty different, hot milk and chocolate separate and condensed milk. The milk adds sweetness without overwhelming it. Try their crepes. So cozy it feels like you're in France."
9,Cocotte, 5 stars ,7 months ago,Very high quality french owned crepperie. Drinks and food were outstanding(in particular the salted caramel creppe and the chai latte).
