,Name,Review Rate,Review Time,Review Text
0,Coffeecompany, 4 stars ,2 years ago,This is the Dutch version of Starbucks. The atmosphere is very similar to Starbucks and is very well catered to those Apple students that like to study and drink. …
1,Coffeecompany, 5 stars ,2 years ago,"Amazing location, good ambience, and good coffee. Close to the university. It's also a great place to sit and work or study!"
2,Coffeecompany, 4 stars ,5 years ago,A good coffee in the morning at my favorite coffee place #Coffeecompany offers the best coffee
3,Coffeecompany, 5 stars ,a month ago,"Overstaffed place, but it was a good coffee"
4,Coffeecompany, 5 stars ,4 months ago,"Great coffee and snacks, amazing baristas"
5,Coffeecompany, 5 stars ,2 years ago,"Spacious, quiet, enough charging places, perfect for weekend reading."
6,Coffeecompany, 4 stars ,3 years ago,"Quality coffee with lots of alternative milk options (soy, coconut, etc.). Nice vibe and friendly employees, but not all seating places give you as much space as you'd like when you sit down to enjoy your coffee or other drink."
7,Coffeecompany, 4 stars ,5 years ago,"A nice place to grab a coffee and chill for a while, maybe finish something you were working on or simply checking mail. You can charge your mobile phones or connect your laptop. The place is quite big and you can always find a place where …"
8,Coffeecompany, 4 stars ,3 years ago,"Pretty chill Coffee Company. Was here on a Saturday and it wasn’t too crowded, lots of places to sit and plug in your laptop or phone. Good place to work or study. It’s near the Hogeschool van Amsterdam so I can imagine it being super crowded during weekdays."
9,Coffeecompany, 3 stars ,a month ago,Overpriced average coffee.
10,Coffeecompany, 4 stars ,4 years ago,Quite a big location. I like the coffee's served at CC. Has stairs to the bathroom so not ideal for people who can't move around easily. Generally mostly visited by students that live/study in the neighborhood.
11,Coffeecompany, 3 stars ,3 years ago,"Ok company. Really depends on the person standing there how the service will be. I do not recommend the red velvet cake, because its way too sweet. They put white chocolate and cream on top and normal chocolate inside... Couldn't finish it because I felt sick of it"
12,Coffeecompany, 4 stars ,5 years ago,"Great place to grab a coffee, a bite, charge your electronic devices and browse the web. The place has free fast WiFi, and plays comfortable music at a moderate volume. The table in the middle has loads of outlets for people looking for …"
13,Coffeecompany, 2 stars ,3 years ago,"This place unfortunately turned to the dog walking station of careless dog owners. It is very likely that a dog will touch you when you are focused working and the owner will only laugh. They just don't understand not everybody has to be a dog lover, especially if you have a serious allergy."
14,Coffeecompany, 5 stars ,a year ago,Really nice place. Lovely outdoor seating area. I had a yogurt drink which was yummy.
15,Coffeecompany, 5 stars ,2 years ago,"Nice Staff, Good Atmosphere and great (vegan) coffee :) my favourite coffee chain and place to worl from! Can recommend every outlet of theirs ive been to!"
16,Coffeecompany, 5 stars ,7 months ago,Great cafe with nice food and staff
17,Coffeecompany, 5 stars ,a year ago,Great coffee to go. All kind of special coffees and teas service with a kind service!
18,Coffeecompany, 5 stars ,11 months ago,"We frequently visit this spot, and it's consistently good, with great service."
19,Coffeecompany, 4 stars ,2 years ago,"Most quiet coffee company I've been to and staff is nice!

Only thing is the WiFi is unusable, just use 4G when you come here."
20,Coffeecompany, 4 stars ,2 years ago,"A nice coffee place, commonly frequented by students from the nearby university. Staff is friendly, but I hardly ever see the same face twice."
21,Coffeecompany, 4 stars ,4 years ago,"Friendly service, good coffee and food. Not a lot in the way of sit-down breakfast food (that we could see), more takeaway pastries and muffins etc."
22,Coffeecompany, 5 stars ,4 years ago,"Because Coffee Company is a franchise, you should not expect a unique experience. However, the crew is really friendly and the location is great."
23,Coffeecompany, 5 stars ,2 years ago,Hot chocolate was nice and warm on that rainy day. Very nice and atmosphere and experience. Pastries a bit overpriced
24,Coffeecompany, 4 stars ,3 years ago,"This CC ia pretty chill but still overpriced coffee ;) However, most of the staff is very friendly and customer oriented, which makes me happy."
25,Coffeecompany, 4 stars ,4 years ago,Ham and cheese is quite nice. Caramel cappuccino also great! Nice music and cool casual place.
26,Coffeecompany, 5 stars ,2 years ago,Quick bite and black coffee. Good place for reading or browsing with your laptop. Toilets upstairs.
27,Coffeecompany, 5 stars ,2 years ago,"Amazing place to have your coffee, feels like home... 😜"
