,Name,Review Rate,Review Time,Review Text
0,Coffeecompany, 4 stars ,2 weeks ago,"This small coffee shop is very comfortable with sofas where you can sit. The coffee is really good. The choice if cakes and pastries is very limited. They are all good but if your goal is to eat something, it is not the right place to go to."
1,Coffeecompany, 5 stars ,5 months ago,"I like the overall atmosphere of this specific location. If you plan to study/work - they have a dedicated table specifically for that. Music is not too loud, and the coffee is decent. They have both espresso and filter coffees which you can pair with a delicious variety of snacks. Highly recommended"
2,Coffeecompany, 5 stars ,6 months ago,Great coffee good atmosphere relaxed break from shopping
3,Coffeecompany, 5 stars ,7 months ago,"This is such a good place! They have coffee companys all around the country! I visited so many and I was never disappointed! Most of their coffee is better then Starbucks coffee, and they are cheaper then Starbucks 🤣 though they don't have all of the crazy coffee that Starbucks has to offer. Definitely recommend!"
4,Coffeecompany, 3 stars ,5 months ago,"It's OK, not sure what happened. During COVID the coffee was undrinkable, now it is just OK. Pre Covid it was one of the better coffee places."
5,Coffeecompany, 4 stars ,4 months ago,Nice coffee and good variety of snacks. Love their flat white and filter coffee.
6,Coffeecompany, 5 stars ,a month ago,Nice place in the middle of the mall. Coffee is great.
7,Coffeecompany, 1 star ,4 years ago,"The worst service and bad coffee ever!! I have been to many coffee company in Amsterdam. This is the worst one that I visited. First of all, I ordered a medium size of iced moka with my coffee stamp card; the staff charged me as large size! …"
8,Coffeecompany, 5 stars ,3 years ago,Very nice place and nice coffee. Open on Sundays is a bonus. Nice atmosphere and very friendly staffs. They have some Dutch and English books as well if you are a vivid reader.
9,Coffeecompany, 5 stars ,4 years ago,Nice place in the middle of the shopping center. Coffee is good and convenient sitting
10,Coffeecompany, 3 stars ,a month ago,"There are no power plugs in this branch, and I realized this too late 😐"
11,Coffeecompany, 2 stars ,2 years ago,I used to be a fan of coffee company. Lately I am changing my mind. 50% of times they forget to add the caramel. I don't understand why they don't come up with a system that avoids misunderstandings between the barista and the guy taking …
12,Coffeecompany, 4 stars ,11 months ago,"Good to spend some time relaxing in between the shopping...the coffee is good, the pastry ok-ish...the price are a bit high, but it is normal in Amsterdam."
13,Coffeecompany, 5 stars ,3 years ago,"Nice cozy place. Drinks a little bit on the expensive side compared to Starbucks, but the Quality was quite good and I really enjoyed the ambience as well. Definitely would recommend this place for a quick cup of coffee or for getting some work done in a nice comfortable place"
14,Coffeecompany, 2 stars ,3 years ago,"the coffee quality is not really good, so definitely avoid it if you are a coffee lover. In saying that after the 2 chances I have it and thus my rating. Otherwise it's an ok place, good for families as it has toys for children and so you can combine that with a break of your shopping."
15,Coffeecompany, 5 stars ,2 years ago,"Best Coffee Company I’ve been to so far!
The frozen vanilla cappuccino was way more flavorful than several other CCs I’ve been to before. It is also cheaper than Amsterdam Centrum (which isn’t that surprising, but still.) They also offer free water with mint and lemon :)"
16,Coffeecompany, 2 stars ,3 years ago,"Not too crowded and with tasty coffee. The prices of this coffee chain are ridiculous, though, especially for the small cappuccino, which is tiny like a small espresso! If you want coffee to go, just visit the one next to Albert Heijn instead."
17,Coffeecompany, 2 stars ,3 years ago,"I love coffee company in general but this particular joint ALWAYS has employees that just don't think before they act. They were cleaning the CEILING getting dust EVERYWHERE, into the coffee and into our lungs, and this was around 2:30 when …"
18,Coffeecompany, 4 stars ,2 years ago,"This coffee shop is located behind a warm mall in Amsterdam south. It was nearby my hotel, so it was my coffee destination while my visite to Amsterdam 2018. I ordered capachino and found it awesome."
19,Coffeecompany, 3 stars ,5 years ago,"Quite comfortable here, nice atmosphere. Quality of the coffee depends on the skills of the barista. They microwaved my panini... damage was €5!"
20,Coffeecompany, 5 stars ,6 months ago,The best coffee around Gelderlandplein!
21,Coffeecompany, 2 stars ,2 years ago,The staff is so rude....and the coffee is always at room temperature inspite of saying that it needs to be extra hot. I wouldn't recommend going here.
22,Coffeecompany, 4 stars ,a year ago,"Good service, pretty okay coffee, excellent location"
23,Coffeecompany, 5 stars ,3 years ago,"21 gram, a strong espresso!"
24,Coffeecompany, 4 stars ,2 years ago,"Great coffee, but an espresso cup should be pre heated if you want to serve a real one ..."
25,Coffeecompany, 5 stars ,3 years ago,Nice coffee. A bit expensive but definitely worth it.  Very polite and friendly people.
