,Name,Review Rate,Review Time,Review Text
0,Coffeeshop De Overkant, 5 stars ,4 months ago,"The staff is really nice and I really enjoyed the atmosphere. They have games (really nice) and I loved the music, overall just gave me living room vibes."
1,Coffeeshop De Overkant, 5 stars ,4 months ago,"Very friendly good weed, our favorite place so far"
2,Coffeeshop De Overkant, 5 stars ,a month ago,"Friend, helpful staff, great atmosphere and great smokes 👍"
3,Coffeeshop De Overkant, 5 stars ,5 months ago,Very nice location. Good stuff and very kind personal.
4,Coffeeshop De Overkant, 5 stars ,3 years ago,"10/10 coffeeshop, excellent buds, not too busy and the staff are all lovely, would highly recommend"
5,Coffeeshop De Overkant, 5 stars ,5 months ago,Warm and cozy atmosphere and very friendly staff.
6,Coffeeshop De Overkant, 5 stars ,2 years ago,Sat out here in the sun this morning. Came here yesterday too. It's great. I love to come to coffeeshops further out...this one is by far the best and friendliest. After smoking for around 12 years ...I recommend Neville's haze. It's fantastic. Great prices. And the hot chocolates are great. The edibles are also very good.
7,Coffeeshop De Overkant, 5 stars ,2 years ago,This was definitely my favourite place to smoke and relax felt comfortable and at ease staff very friendly and chatty witch is just lovely makes you feel welcome had some laughs here and would definitely recommend anyone to go. The music is …
8,Coffeeshop De Overkant, 5 stars ,3 years ago,"Great shop, just far enough away from the town centre to avoid the queues! The staff are great, knowledgeable and chatty, the forbidden fruit weed and lemon haze hash are to die for! If you fancy a quiet smoke and coffee, check it out, you wont be disappointed !"
9,Coffeeshop De Overkant, 5 stars ,2 years ago,Cozy coffeeshop just outside the city center with lots of space to sit outside. Friendly staff and good selection. Would recommend you try out their Girl Scout Cookies strain.
10,Coffeeshop De Overkant, 5 stars ,3 years ago,"Great relaxed place. Not to busy , very light and clean. But with a relaxed rustic feel, there are bored games available. …"
11,Coffeeshop De Overkant, 5 stars ,2 years ago,"Just out of the busy part of town, nice and quiet, nice bud"
12,Coffeeshop De Overkant, 5 stars ,5 years ago,"Good vibe, a small shop with a small amount of seats inside but some room outside. They sell stuff in really nice plastic tubs, would recommend for fruity flavours."
13,Coffeeshop De Overkant, 5 stars ,4 years ago,"Lovely staff.
Way better prices than the centre.
Also very chilled, didn't feel pressured like in lots of other places"
14,Coffeeshop De Overkant, 5 stars ,3 years ago,"Great coffeeshop with nice staff, drinks and beverages are reasonably priced and the atmosphere is very calm and nice. Great music playing while we were there."
15,Coffeeshop De Overkant, 1 star ,2 years ago,"Asked for a high CBD, tobacco free preroll and got a tobacco filled preroll instead. Owner stated that the preroll box came with nicotine level ratings by default.. and that it was pure mj. Ripoff."
16,Coffeeshop De Overkant, 5 stars ,a year ago,Very Smart and nice Lady. Great customer service and nice seats outside!
17,Coffeeshop De Overkant, 3 stars ,2 years ago,"Nice shop! Quiet and reflect for first timers in Amsterdam.

Recommended for beginners"
18,Coffeeshop De Overkant, 5 stars ,4 years ago,The lady working when I was in was beyond friendly. So nice and enthusiastic. Great atmosphere.
19,Coffeeshop De Overkant, 5 stars ,4 years ago,Best pre-rolls I've seen in Amsterdam yet - because they are actual fat spliffs ! 😄
