,Name,Review Rate,Review Time,Review Text
0,Coffeeshop Nice Place, 5 stars ,4 years ago,Nice cozy coffeeshop with friendly staff. We really enjoyed the weed we took there :)
1,Coffeeshop Nice Place, 4 stars ,a year ago,"Tasty and strong weed(mako's haze), firefly budtender, good vibe, and nice customers. Didn't know about this shop until I rode by and thought I'd get half a gram. Not disappointed, very nice shop"
2,Coffeeshop Nice Place, 5 stars ,3 years ago,"Loved this place . It is really a NICE PLACE, a nice spot to go. Found this randomly and it was the best thing that happened. Very good people, very friendly, good hearted owner. And I highly recommend. Obviously I will return. When in Amsterdam. Big love from Portugal ❤🔝🔝"
3,Coffeeshop Nice Place, 5 stars ,6 years ago,"Nice quiet place with a homely feel, vibe is friendly and the staff more than happy to chat. Weed quality is average for Amsterdam but that's not the reason why you want to come here, it provides a nice escape from the hustle and a great …"
4,Coffeeshop Nice Place, 5 stars ,5 years ago,"Excellent service and well priced dope. Hot coffee and some really nice strains to try out. Hash is worth a try, especially the Moroccan stuff! Top 3 places for sure, guy behind the counter is a top bloke."
5,Coffeeshop Nice Place, 5 stars ,3 years ago,"Nice place is a great name that shouts out the nice staff. Good prices, good quality and a wide range of drinks. Fella at the bar has some great customer service. They have a little internet cafe part which is something I haven't seen in other places."
6,Coffeeshop Nice Place, 5 stars ,2 years ago,"We're visiting from Canada and loved this place. Calm, comfortable atmosphere, and good quality product. Bartender is very nice as well and spoke perfect english."
7,Coffeeshop Nice Place, 5 stars ,3 years ago,"50 metres from my front door! ✌

Nice weed & hash, good prices and the pre-rolled are discounted if you buy 5. Guys that work there are chill and speak multiple languages. 🏅"
8,Coffeeshop Nice Place, 5 stars ,2 years ago,"Best place in Amsterdam. Not full, and the owner who usually works there is the best. One night he played Bob Marley and everything was fine."
9,Coffeeshop Nice Place, 5 stars ,2 years ago,"Very friendly staff, products you cannot complain about, and a really nice local atmosphere. Plus, there's a lovely cat there who loves a bit of fuss 🙂"
10,Coffeeshop Nice Place, 5 stars ,3 years ago,"Very nice place. Good weed selection, good prices. The also gave us some sweet treats when we were leaving"
11,Coffeeshop Nice Place, 5 stars ,2 years ago,"Adnan you are an awesome man . I will deffinitely come back. Not just for the really good and affordable  weed, coffe or other stuff, but to see you.
Really Nice Place ❤ I highly recommend it ."
12,Coffeeshop Nice Place, 5 stars ,8 years ago,"This one is truely the best ""Buurtshop"" in Amsterdam. The atmosphere is as nice as the staff is. The prices are really good, and the menue is great! The ""Nice Special* is one of the best strains We've ever tried! Go there and enjoy!"
13,Coffeeshop Nice Place, 5 stars ,a year ago,"Nice and cozy Place, good Weed, fair prices, friendly staff and also a cool cat."
14,Coffeeshop Nice Place, 5 stars ,5 years ago,Love coming here for some really nice product! Also love how the dude behind the counter treats everyone. He is very helpful and so so polite! Highly reccomend !
15,Coffeeshop Nice Place, 5 stars ,3 years ago,"Great coffeeshop, good prices and even better weed. Great place to have a sit down and chill with a nice cup of tea or some soda."
16,Coffeeshop Nice Place, 5 stars ,4 years ago,"Cool coffee shop, this was our 1st stop when we got to dam. Right next to our apartment nipped here 1st. Decent little shop with some decent peng."
17,Coffeeshop Nice Place, 5 stars ,2 years ago,"The true, the place is really cozy, and the owner is soo nice guy, for sure I ll be back"
18,Coffeeshop Nice Place, 5 stars ,5 years ago,Love this place so relaxing and chilled out we get a perfect service every time would highly recommend nice special
19,Coffeeshop Nice Place, 5 stars ,7 years ago,"Great little coffee shop, nearby our hotel. The staff was friendly, nice selection. Great coffee as well!"
20,Coffeeshop Nice Place, 5 stars ,6 years ago,"Great coffee shop with nice weed, owners are wicked, perfect coffee ☕ definately recommend!!"
21,Coffeeshop Nice Place, 5 stars ,6 years ago,Great little Coffeeshop in a quiet area of Amsterdam. Very friendly owner who makes the best latte ever
22,Coffeeshop Nice Place, 5 stars ,5 years ago,"Amazing,  top quality service.
Nice atmosphere and high quality stuff!  10/10"
23,Coffeeshop Nice Place, 5 stars ,3 years ago,It's a calm local place with great weed and people
24,Coffeeshop Nice Place, 5 stars ,4 years ago,The bartender was very nice and friendly... nice atmosphere
25,Coffeeshop Nice Place, 4 stars ,4 years ago,Very nice and quiet place attended mostly by locals
26,Coffeeshop Nice Place, 5 stars ,8 months ago,Best place in town 💯
27,Coffeeshop Nice Place, 5 stars ,2 years ago,Good atmosphere. I liked it
28,Coffeeshop Nice Place, 5 stars ,2 years ago,"Good atmosphere, cheap weed"
29,Coffeeshop Nice Place, 4 stars ,3 years ago,Nice staff and best coffee in Amsterdam
30,Coffeeshop Nice Place, 4 stars ,4 years ago,"It is what is says on the sign, a nice place."
31,Coffeeshop Nice Place, 5 stars ,3 years ago,You have your peace there
32,Coffeeshop Nice Place, 5 stars ,3 years ago,A very nice place ha ha 👌
33,Coffeeshop Nice Place, 5 stars ,2 years ago,A super nice place.
34,Coffeeshop Nice Place, 5 stars ,3 years ago,My favourite place in the world
35,Coffeeshop Nice Place, 5 stars ,3 years ago,Nice place for real👌🏻
36,Coffeeshop Nice Place, 5 stars ,5 years ago,Wow.
37,Coffeeshop Nice Place, 5 stars ,4 years ago,Top
38,Coffeeshop Nice Place, 5 stars ,3 years ago,the best in the place!
39,Coffeeshop Nice Place, 5 stars ,2 years ago,"(Translated by Google) Very good place of reception, I go there several times and the days are as much like the reception, the atmosphere and the hygiene of this one which is very important! …"
40,Coffeeshop Nice Place, 5 stars ,6 years ago,"(Translated by Google) Great grass, good prices too, the cheese is exquisite as well as the special that they have .. The pre-cooked good made for real. Friendliness and availability, thanks Maria x the tips. And then they also have a nice …"
41,Coffeeshop Nice Place, 5 stars ,5 years ago,(Translated by Google) So we were there for 3 days. The staff is super friendly and very accommodating and they advise without profit. We bought 2 and sat down again and again and bought something to drink and chill and smoke. …
42,Coffeeshop Nice Place, 5 stars ,3 years ago,"(Translated by Google) Located across from a lovely park in the great The Pipe district, this coffee shop opens early and the staff were very welcoming. (The Moroccan Hospitality is much less cold than the Dutch one.) We spent hours there …"
