,Name,Review Rate,Review Time,Review Text
0,Coffeeshop Papillon, 5 stars ,2 years ago,"The choice is here, as in most coffeeshops in the country.

There is a small area where you can relax with a cup of coffee. …"
1,Coffeeshop Papillon, 4 stars ,3 months ago,High prices and man can't smoke there. The quality is good
2,Coffeeshop Papillon, 5 stars ,a year ago,"Great staff. Always helpful, polite and willing to answer any questions their customers ask them about their products. …"
3,Coffeeshop Papillon, 4 stars ,2 years ago,"On Thursday, the guy is super cool and the quality is good. Thanks [FR / + 00h00] 👍"
4,Coffeeshop Papillon, 5 stars ,2 years ago,"Great coffeeshop, have been here a couple times before. The vibe is always super chill and the staff are very friendly and give proper advice. They recently hired some new additions, not too sure about the guy but the girl with the …"
5,Coffeeshop Papillon, 4 stars ,8 months ago,"Nice coffeshop. Friendly staff, but the selction of weed and hash could be better."
6,Coffeeshop Papillon, 5 stars ,4 years ago,"Great coffee shop, was here last week to meet a friend. Clean, nice natural light and great coffee, snacks and other beverages too. Staff is great. Met a very cool guy Vlad from Kazakhstan and his local friend Alex. Wish I gotten either of …"
7,Coffeeshop Papillon, 3 stars ,3 years ago,"The weed (at least the white widow, 9 euros a gram) is fine, but the space muffins are a total waste of money. The place is quite small, but the smoking room provides a good ambiance to chill and meet new people. The staff is open to your questions."
8,Coffeeshop Papillon, 5 stars ,3 years ago,"I was in Papillon in July of last year. Nice selection of strains, the staff is super-friendly, and the sitting places (the couch) is very comfortable. The place has got a really cool local vibe. Had a very nice experience last year, and, as I'll be coming to Amsterdam on Sunday, I will definitely pay Papillon a visit."
9,Coffeeshop Papillon, 5 stars ,2 years ago,"Really chilled atmosphere, helpful staff & not always busy. Really good selection of music plus you can watch tv while smoking your weed."
10,Coffeeshop Papillon, 5 stars ,6 years ago,"An awesome, little coffee shop with young and friendly service. Nice music to chill with your herbs. Good prices and the best hot chocolate in whole Amsterdam! Short: it's worth a visit! …"
11,Coffeeshop Papillon, 5 stars ,2 years ago,"My first time in this coffeeshop. The budtender (blonde girl) was helpful and funny. Got the Cookie Kush, Candy Kush and LA Silver. Prices are okay, 15 E a g for the top shelf. The kushes were nice. Great frost and trimming. The Candy could …"
12,Coffeeshop Papillon, 5 stars ,a month ago,"lekker!
Perfect Service
Perfect Atmosphere …"
13,Coffeeshop Papillon, 4 stars ,3 years ago,"Nice coffee shop with good atmosphere, very clean and friendly staff. Not to expensive and smoke very good. Personal taste I didn't like the music they were playing."
14,Coffeeshop Papillon, 5 stars ,3 years ago,"Papillon was our regular haunt in Amsterdam. Our hotel was right across one of the canals from de Pijp, and it was a quick seven-minute walk to Papillon. I stopped by most mornings, and most evenings. Never crowded, always clean and …"
15,Coffeeshop Papillon, 5 stars ,5 years ago,"I'm here right now at half nine in the morning. Coffee, muffin and a smoke, only three of us. This looks more like a lounge than a bar, I'm liking it. So nice music. Friendly, comfortable."
16,Coffeeshop Papillon, 2 stars ,7 years ago,"Went there last week and seemed nice, went there this week and was turned away for not buying a drink. I've been all over Amsterdam and in a lot of coffee shops at this point and never after buying weed been told I couldn't stay and smoke. Wasn't very impressed."
17,Coffeeshop Papillon, 5 stars ,4 years ago,"Great staff, quality product. This is a MUST in Amsterdam for us."
18,Coffeeshop Papillon, 5 stars ,2 years ago,Wonderful place to smoke and chill
19,Coffeeshop Papillon, 5 stars ,2 years ago,"Dope for chilling inside on sofas, hash is crazy good and the weed 12€ + is also dope, and there are also cheaper options than 10"
20,Coffeeshop Papillon, 5 stars ,4 years ago,Hands down the best coffeeshop in the area. Other bigger coffeshops relatively close but doesn't beat papillon. Chilled atmosphere and good selection of bud! I suggest the strawberry kush
21,Coffeeshop Papillon, 5 stars ,3 years ago,"really nice place to just chill and hang out, the two people working were friendly and answered all my questions. great stuff for decent price"
22,Coffeeshop Papillon, 4 stars ,6 years ago,"Quiet and clean place good stuff sold there.
Although its small and maybe not that popular but has great atmosphere. Recommended!"
23,Coffeeshop Papillon, 4 stars ,4 years ago,Good serivice and kind employees. Good explanation of the products they sell to. They serve good coffee aswell and a nice place to sit for a while and enjoy what you bought there.
24,Coffeeshop Papillon, 5 stars ,3 years ago,Friendly coffeeshop seems to cater mostly for locals. Nice quiet chill spot. And the weed is quite good compared to some other coffeeshops in amsterdam
25,Coffeeshop Papillon, 5 stars ,5 years ago,Was my first coffeeshop in Amsterdam and still go there times to times when I show it to somebody. Would recommend it. The staff is very friendly and it is really cosy inside :)
26,Coffeeshop Papillon, 4 stars ,4 years ago,First time visit. Friendly girl was working there. A nice cozy place to sit and enjoy one of there many pre rolled joints
