,Name,Review Rate,Review Time,Review Text
0,Crea Caf√©, 4 stars ,4 months ago,"Cool cafe next to a theater, hosting creative activities and courses, lovely sitting on the outside next to the canal."
1,Crea Caf√©, 5 stars ,7 months ago,"Marvelous student café, extremely friendly staff and very relaxed music and atmosphere. Prices are VERY reasonable, perfect for a quick  bite with the optional drink!"
2,Crea Caf√©, 5 stars ,8 months ago,"They have a really great location, food prices and often host interesting events, would recommend! Also have a piano in the bar."
3,Crea Caf√©, 5 stars ,5 months ago,"Lovely place, good cappuccino and kind staff."
4,Crea Caf√©, 5 stars ,5 months ago,"great snacks and drinks, v nice personell :))"
5,Crea Caf√©, 1 star ,a year ago,"Cheap drinks, nice lamp and very close to comedy show.
Tense atmosphere, strange layout, weird service.
Offered Club Mate as a replacement for Red Bull for a Jaeger Bomb, which is unacceptable."
6,Crea Caf√©, 4 stars ,3 years ago,"Great atmosphere, and great beers and snacks. The cheepest draft beer is 2,30 but if you're in the mood for IPA's or other ""exotic"" beers, they have plenty of these as well. However, prices are quite steep (5,00 for an alternative beer). …"
7,Crea Caf√©, 5 stars ,5 years ago,Best place for UvA students to hang out. Excellent coffee served.
8,Crea Caf√©, 4 stars ,3 years ago,Local University of Amsterdam watering hole.  Ordered some pemgen (spicy meatballs) and a Serrano ham sandwich with two pints of Grolsch.  Food was good and so was beer.  They take Visa and MasterCard.  We've discovered not all places in Amsterdam do.  Cozy atmosphere with some couches and small pub style tables.
9,Crea Caf√©, 5 stars ,5 years ago,"Student run café, always a great atmosphere, very busy! A reasonable selection of beers, and a good selection of simple, homey food for an excellent price."
10,Crea Caf√©, 2 stars ,2 years ago,Several times their unprofessional staff kept us waiting while others were served  who came later to the bar. I won't go there anymore. It's really a disappointment.
11,Crea Caf√©, 5 stars ,3 years ago,My favorite place at university. They have a  great vibe and amazing staff. Can only recommend. Thanks for being awesome guys 😁
12,Crea Caf√©, 5 stars ,2 years ago,"Lovely café, mostly visited by students, great environment, good prices and different spaces where to sit."
13,Crea Caf√©, 5 stars ,5 years ago,Very nice place for students and non-students. Good and drink is cheap but the environment is very good.
14,Crea Caf√©, 4 stars ,3 years ago,"Good place with nice food at a reasonable price. Can get a bit crowded, but there's probably a good reason for that .."
15,Crea Caf√©, 4 stars ,5 years ago,"Been here for the NerdNite, but the bar is super cute even after. Good beers and a nice student vibe."
16,Crea Caf√©, 5 stars ,4 years ago,Nice cozy place to enjoy a drink with some fellow uneversity students. Staff is nice and helpfull.
17,Crea Caf√©, 5 stars ,5 years ago,"Always managed to find a place to sit for groupwork. Prices are quite student-friendly, at 2-3 euros per hot drink."
18,Crea Caf√©, 5 stars ,4 years ago,"Friendly staff, cheap and with good food/drink options. Popular among students."
19,Crea Caf√©, 5 stars ,2 years ago,"Best place in Amsterdam for a drink, always a nice atmosphere, I especially appreciated the staff, amazing beautiful people !"
20,Crea Caf√©, 5 stars ,2 years ago,Nice place for afterwork beer with out-of-town business guests
21,Crea Caf√©, 5 stars ,3 years ago,Great atmosphere! The dood is cheap and good- they have sandwiches and soups
22,Crea Caf√©, 5 stars ,5 years ago,"Enjoy a hipster spot, with loud music and a retro pinball machine. An ideal place for students!"
23,Crea Caf√©, 5 stars ,2 years ago,Lovely place. It is in CREA just in the entrance next to events hall where Nerd Nite takes place.
24,Crea Caf√©, 3 stars ,5 years ago,Staff is a little slow and the service is confusing. But the coffee is ok and the atmosphere is cozy.
25,Crea Caf√©, 5 stars ,3 years ago,Nice bar and great performances. Check out the Friday improv show.
26,Crea Caf√©, 5 stars ,a year ago,Studentcafe and social centre with good ambience and prices.
27,Crea Caf√©, 5 stars ,2 years ago,For college students offers a menu good prices in the heart of the city
28,Crea Caf√©, 5 stars ,3 years ago,"Nice place, good atmosphere. Mostly students."
29,Crea Caf√©, 4 stars ,4 years ago,Decent food. It's a good lunch spot close to UvA.
30,Crea Caf√©, 5 stars ,3 years ago,"Cosy and comfortable, nice people. Typically student café."
31,Crea Caf√©, 4 stars ,3 years ago,Always nice to be there. I just not like that they are always crowded!
32,Crea Caf√©, 5 stars ,2 years ago,The place to have a coffee/ beer if you study in Roeterseiland Campus!
33,Crea Caf√©, 3 stars ,5 years ago,Pleasant student and local hangout. Nice terrace too
34,Crea Caf√©, 5 stars ,2 years ago,"Great place to work, chat, eat and drink comfortably"
35,Crea Caf√©, 5 stars ,2 years ago,A big cozy place that can have groups of people
36,Crea Caf√©, 3 stars ,4 years ago,"Service has much to be desired, but the location makes this place the obvious choice. If you are here, you are here"
37,Crea Caf√©, 5 stars ,2 years ago,Cheap bear for students.
38,Crea Caf√©, 5 stars ,6 years ago,"nice place for shows, a lot of students"
39,Crea Caf√©, 5 stars ,3 years ago,Very good place to eat I love this place
40,Crea Caf√©, 4 stars ,3 years ago,Cheap and cheerful canalside bar.
41,Crea Caf√©, 5 stars ,3 years ago,Part of UVA departement of psycology studies
42,Crea Caf√©, 5 stars ,2 years ago,Excellent for a study break!
