,Name,Review Rate,Review Time,Review Text
0,Crepes & Wafles, 5 stars ,a month ago,Absolutely amazing waffles with endless topping possibilities. Staff was super friendly and helped with suggestions because it's hard to choose when you have so many options. Will definitely be going back on my next visit to Amsterdam!
1,Crepes & Wafles, 5 stars ,3 months ago,"We were overwhelmed by the amout of waffle places in amsterdam, but fortunately we choose this one. It is a lovely walk from Central Station. The interior is vibrant and creates a warm atmosphere. The staff was very kind and the waffles tasted amazing. Very good value for your money. I recommend trying."
2,Crepes & Wafles, 5 stars ,6 months ago,"The waffles are a must here, best we’ve ever had! I recommend choosing your own toppings, the pre-made dishes on the menu looked way too heavy on the sweet side. We decided to get a waffle and crepe both with cheesecake cream, strawberries, …"
3,Crepes & Wafles, 4 stars ,4 months ago,Nice place for a quick bite to eat. Sweet or savoury options on offer. Nice seating area. Corinavirus Cert needed to dine in.
4,Crepes & Wafles, 5 stars ,2 weeks ago,Lovely food . Staff were brilliant. So friendly
5,Crepes & Wafles, 5 stars ,5 months ago,Really nice staff. And the waffle was delicious as well.
6,Crepes & Wafles, 4 stars ,3 years ago,Amazing crepes & waffles...however my caramel waffle was SO SWEET...my teeth were aching while I was eating it.  Huge variety of waffles & crepes to choose to from.... many vegetarian options.. A bit pricey though.. Restaurant is very clean …
7,Crepes & Wafles, 5 stars ,2 years ago,"Late night awesome snacks in Amsterdam?  This place!

We visited every night when we stayed in Amsterdam. Just happened across it with …"
8,Crepes & Wafles, 5 stars ,5 months ago,"I discovered this place passing by and really amazed me! The waffles are awesome! All ingredients seems to be super fresh and the ladies are so nice! If you are in the area for a treat, please stop by and you wont disappoint!"
9,Crepes & Wafles, 2 stars ,4 months ago,"Waffel and crepes are really fresh and tasty. The staff is friendly and a place is nice too. However, we went during rush hour (Saturday, after 4PM) and we had to wait 40min for our order. Also, there is no WC inside."
10,Crepes & Wafles, 5 stars ,a month ago,Good waffles. Very friendly employees. Had options to charge my phone. Neat place and restroom.
11,Crepes & Wafles, 5 stars ,2 years ago,"Among so many similar shops I picked up this one and was happy to get back there. The staff is helpful and professional, the pricing is clear and trasparent (I was not impressed to visit in Amsterdam some shops that do not display the price clearly!), and of course the quality of the waffles and fruit / ice cream is good."
