,Name,Review Rate,Review Time,Review Text
0,Daily Sushi, 5 stars ,11 months ago,"I haven’t had any similar experiences as other negative reviewers. I enjoy having sushi from here since it doesn’t have anything extra (if you’re international, you’ll know what I mean - some sushi in this country is fusion or made with …"
1,Daily Sushi, 1 star ,9 months ago,"In 5 years in Amsterdam i haven't had worse sushi than today. I ordered from Uber eats from this place, order came super quick, 2 items were delivered wrong, sushi was warm , i don't know if it was delivery or where they keep it, tuna was …"
2,Daily Sushi, 5 stars ,2 years ago,My favourite place for teriyaki chicken
3,Daily Sushi, 5 stars ,a year ago,"Ordered yesterday and it was sooo delicious.
It's true that the delivery takes its time, but that's totally ok!
The suhsi rice and the fried shrimp/unagi were still warm which was so perfekt. The rolls are very big and the rice was seasoned very well."
4,Daily Sushi, 4 stars ,a year ago,"Super fast delivery and good food
We got sushi & some of warm dishes"
5,Daily Sushi, 5 stars ,3 years ago,Good quality and priced sushi! Will go again
6,Daily Sushi, 1 star ,a year ago,The sushi came warm and the rice was chewy also the fish was not fresh. To pricey for the law quality.
7,Daily Sushi, 1 star ,8 years ago,Purchased via justeat.nl. No delivery after 1.5 hours. Made several phone calls to the number provided in the receipt as well as listed online to which only one was picked up and promptly disconnected. …
8,Daily Sushi, 1 star ,2 years ago,"I've never eaten poorer quality sushi.  I was satisfied with the delivery but when I opened the box I was shocked: everything was crushed in a small box, all sushi collapsed, looked completely unattractive.  the rice was sour,  composition of the sushi is not as described, the price is high enough and the quality is tragic."
9,Daily Sushi, 5 stars ,7 years ago,Had the daily deluxe menu and it was great
10,Daily Sushi, 5 stars ,5 months ago,"(Translated by Google) I order sushi here regularly, it's always fresh and super delicious! And the employees are always very nice and helpful - recommended!! …"
11,Daily Sushi, 5 stars ,6 months ago,"(Translated by Google) Delicious freshest sushi, definitely recommended.

(Original) …"
12,Daily Sushi, 1 star ,10 months ago,(Translated by Google) Fast delivery but sushi all mashed ... tuna and salmon clearly from the previous day as well as the Uramaki .. event not to be repeated total dissatisfaction …
13,Daily Sushi, 1 star ,6 years ago,"(Translated by Google) If I could give MIN stars, I would have done it ... on a Tuesday evening at 19.45, ordered sushi, telling them it would be there at 8.30 p.m. This then changed to 9 p.m. When it was not yet there at 9.30 pm they told …"
14,Daily Sushi, 5 stars ,2 years ago,"(Translated by Google) Top sushi. Made ready while you wait

(Original) …"
15,Daily Sushi, 3 stars ,6 years ago,"(Translated by Google) I ordered via home delivery at 19.15, received a text at 19.40 that the delivery would arrive at 19.49. my food arrives at 19.48! …"
16,Daily Sushi, 5 stars ,3 years ago,"(Translated by Google) Good service and very tasty. Good sushi

(Original) …"
17,Daily Sushi, 1 star ,3 years ago,"(Translated by Google) I've been to the worst restaurant, and the servant attitude of the clerk is so bad …"
18,Daily Sushi, 5 stars ,2 years ago,"(Translated by Google) Delicious sushi and fast delivery!

(Original) …"
19,Daily Sushi, 5 stars ,3 years ago,"(Translated by Google) In addition to my order for sushi, I had ordered 2 portions of mini spring rolls. I got 14 instead of 16. I called and I apologized nicely and I got a free portion of mini spring rolls in return. Very neat and thanks! …"
20,Daily Sushi, 4 stars ,2 years ago,"(Translated by Google) However, delicious sushi parking was a challenge located at a metro station …"
21,Daily Sushi, 1 star ,4 years ago,(Translated by Google) Really the Vieste takeaway sushi ever. Made too spicy with chilli powder. What a mess. …
22,Daily Sushi, 5 stars ,2 years ago,"(Translated by Google) Delicious sushi !!!

(Original)
Heerlijke sushi!!!"
23,Daily Sushi, 3 stars ,4 years ago,"(Translated by Google) Sushi is tasty, but the delivery time is never right. Always way too late. …"
24,Daily Sushi, 3 stars ,5 years ago,"(Translated by Google) the employee at Diemen-Zuid was very friendly, and my order was ready very quickly. The sushi itself was rolled very loose, so that with every dip in the soy sauce the rice fell out. …"
25,Daily Sushi, 5 stars ,3 years ago,"(Translated by Google) Leaky sushi

(Original)
Lekke sushi"
26,Daily Sushi, 4 stars ,3 years ago,"(Translated by Google) good sushi

(Original)
goeie sushi"
27,Daily Sushi, 1 star ,4 years ago,"(Translated by Google) Have waited an hour pfff

(Original)
Heb een uur gewacht pfff"
28,Daily Sushi, 4 stars ,3 years ago,"(Translated by Google) Was delicious

(Original)
Was lekker"
29,Daily Sushi, 5 stars ,5 years ago,"(Translated by Google) Bistro, delivery, takeaway, delicious, cheap!)))

(Original) …"
30,Daily Sushi, 5 stars ,8 months ago,"(Translated by Google) First sushi.

(Original)
Prima sushi."
31,Daily Sushi, 2 stars ,4 years ago,"(Translated by Google) Meh

(Original)
Meh"
32,Daily Sushi, 5 stars ,4 years ago,"(Translated by Google) Have I been here?

(Original)
我来过这儿吗？"
33,Daily Sushi, 5 stars ,a year ago,"(Translated by Google) Fast, fresh

(Original)
Snel, vers"
34,Daily Sushi, 5 stars ,3 years ago,
35,Daily Sushi, 1 star ,2 years ago,
36,Daily Sushi, 5 stars ,3 years ago,
37,Daily Sushi, 4 stars ,2 years ago,
38,Daily Sushi, 1 star ,4 years ago,
39,Daily Sushi, 5 stars ,2 years ago,
40,Daily Sushi, 5 stars ,3 years ago,
41,Daily Sushi, 4 stars ,2 years ago,
42,Daily Sushi, 2 stars ,3 years ago,
43,Daily Sushi, 4 stars ,3 years ago,
44,Daily Sushi, 1 star ,2 years ago,
45,Daily Sushi, 2 stars ,2 years ago,
46,Daily Sushi, 1 star ,4 years ago,
47,Daily Sushi, 3 stars ,2 years ago,
48,Daily Sushi, 5 stars ,2 years ago,
49,Daily Sushi, 3 stars ,2 years ago,
