,Name,Review Rate,Review Time,Review Text
0,De Barderij, 2 stars ,3 years ago,"So everything was cool and nice. We ordered a couple of beers, we wanted to see a world cup match. Staff were friendly albeit visibly bored.
After the beers come in, I just ask for a glass of water, they tell me they only …"
1,De Barderij, 3 stars ,3 years ago,"Staff was not really friendly, however the place was cool to hang out and grab a drink. 2€ for peanuts ... Could be free to be honest when you pay 4 beers for a total of 26€ adding 2€ for peanuts is not really fair :/"
2,De Barderij, 5 stars ,4 years ago,Excellent bar with variety drinks. The bartender Ms. Alva is nice to talk to she makes the time to chat with customers. Quiet too which makes it easy to talk other customers.
3,De Barderij, 5 stars ,3 years ago,"It was my first time in Amsterdam and this was a very nice place to enjoy a beer, the stuff was so much friendly and also very nice to have conversation with!! I highly recommend it and hope to be there soon"
4,De Barderij, 5 stars ,9 years ago,Friendly staff. Reasonable selection of beer other than Heineken! Nice views of the canal from the back cubby. And on a good night you might find some eye candy!
5,De Barderij, 1 star ,3 years ago,Very expensive. We had happy hour. One beer 2 Euro. We ordered 4 and have to pay 27 euros.
6,De Barderij, 1 star ,6 years ago,"I'm shocked at how badly my boyfriend was treated in your place today! Being Syrian he is used to getting racist remarks but being asked whether he enjoyed Köln at New Years after telling one of your staff, that he studied in Germany is a …"
7,De Barderij, 3 stars ,3 years ago,Nice pub to go out for a pint and good music.
8,De Barderij, 5 stars ,3 years ago,"Great little pub, staff really friendly"
9,De Barderij, 3 stars ,8 years ago,"Old-fashioned music, not good for young people. The ornamentation is nice though."
10,De Barderij, 4 stars ,5 years ago,"Gay bar for elderly, locals and hotspot with King's Day and Hartjesdagen."
11,De Barderij, 5 stars ,3 years ago,Good  I like  the idea and the place  👌👌👌🍝🍻all what I have good
12,De Barderij, 4 stars ,4 years ago,"Good music, tasty beer!"
13,De Barderij, 5 stars ,5 years ago,Felt at home at first instance.
14,De Barderij, 3 stars ,3 years ago,"(Translated by Google) It's a very quaint bar, but the beer is just too expensive here. Sure you're in the center of Amsterdam, but seriously, 6 € for half a liter, you're never completely clean. Koa wonder that you all go to Bavaria to …"
15,De Barderij, 2 stars ,4 years ago,(Translated by Google) It has unfortunately not been what it used to be since January 2017. The atmosphere of the past is gone. A scantily clad lady now has to keep the tourists inside. Unfortunately.. …
16,De Barderij, 3 stars ,3 years ago,"(Translated by Google) 6 euros for 1 pint. But I like bars that are almost empty, so I'm talking about it. …"
17,De Barderij, 5 stars ,3 years ago,"(Translated by Google) New owners, top staff, good music, requests, nice offers

(Original) …"
18,De Barderij, 5 stars ,5 years ago,"(Translated by Google) It is a very nice place to be, especially in the tickle garden …"
19,De Barderij, 4 stars ,5 years ago,"(Translated by Google) Cozy, really Amsterdam !! Nice sympathetic service!

(Original) …"
20,De Barderij, 4 stars ,3 years ago,"(Translated by Google) Cozy pub on the seafront
Nice bar at the Zeedijk …"
21,De Barderij, 4 stars ,5 years ago,"(Translated by Google) Small, but very cozy

(Original)
Klein, maar toch erg gezellig"
22,De Barderij, 5 stars ,3 years ago,"(Translated by Google) Unfortunately, it no longer exists

(Original)
Helaas bestaat niet meer"
23,De Barderij, 5 stars ,3 years ago,"(Translated by Google) Very nice

(Original)
Très sympa"
24,De Barderij, 1 star ,4 years ago,"(Translated by Google) Pitiful welcome and service

(Original)
Accueil et service pitoyables"
25,De Barderij, 3 stars ,8 years ago,"(Translated by Google) Music bad

(Original)
Music slecht"
26,De Barderij, 3 stars ,5 years ago,"(Translated by Google) Nice pub

(Original)
Leuke kroeg"
27,De Barderij, 5 stars ,4 years ago,
28,De Barderij, 2 stars ,3 years ago,
29,De Barderij, 5 stars ,3 years ago,
