,Name,Review Rate,Review Time,Review Text
0,De Duvel, 5 stars ,7 months ago,"Great food and ambience. We ordered the sweet potato fries, Regular fries, chicken club sandwich, chicken toastie and salmon omelette. All of these items were cooked to perfection and were delicious. Also visited for dinner and got the …"
1,De Duvel, 5 stars ,a year ago,"An absolutely brilliant place to spend a great evening. Perfect balance of great food, broad selection of drinks and quick service. …"
2,De Duvel, 5 stars ,a month ago,"Great neighborhood spot, food never disappoints. Also really nice owners, one time they offered to hold my dad’s fish in the fridge when he got locked out of our apartment. Love it!"
3,De Duvel, 5 stars ,4 months ago,One of my fav place to hang out. Hoodie-and-jeans type of hangout. Typical de pijp place
4,De Duvel, 1 star ,2 weeks ago,"This old review down below is now a distant past but I am going to leave it there as a reminder on how easy it is to screw up a business. After the pandemic, this place has turned into a miserable joint where you could spend more than half …"
5,De Duvel, 5 stars ,4 years ago,"I've been coming to this place for a long time and the food is still great! The staff is super nice and the whole atmosphere in the restaurant is in overall really good. The food is heavenly and they change up the menu from time to time, to match the season you could say. Love this place!"
6,De Duvel, 5 stars ,a month ago,Lovely night. Lovely food. Good service. Great company!
7,De Duvel, 4 stars ,3 years ago,"Nice place; outside seating is good for people watching.  Only had coffee and desserts here, and they were good."
8,De Duvel, 5 stars ,9 months ago,"Really liked it! Didn’t have much expectations for the brunch menu(chose it mainly because of  covered, heated terrace) but our chicken and roasted veggie sandwiches turned out to be good! Will visit again!"
9,De Duvel, 5 stars ,2 years ago,"Excellent reception, my wife and I were passing by amsterdam and stopped for lunch. When we ordered, we asked for the dinner menu by mistake, but they even though, they took or order anyway."
10,De Duvel, 5 stars ,3 months ago,"Two things to definitely try: the steak, and definitely the carpaccio! Absolutely fantastic with a beer to go with it!"
11,De Duvel, 4 stars ,3 years ago,"Really good local beer, eating was good but pulled pork wasn't recently cooked or too cooked. All in all is agood place to eat."
12,De Duvel, 4 stars ,3 years ago,"Nice atmosphere, good música playing, good location but the menu doesn't have many options."
13,De Duvel, 5 stars ,4 months ago,"Nice and cosy atmosphere, very tasty burrata!"
14,De Duvel, 5 stars ,2 years ago,Everything we tried was good. I guess that means we have confidence with the full menu! Cheers guys
15,De Duvel, 4 stars ,3 years ago,Very affordable lunch at great location. The lunch menu has a nice variation of dishes for decent prices. We had the Surinam chicken open sandwich and the quinoa & lentils salad. Both full of flavours and served in decent portions. Don't …
16,De Duvel, 5 stars ,4 years ago,"Had a superb meal hear with a few work friends.  Good atmosphere and away form the tourist areas as I think it's in an area generally frequented by locals.  There are also lots of other restaurants in the area.  We had 3 great meals, …"
17,De Duvel, 4 stars ,5 years ago,"Yep, portions could be a little more generous considering the price but that's the only improvement point I can think of. …"
18,De Duvel, 4 stars ,3 years ago,"Pleasant and relaxed atmosphere. Three appetizers were very good. Of two mains, Pumpkin ravioli was bland but the Steak was perfect. very attentive staff."
19,De Duvel, 5 stars ,4 years ago,"The food was great, well thought of dishes. My girlfriend and I were pleasantly surprised. Staff was friendly and attentive even though it was really busy. I wouldn't recommend going there on a Saturday evening (like myself) if you want to have dinner in a cozy atmosphere."
