,Name,Review Rate,Review Time,Review Text
0,De Ebeling, 5 stars ,3 months ago,"Great menu.

Amazing service and very tasty gin tonics. …"
1,De Ebeling, 4 stars ,3 months ago,"Busy and loud, but have great cheerful and youthful vibe. I like coming there for early dinner to eat their great flammkuchen. Then, the tables are put away and the party starts. If you don’t mind the crowds and loud music, you will have a great evening!"
2,De Ebeling, 5 stars ,2 weeks ago,"One of the best nacho platter I had.
Really nice aperol spritz too!
For an aperitif style highly recommended!
Staff super nice & attentive !"
3,De Ebeling, 1 star ,2 months ago,"I can only assume that the 4.1 comes from trendy hipsters with more money than taste or sense.
The staff are rude, arrogant, unhelpful. The food is banal, often badly prepared …"
4,De Ebeling, 4 stars ,4 months ago,"Located on the Overtoom and a quick walk from the Vondelpark or Marriott, but also a quick walk from the non touristy areas further west or south. …"
5,De Ebeling, 5 stars ,2 years ago,"One of the best places in Amsterdam city to have a decent meal for great price! The Flammkuchen was amazing!!! The staff is very friendly and proactive. There is very little waiting time, but you can sit outside and chill with your friends …"
6,De Ebeling, 5 stars ,2 years ago,Lovely cafe with great food and cozy environment. I had a burger and it was very yummy 😋 🍔 …
7,De Ebeling, 4 stars ,2 years ago,Nice spot on the overtoom. Good for after work drinks for groups and lunch in the sun too. I had the pastrami and tryffle mayo flamkucchen and the smashed avocado and egg (with bacon) open sandwich. Both very tasty. The staff were really nice and the tunes are tyypically good. Really solid spot for me and my work friends.
8,De Ebeling, 4 stars ,4 months ago,"Good atmosphere, a bit different post covid, less busy. Looking for food? Try the flamkuchen, they are all as delicious !"
9,De Ebeling, 4 stars ,4 years ago,"Decent cafe/pub to go for drinks and/or food with a lively atmosphere in the evenings. They serve a nice selection food and also pints (which seems to be rarer in Amsterdam)! Large choiceof alcoholic & non-alcoholic drinks, lunch and dinner …"
10,De Ebeling, 4 stars ,4 years ago,Pretty great veggie burger! Friendly service. But very noisy at night. Had a nice meal and good beer!
11,De Ebeling, 4 stars ,2 years ago,Nice pub. Quick service. Good beer selection. Liked it. Nice and fresh!
12,De Ebeling, 5 stars ,8 months ago,"Quite possibly one of the best Burger's I've had, even the chips were Banging! Which is very rare for restaurants thea days.. lovely house beer also 👍👍👍👍👍"
13,De Ebeling, 2 stars ,a year ago,What an experience. A place worth visiting with friends. It is worth the time to spend. I really want to advice people to visit this place. Cozy but i hope the workers will have more interpersonal skills. I ordered a drink with my friend. …
14,De Ebeling, 2 stars ,2 years ago,Lovely place and good atmosphere. Have been there a few times and their staff (although most of them friendly) seem very chaotic and uncoordinated the last few times. Three different servers at the table asking about drinks and still ending …
15,De Ebeling, 5 stars ,a month ago,"Big and comfy , nice one to go for dinner"
16,De Ebeling, 5 stars ,2 years ago,"Nice brunch/lunch spot. A friend who lives nearby visits all the time as his go to place.
We had a traditional dutch, possibly German, style pizza, a burger with the lot …"
17,De Ebeling, 4 stars ,2 years ago,"Great bar; decent prices, good amount of snack food and several variations of gin and tonic. Atmospheric lighting and friendly bar staff offer an all round enjoyable experience. …"
18,De Ebeling, 4 stars ,2 years ago,"Nice place for drinks and eat after work (if you find a table, better to book). Nice place with nice service and quality. Not a place to go you want a quite drink/dinner. Its usually packed with lively people... Me included 😁"
19,De Ebeling, 5 stars ,a year ago,"Cool place with flair, good beer and delicious brugers."
20,De Ebeling, 5 stars ,2 years ago,"I had 5days in Amsterdam in September , as fate would have it .I had to eat almost every meal here.
I was really lucky , de Ebeling is just wonderful . A large amount of patrons …"
21,De Ebeling, 4 stars ,3 years ago,Yummy food - decently priced.
22,De Ebeling, 5 stars ,5 years ago,"Having outdoor seating, this place is buzzy on warm summer days, especially after work. …"
23,De Ebeling, 5 stars ,2 years ago,We've been there for the first time. the card is in dutch but still easy to find the things you like to eat. the vegan burger (with extra cheese) was delicious and i had the best crispy fries ever! we'll come up again :) oh and try the homemade ice tea with jasmin..mhmmmm
24,De Ebeling, 5 stars ,3 years ago,Had our first meal here after arriving in Amsterdam and continued to do so regularly for the almost 4 years we lived there. Burgers are amazing. Staff is nice. Loved to sit outside during summer and have one of their delicious Flammkuchen. Keep it up!
25,De Ebeling, 5 stars ,2 years ago,"We loved this restaurant. We rarely go to the same restaurant twice on vacation but we went to this restaurant twice! The drinks are great! I had the burger and my husband had the tuna melt both were amazing! Great service, friendly staff, & delicious food!"
26,De Ebeling, 3 stars ,3 years ago,"Always very busy. 2 years ago i made a reservation for my birthday for around 50 people 3 months ago, and the place they provided was for like, 20 people max. They said we could expand as other tables leave but whats the point of a reservation then? All in all, overrated, much nicer places are there."
27,De Ebeling, 5 stars ,5 years ago,"A great casual restaurant, one of my favourites in Amsterdam. Some good beers available. Nice outdoor seating in front of the restaurant. Reassuringly busy without being uncomfortably crowded. Menu offers a good selection of very tasty …"
28,De Ebeling, 5 stars ,2 years ago,Great place to enjoy a view drinks. Good price quality for amsterdam.
29,De Ebeling, 5 stars ,3 years ago,I had an amazing burger here with a prawn patty and kimchi. It's really good to see something a little different and creative on the menu as far as burgers are concerned. Also had a G&T here which was very good. The gin selection is this …
30,De Ebeling, 5 stars ,2 years ago,Had breakfast here! Really recommend it!
