,Name,Review Rate,Review Time,Review Text
0,De Nieuwe Lelie, 5 stars ,4 years ago,"Love this place. Been all around Amsterdam the last few days but we find ourselves coming back here the last couple of nights. Pool table on the bottom floor, nice bar in the middle with really friendly bar keepers, and space upstairs …"
1,De Nieuwe Lelie, 5 stars ,2 years ago,"A neighborhood spot where locals frequent. Though near a touristy part of Amsterdam, you will find more residents than tourists here. Good beer,  and if a football match is happening, it will be on the three small TVs above the bar. The …"
2,De Nieuwe Lelie, 5 stars ,2 years ago,"Very cozy with a nice atmosphere, laid back and friendly, some nice beers not the biggest selection compared to some more specialist places but still plenty. Well worth a visit"
3,De Nieuwe Lelie, 5 stars ,2 years ago,A lovely place to sit outside!
4,De Nieuwe Lelie, 5 stars ,4 years ago,"Beautiful, classic Amsterdam beer Cafe in the heart of one of Amsterdam's beautiful Jordaan. The area has become a bit more touristy and full of Air B&B's but the streets are still beautiful, and this is a great Cafe for a beer out front with a great view of the streets of Jordaan."
5,De Nieuwe Lelie, 5 stars ,2 years ago,Beautiful outdoor dining on a quiet but great people watching corner. The food was delicious and the waitress was wonderful!
6,De Nieuwe Lelie, 5 stars ,4 months ago,"Nice little local pub. Friendly service, warm and comfortable."
7,De Nieuwe Lelie, 5 stars ,a year ago,My husband introduced me to this charming brown bar several years ago. This is his absolute favorite place in the Jordaan neighborhood to catch up with the friends he’s made there in the past 20 years. Now this has become my favorite place for many years!
8,De Nieuwe Lelie, 4 stars ,5 months ago,"Nice place in a quite back street....
Good for a rest and ""meditation""
Worth finding."
9,De Nieuwe Lelie, 5 stars ,3 years ago,"One of my favorite bar of Amsterdam. Quite small, a few outside tables (neighbors are not fond of noise though), a nice pool table inside, in a typical dutch decorum and in a super beautiful area of the city. Barmen here are always super chill and friendly."
10,De Nieuwe Lelie, 5 stars ,2 years ago,A lovely atmosphere in this traditional authentic bar. Full of friendly locals and wonderful service from the bar staff. A great place to get off the beaten tourist track whilst being close to central Amsterdam.
11,De Nieuwe Lelie, 5 stars ,2 years ago,"Friendly bar. Classic Dutch buildings with high ceilings and two levels. If you want to have some fun there's a pool downstairs. There're no cats and the kitchen close at 10. Do ask for the cheese plane if you go after that, it's very flavory."
12,De Nieuwe Lelie, 5 stars ,4 years ago,Fantastic pub. Vibrant yet cosy place to have a couple of good beers surrounded by Jordaan locals.
13,De Nieuwe Lelie, 4 stars ,5 months ago,"Nice for a bite, a beer, chilled and cozy."
14,De Nieuwe Lelie, 5 stars ,3 years ago,"Amazing host, fantastic beer and an unbeatable pub/cafe experience. Take the time to stop here if you find yourself in Amsterdam, a 4 euro beer and good company awaits."
