,Name,Review Rate,Review Time,Review Text
0,De Oude Wester, 5 stars ,4 months ago,"delicious food, excellent service 😋 👌"
1,De Oude Wester, 1 star ,2 years ago,"Terrible food and bad customer service. Avoid at all cost.
Food was extremely salty which was not edible for me. I barely touched my hutspot (traditional beef meatballs) at 17 euro a dish and it made me so thirsty, I …"
2,De Oude Wester, 5 stars ,3 years ago,"Had lunch here and absolutely loved it!!! The food was great! The staff was nice! Wide variety of food, lots of choices. Had an amazing pizza and a bacon and cheese pancake! Heavenly. Highly recommended and will definitely go back! :)"
3,De Oude Wester, 3 stars ,3 months ago,"Nice place with amazing decoration. I really didn't like the fact that they only accept credit cards. They required only cash. Also, the waitress was a bit rude and unhappy."
4,De Oude Wester, 5 stars ,3 months ago,Great neighborhood cafe restaurant. Good selection of genuine Dutch breakfast and lunch traditional food a short walk from Anne Frank museum
5,De Oude Wester, 5 stars ,2 years ago,"Lovely Restaurant, the price is a bit expensive compared to other restaurants but the food is nice. I love pork ribs here, so tender and tasty."
6,De Oude Wester, 5 stars ,3 months ago,Had the ribs here. Absolutely top class best I have had. Even better than my own. Highly recommended.
7,De Oude Wester, 5 stars ,4 months ago,"Lovely atmosphere, busy but great service and wide choice of dishes. Soups and pizzas looked amazing."
8,De Oude Wester, 1 star ,2 years ago,"- Wouldn’t bother visiting again
- Food is very basic and not very nice
- Toilets were dirty …"
9,De Oude Wester, 3 stars ,3 years ago,"Cosy café, nice staff, good food, prices okay. The only thing I have to complain is the bunch of waste the guests have to create. Jam, butter, honey, all is packed in this small mini containers you know from some hotels. That's not the contemporary way to protect the environment."
10,De Oude Wester, 4 stars ,4 years ago,"I love this place! This is a great option when you are in the area and is not a tourist trap. I have been here 4 or 5 times and always had a pleasant experience. A few tips: be patient, do not make substitutions, and be friendly. The …"
11,De Oude Wester, 4 stars ,3 years ago,We had the special which was Ribs and they were very nice and I had a cheese burger which was okay. …
12,De Oude Wester, 4 stars ,2 years ago,Got an Irish Coffee which was delicious. Stopped here before we visited the Anne Frank house for a bite to eat and a drink. We ordered fries and a margarita pizza- food was just ok. Cute vibe.
13,De Oude Wester, 4 stars ,5 years ago,"Tomato soup was great, servous not as good.. but decent prices for the area. All of the group I was with liked their food. Recommend tomato soup, the toasties, the lasagne and the ribs! Coffee was good too."
14,De Oude Wester, 5 stars ,2 years ago,I had a great time here with my friends and I really liked the breakfast food options they had. Highly recommend!
15,De Oude Wester, 3 stars ,2 years ago,"-Friendly waitress
-Nice decor
-Lovely Christmas music …"
16,De Oude Wester, 2 stars ,2 years ago,"I do not recommend!

Service was of low quality. The Polish waiter said I cannot use the toilet …"
17,De Oude Wester, 3 stars ,5 months ago,Pancake was tasteless. The restaurant ambiance and service was good.
