,Name,Review Rate,Review Time,Review Text
0,De Rode Laars, 5 stars ,3 years ago,"Great little pub, friendly atmosphere, huge drinks selection. Gets busy quickly!"
1,De Rode Laars, 5 stars ,2 years ago,"Great little bar, we had 3 cherry beers and a coffee, lovely atmosphere as well."
2,De Rode Laars, 4 stars ,4 years ago,"Cozy, very small cafe"
3,De Rode Laars, 5 stars ,2 years ago,"Great music, friendly staff, tasty beer, what more could you ask for!"
4,De Rode Laars, 5 stars ,a week ago,Friendly local pub (Dutch brown pub) great wines and beers. Service excellent!
5,De Rode Laars, 5 stars ,2 years ago,"What a lovely little bar , cosy friendly staff and excellent beer"
6,De Rode Laars, 5 stars ,3 months ago,Good service and good place
7,De Rode Laars, 4 stars ,3 years ago,"Nice little local bar to, good spot to get away from the craziness of the bigger bars full of bros"
8,De Rode Laars, 5 stars ,2 years ago,Brilliant little bar. Ger the owner is a fantastic guy. Must go.
9,De Rode Laars, 5 stars ,2 years ago,"Cosy little pub, nice atmosphere, very friendly staff."
10,De Rode Laars, 5 stars ,3 years ago,Nice cozy little hideaway close to the Central Station with a good selection of beer and wine.
11,De Rode Laars, 3 stars ,4 years ago,"Nice pub, bartender was grumpy, beer was super though and very reasonable prices."
12,De Rode Laars, 5 stars ,2 years ago,"Great pub with lots of selections of beer.
Great atmosphere."
13,De Rode Laars, 5 stars ,3 years ago,"Best GluhWine  Native beer selection cute and calm , chilly music ."
14,De Rode Laars, 5 stars ,3 years ago,Great authentic Amsterdam pub full of cool locals.
15,De Rode Laars, 4 stars ,2 years ago,"The multicultural people, with good energy,  it's just amazing! I love it"
16,De Rode Laars, 5 stars ,5 months ago,Top
17,De Rode Laars, 4 stars ,3 years ago,"Looked like a pub for locals in a very touristy area, which was surprising"
18,De Rode Laars, 4 stars ,3 years ago,Great atmosphere and music!
19,De Rode Laars, 4 stars ,4 years ago,Nice pub with good service
20,De Rode Laars, 5 stars ,4 years ago,Great traditional pub of Amsterdam.
21,De Rode Laars, 5 stars ,2 years ago,"Quiet, friendly and relaxing"
22,De Rode Laars, 5 stars ,3 years ago,Perfect little hideaway..
23,De Rode Laars, 4 stars ,2 years ago,Nice place to be.
24,De Rode Laars, 5 stars ,2 years ago,Top
25,De Rode Laars, 5 stars ,2 years ago,Amazing
26,De Rode Laars, 5 stars ,2 years ago,Great wee spot
27,De Rode Laars, 5 stars ,4 years ago,always nice
28,De Rode Laars, 5 stars ,2 years ago,party
29,De Rode Laars, 5 stars ,2 years ago,Chilled place
30,De Rode Laars, 5 stars ,3 months ago,"(Translated by Google) Cozy and charming place. Very authentic.

(Original) …"
31,De Rode Laars, 5 stars ,8 months ago,(Translated by Google) Recommended! Very nice brown cafe with the friendliest staff in Amsterdam. I will definitely come here more often! …
32,De Rode Laars, 5 stars ,8 months ago,"(Translated by Google) Charming bar, good beer and excellent service from the waitress. The music is great. …"
33,De Rode Laars, 5 stars ,4 years ago,(Translated by Google) The location is very comfortably lined with wood and the staff is courteous. Outside on the small bench it is very cozy and has a certain flair. …
34,De Rode Laars, 2 stars ,5 months ago,(Translated by Google) Too many people huddled together. Prices on the high side. …
35,De Rode Laars, 5 stars ,7 months ago,(Translated by Google) One of the best pubs in town! Right on the fantastic Zeedijk! #pub #amsterdam #zeedijk #cafe #cozy …
36,De Rode Laars, 5 stars ,4 years ago,(Translated by Google) Stumbled past this cozy little bar. Worth a visit. Just under € 10 for a glass of red and a whiskey. 🖒 …
37,De Rode Laars, 5 stars ,4 years ago,"(Translated by Google) De Roode Laars is a small, brown pub with a real Amsterdam atmosphere. Mixed audience in terms of age, gender, sexual preference and what other criteria you can come up with. And very important: with Guus, the Red …"
38,De Rode Laars, 5 stars ,3 years ago,"(Translated by Google) A very cozy and real Amsterdam café, where there is a cozy atmosphere, where the staff is very friendly and cheerful, I felt very comfortable there. A cafe where there is a good mix of regulars and tourists (so the …"
39,De Rode Laars, 5 stars ,7 months ago,"(Translated by Google) Great what a lovely reception keep it up thank you

(Original) …"
40,De Rode Laars, 5 stars ,8 months ago,"(Translated by Google) A cozy bar on the Zeedijk, with a nice bar lady. Highly recommended and enjoy. …"
41,De Rode Laars, 5 stars ,2 years ago,"(Translated by Google) Amsterdam brown café without hassle. In addition to beers, there are also good wines and liver sausage, ox sausage, blocky cheese. Friendly bartenders! …"
42,De Rode Laars, 5 stars ,9 months ago,(Translated by Google) The nicest and cosiest terrace in Amsterdam. #jeroen #michelle #may …
43,De Rode Laars, 4 stars ,3 years ago,(Translated by Google) Cozy little brown café. The bartenders are super friendly. They have nice wines and different beers on tap. To be repeated. …
44,De Rode Laars, 5 stars ,2 years ago,(Translated by Google) Most beautiful Cafe in Amsterdam. Close to the station but in the middle of Amsterdam. Please come here when you visit the Zeedijk. Nice restaurants in the neighborhood to eat before or after. I am a fan. …
45,De Rode Laars, 4 stars ,2 years ago,"(Translated by Google) Cozy brown pub in the Red Light District. One that should stay above all because a cozy atmosphere without ""hip coal noise"" or smooth hipster. Recommended!! …"
46,De Rode Laars, 5 stars ,3 years ago,(Translated by Google) Brown cafe with always a lively atmosphere and a good atmosphere. Bar staff / Owner with a heart for the business. Wide choice of different beers. Really recommended! …
47,De Rode Laars, 5 stars ,3 years ago,"(Translated by Google) Nice tent, where you still have personal contact. Jeroen our host of the day gave us a nice afternoon. After a fantastic tour by Ton, former detective of the Warmoesstraat Amsterdam police station, we had a great …"
48,De Rode Laars, 5 stars ,4 years ago,(Translated by Google) Small quaint place .. excellent beer .. friendly staff is qualified .. a pub that lets you enter real Amsterdam. Recommended …
