,Name,Review Rate,Review Time,Review Text
0,De Zotte, 1 star ,4 months ago,"The place was too crowded. The staff was not helpful, they looked too busy even to listen to us. The food wasn't great. At the end the lady at the till told me that I couldn't pay by debit card because in the Netherlands they don't accept visa or MasterCard. ( That was not correct as I paid everywhere with the same cards )."
1,De Zotte, 4 stars ,2 years ago,"Excellent Dutch restaurant with nice vibe inside. The staff is super nice, friendly and speak English. The food is amazing and the portion size is more than enough. It has the authentic Dutch taste and loved it. However, the toilet seemed …"
2,De Zotte, 5 stars ,5 months ago,"My favourite bar in Amsterdam! A great vibe, superb selection of beers and friendly staff. …"
3,De Zotte, 5 stars ,8 months ago,"This is one of my favourite hidden gems in the city center. The location on a back street makes it less crowded than other places at the expense of not having a terrace. Very good selection of beers and the food is tasty, the type you would expect from a cafe in Amsterdam. This is the place where I see myself becoming a regular."
4,De Zotte, 5 stars ,4 years ago,Fantastic Belgium beer cafe with a huge selection of beers and a small food menu. Would recommend this to anyway who is a fan of special beer. Staff is knowledgeable and can advice what to drink.
5,De Zotte, 4 stars ,3 years ago,Cozy place just a block or two down from Melkweg and Leidseplein. Lots of Belgian beers on the menu as well as food. I had the “Dish of the Day” which was duck and enjoyed it.  Will definitely be back.
6,De Zotte, 5 stars ,2 years ago,"Stopped in here randomly, we were looking for a place to eat and thought it looked perfect. We were right on! One woman running the whole deal with someone in the back cooking. She was a total boss too, and really nice as soon as we could …"
7,De Zotte, 4 stars ,6 months ago,"Cozy place, there are several tables outside.
Nice selection of beers and the usual Dutch bites. Not crowded and far from the noise of Leidseplein."
8,De Zotte, 5 stars ,2 years ago,"Have been here before and had a
delicious vegan burger so came back. Wasn’t disappointed the second time. If anything, the vegan sate was even more delicious. Great service, cozy atmosphere, …"
9,De Zotte, 4 stars ,5 years ago,"Huge beer selection, friendly staff, but a little strict, didn't allow to take a chair out so you can sit with a beer and smoke, but they do have the most awesome steak ever 👍"
10,De Zotte, 5 stars ,3 years ago,"This place deserves 5 stars!
I always struggle to find good places to eat but this pub was a game changer!
Had the special of the day which was ribeye steak. Out of this world! By far the …"
11,De Zotte, 5 stars ,3 years ago,Amazing selection from bottled and draft beer. Very cool place with nice ambient.
12,De Zotte, 5 stars ,3 years ago,Wow! Fantastic place with such great options! Hope to go back soon. Delicious beer and great atmosphere. Wonderful and friendly service.
13,De Zotte, 5 stars ,4 years ago,"Cozy place, friendly staff, nice atmosphere! They also have a great selection of beers and tasty bitterbalen."
14,De Zotte, 5 stars ,a year ago,So glad we decided to pop in here! The vegetarian cheese burger is so delicious I almost shed a tear. Vegan satay is gorgeous too. Lots and lots of beers to choose from. 10/10 great place will definitely be back before we leave!
15,De Zotte, 5 stars ,2 years ago,Lovely cosy bar with a vast beer selection and tasty food
16,De Zotte, 5 stars ,2 years ago,Great beers and great staff that know their stuff
17,De Zotte, 5 stars ,3 years ago,"Great atmosphere, splendid beer, very nice staff! Definitely recommended!"
18,De Zotte, 5 stars ,3 years ago,"Great little bar, with tons of choice, interesting glasses and nice décor! Highly recommend. Good price to!"
19,De Zotte, 5 stars ,4 years ago,"First of all, I F++KING LOVE THIS PLACE!!
The service was very attentive and courteous. …"
20,De Zotte, 5 stars ,2 years ago,"Amazing variety of beers, everybody will find something for their own taste but most of all the food options are sooooo delicious!!!! The menu stretches beyond meat - Lots of vegan and vegetarian options. Vegan pizza makes your mouth all …"
21,De Zotte, 3 stars ,2 years ago,"Great variety of beers! Although a few were not available. Asked for my burger to be medium done, got it well done. Wasn't worth the hassle if returning it. Tasted good though"
22,De Zotte, 4 stars ,3 years ago,Lovely bar with a great beer selection and lovely food. Good for all!
23,De Zotte, 5 stars ,8 years ago,"Great selection of beers, and a nice atmosphere to enjoy them. The staff are friendly and very knowledgeable about the beers and also the food. …"
24,De Zotte, 4 stars ,3 years ago,"Great beer selection, good food, and a cosy atmosphere. It gets crowded after 18:00, so make a reservation if you want a table. It's a tight space, so four is a good group size but six is pushing it. In general, there's only one person …"
25,De Zotte, 5 stars ,2 years ago,Must visit place for the lovers of Belgium beer. Huge amount of different bottles and several ones on tap.
26,De Zotte, 5 stars ,6 months ago,"Located on the quieter street, wide selection of beers and tasty food"
27,De Zotte, 4 stars ,3 years ago,"A great and unique selection of Belgian Beers, one my favorite Belgian spots in Amsterdam. They also serve good steaks, and occasionally they have the rib-eye. You should definitely give it a try. …"
28,De Zotte, 4 stars ,3 years ago,"Nice Belgian pub - not many beers on tap, but significant bottled variety. Some food too, bitterballen are quite good. Overall it's a place of a vibe though, and the vibe is great!"
29,De Zotte, 2 stars ,2 years ago,"Way overpriced! And the high prices come with attitude. Staff was incompetent and standard Belgium beers almost twice as expensive as in other bars in Amsterdam... The interior is great, it has soul. It's a pity they sold itl."
30,De Zotte, 1 star ,2 years ago,"We paid € 72 (3 people) for no meal. We asked twice (at different moments) whether our meals would be ready in time, because we had to leave for the theatre; twice they said it would be OK. But it took a long time and we were getting …"
31,De Zotte, 5 stars ,4 years ago,I nice small pub serving a lot of great different beers a couple of minutes behind Leidseplein. They have a special beer glass for every brand but keep in mind that not all beer brands are always in stock so better check the beer list. Service is great and they help you choose a nice beer.
32,De Zotte, 5 stars ,7 years ago,"This is a gem of a place. The atmosphere was warm and inviting. My wife and I split the steak and black bread and farmers cheese plate. Everything was too delicious to describe in words. Additionally, the selection of Belgian beers in this …"
33,De Zotte, 5 stars ,8 years ago,This is one of the very best Belgian beer bars in Amsterdam and one of my favorites. So many good beers and such nice people. You can smoke when it's late so if you don't like that leave earlier. The food is good. The beers are great and they play good music! Busy days you should book a table.
34,De Zotte, 5 stars ,3 years ago,This bar has a very local feel. Many beers to choose from with equally variety of serving glasses. I only had the appetizers during my visit and they where delicious. I of course highly recommend bitterballen.
35,De Zotte, 3 stars ,5 years ago,I really like the place the staff is great and the beers are great! But.... the only thing that makes it three stars is that the food is changed since last time I bin here. I'm a qualified chef and with every bite I took of mine steak I …
36,De Zotte, 4 stars ,2 years ago,"Great choice is Belgian beers, Nice staff. The food is coming with some delay, but tasty. Meal size is somewhere in the lower side of the spectrum."
37,De Zotte, 5 stars ,2 years ago,"Great food; I always thought this was a real meat-eater place, BUT: they also have a lot of ( really excellent! ) VEGAN options. For instance; the vegan Satay... marvellous. Love it. …"
38,De Zotte, 5 stars ,4 years ago,"Great atmosphere, lively bar off the main streets. Great selection of draught and bottled beers (Kwak amber is fantastic) small menu but that's as it should be. Go for the Dutch cheese plate with hot fresh country bread and spicy beer sausage on the side."
39,De Zotte, 3 stars ,3 years ago,"The bar as a whole is a quite good location. The interior looks really good and fits the style of the bar. The amount of beers is great, even with a house brand. When we were there they couple of times said they don't have the alcohol we …"
40,De Zotte, 4 stars ,3 years ago,This is a great place to have a n authentic beer in Amsterdam.  The staff is quite rude and not caring but really what do you expect from student bar staff who drink for free. It's not accesible for wheelchair users.
41,De Zotte, 5 stars ,3 years ago,Such an excellent bar! A classic Dutch/Belgian bar vibe and just round the corner from leidseplein. Come here rather than drinking at those tourist traps (and that's coming from a tourist). The barman was a genuinely sweet guy and very …
42,De Zotte, 2 stars ,5 years ago,Smallish place. Not very good service. Asked the bar maid about Belgian sour beers. She said they didn't have any but on the way out I saw that they had 4 different ones. On a nice evening you want to sit outside but there's only two seats on the sidewalk that are always taken.
43,De Zotte, 5 stars ,7 years ago,"Good food, better beer, & great atmosphere. What more do u need?!  Gets busy and had the 1 waitress was on her own to tend to the whole place. Loved the bar cat that greeted everyone."
