,Name,Review Rate,Review Time,Review Text
0,"Denc, Dik & Cunningham", 5 stars ,a month ago,"I live in Amsterdam and this is hands down one of my best experiences so far. Amazing service, very nice people, and most importantly amazing food. Recommend to anyone!"
1,"Denc, Dik & Cunningham", 5 stars ,2 years ago,"Delicious dinner of 7 courses with wine pairing. We were all blown away with the quality to value ratio.
I have been wanting to try this place for a while and finally we had a group of …"
2,"Denc, Dik & Cunningham", 5 stars ,2 years ago,Everything just bursting with flavour.  Every dish top quality and meticulously executed. This must be one of my favorite restaurants in the world. Better than all those Michelin starred places.
3,"Denc, Dik & Cunningham", 5 stars ,9 months ago,"We had a fantastic time with the reopening menu. It made us realize how much we missed the great food, the intriguing wines, and the warm welcome at DenC."
4,"Denc, Dik & Cunningham", 3 stars ,2 years ago,"The food is of high quality but it took 2.5 hours overall to come out.

I think a restaurant should be able to make did quicker. If I'd knew about how long it would take, I would have gone to another restaurant."
5,"Denc, Dik & Cunningham", 5 stars ,2 years ago,"Fabulous, friendly, intimate, romantic, relaxing. Warm waitress who is quiet and attentive. Very comfy warm chairs."
6,"Denc, Dik & Cunningham", 5 stars ,2 years ago,"Wow .. blown away with how good it was. This place has never disappointed, and the host is so lovely, but they have upped their game .. a lot .. 😎👍"
7,"Denc, Dik & Cunningham", 4 stars ,7 months ago,Enjoyed our meal and calm environment.
8,"Denc, Dik & Cunningham", 5 stars ,4 years ago,"We went during San Valentín and we had a lovely night. The food is super tasty and the decorations helps to make a romantic environment: candels, lights, they take care every detail. It's a small place, so feels super comfy. Note: we used a Groupon coupon and it was good quality/price"
9,"Denc, Dik & Cunningham", 5 stars ,2 years ago,"AMAZING!!!!! Food is wonderful, great flavors balance and variety. Service is beyond great."
10,"Denc, Dik & Cunningham", 5 stars ,2 years ago,"Beautiful dishes, but sometimes less is more"
11,"Denc, Dik & Cunningham", 5 stars ,a year ago,The one and only restaurant we truly missed during the lock-down... finally opened again. We were spoiled with a fantastic 4-course menu - better than ever - accompanied by great wines and served in a lovely environment by charming staff and owners. What a treat!
