,Name,Review Rate,Review Time,Review Text
0,Dignita Hoftuin, 5 stars ,6 months ago,Beautiful location where you can sit outside and inside (depends on availability). I recommend booking in advance through the website. You also have the option to walk in without a reservation. The left row in front of the entrance is for …
1,Dignita Hoftuin, 5 stars ,7 months ago,This is definitely 5 star brunch place. The chuck Norris sandwich is amazing… everyone loved their order. Fully booked till late afternoon so don’t show up 🤪 the waiter we had was not very friendly… but at the reception they were lovely we were a bit late but the found us a table anyway.
2,Dignita Hoftuin, 4 stars ,6 months ago,Beautiful place for brunch. Food is beautiful as well. Taste is not bad. But as a brunch place it meets all expectations.
3,Dignita Hoftuin, 5 stars ,6 months ago,Best place in town to have a brunch. Lovely green garden/terrasse that makes you feels like you are in the middle of nowhere. The food was delicious. Really liked the home made coco yogurt and granola and the Benedict eggs on potato cakes. The waiting time is a a bit long but the food is worth it. Make sure you book in advance.
4,Dignita Hoftuin, 5 stars ,4 months ago,Wonderfull location. Next to the dignita hoftuin is a new WWII memorial monument. Walking distance from hortus botanicus. The food quality is good and lovely presented on the platter. …
5,Dignita Hoftuin, 4 stars ,a week ago,"The garden is very cosy, one of the best place in town for family with kid(s). Dignita is almost full so it's best to have a reservation before. Take away is also possible but in general the service is a bit slow. The taste of the menu …"
6,Dignita Hoftuin, 5 stars ,7 months ago,"This was our last brunch / lunch and … Wow !! It’s really fresh and good !! And you will enjoy it with very very very friendly, helpful and smiling team !
PS : a special thanks to Fleur for your positive energy, we will come back for sure on our next journey and we will follow your recommandation about the Café !"
7,Dignita Hoftuin, 5 stars ,a month ago,"We had a 6 person brunch at the beautiful location of Dignita Hoftuin. All of the food was terrific. The order was taken late, which meant no time for dessert or coffee at the end of our 90 minutes slot. Though the waitress said the 'mimosa …"
8,Dignita Hoftuin, 4 stars ,5 months ago,"Love brunching at Dignita Hoftuin. Great ambience, beautiful location in the garden of the Hermitage, delicious food and amazing service! …"
9,Dignita Hoftuin, 5 stars ,4 months ago,"A very cosy place , located in a beautiful small garden in a quite neighborhood in Amsterdam .. food is sooo excellent , we literally ordered the entire menu and liked everything 😹💕🙏🏻"
