,Name,Review Rate,Review Time,Review Text
0,Dirty Dick's, 5 stars ,3 weeks ago,"This is my favourite bar and club in Amsterdam without doubt. The bar staff are sexy and friendly, and the action is raunchy with few limits, especially on the first Sunday of the month - check the website for details! I can't fault it - …"
1,Dirty Dick's, 1 star ,2 years ago,"It’s dishonest to advertise Sunday entry at 7 euros when there is an additional minimum consumption of two drinks.  I didn’t stay long as I didn’t like the place, had one orange juice and it cost 14 euros.  The barman then became stroppy …"
2,Dirty Dick's, 3 stars ,2 years ago,"1st: There is a really man only bar in AMS. The guests are a little older, but it's ok. A NO is not perceived as such by some guests. In front of the toilets, in the toilets and upstairs, it smells like urine everywhere. Beverage prices in order!"
3,Dirty Dick's, 4 stars ,3 years ago,"Great place. Low key, friendly staff, and a good time to be had by all. Pro tip: people tend to show up closer to midnight."
4,Dirty Dick's, 5 stars ,3 years ago,Well its one of the places You have to go. You either will love it or hate it. But if You look for a hot sleazy action there is no better place
5,Dirty Dick's, 5 stars ,3 years ago,"An Iconic dirt gay pub in Amsterdam, a ""must go place, if you are a Pig, or if have any curiosity about"
6,Dirty Dick's, 5 stars ,3 years ago,Waouh amazing area nice man nice music and great bartender a place to see
7,Dirty Dick's, 5 stars ,2 years ago,Very fine wine bar for gentlemen of taste
8,Dirty Dick's, 5 stars ,4 years ago,"Very good evening, good shower, thanks you ."
9,Dirty Dick's, 3 stars ,3 years ago,Interesting. Nice bar keeper!
10,Dirty Dick's, 5 stars ,a year ago,You can feel free
11,Dirty Dick's, 5 stars ,3 years ago,Great place! Kisses from Brazil
12,Dirty Dick's, 4 stars ,5 years ago,"Very, very naughty. Now you know where to go."
13,Dirty Dick's, 1 star ,4 years ago,no actual dirty dick :( disappointed
14,Dirty Dick's, 5 stars ,2 years ago,I love it
15,Dirty Dick's, 5 stars ,3 years ago,Gave tent
16,Dirty Dick's, 1 star ,4 years ago,Friday empty. Disappointed
17,Dirty Dick's, 5 stars ,4 years ago,Hot & Spicy..... TOPAAA
18,Dirty Dick's, 3 stars ,4 years ago,İ do not like.
19,Dirty Dick's, 4 stars ,3 years ago,"(Translated by Google) The horniest bar in Amsterdam - for gay men at least. Doesn't start well until after twelve, but then you also have something. Lots of action. Audience of all ages. Good cruising area and - certainly for Amsterdam …"
20,Dirty Dick's, 3 stars ,2 years ago,(Translated by Google) It's the typical bar with a dark room. Do not wait any longer because it does not stand out for the facilities or the parishioners. The beers are affordable and the people are friendly. …
21,Dirty Dick's, 5 stars ,3 years ago,"(Translated by Google) The name of the place characterizes it exactly. If you like really dirty things, this is the place for you. There is a bar and a dance floor, but the main thing is cruising. …"
22,Dirty Dick's, 5 stars ,3 years ago,(Translated by Google) Deliciously enjoyed in this gay bar. Also nice cruising zones both up and down. Pleasant staff. Recommended! …
23,Dirty Dick's, 4 stars ,2 years ago,"(Translated by Google) Very good bar cruising, fetish following the program ...
The princesses and the delicate ones go your way. …"
24,Dirty Dick's, 4 stars ,2 years ago,"(Translated by Google) One of the few (strictly man only) bars in Amsterdam

(Original) …"
25,Dirty Dick's, 4 stars ,5 years ago,"(Translated by Google) Great darkroom, little going on before midnight auf, on two levels. …"
26,Dirty Dick's, 1 star ,4 years ago,"(Translated by Google) Disappoint really anpty not looked it's buys a tool

(Original) …"
27,Dirty Dick's, 5 stars ,8 years ago,"(Translated by Google) Great tent, cruisy and many facilities.

(Original) …"
28,Dirty Dick's, 4 stars ,3 years ago,"(Translated by Google) Nice gay bar with two darkrooms.

(Original) …"
29,Dirty Dick's, 3 stars ,3 years ago,"(Translated by Google) Good bar

(Original)
Buen bar"
30,Dirty Dick's, 1 star ,2 years ago,"(Translated by Google) Sad!!!

(Original)
Triste!!!"
31,Dirty Dick's, 4 stars ,3 years ago,
32,Dirty Dick's, 3 stars ,4 years ago,
33,Dirty Dick's, 3 stars ,4 years ago,
34,Dirty Dick's, 4 stars ,5 years ago,
35,Dirty Dick's, 5 stars ,3 years ago,
36,Dirty Dick's, 5 stars ,2 years ago,
37,Dirty Dick's, 1 star ,3 years ago,
38,Dirty Dick's, 5 stars ,6 years ago,
39,Dirty Dick's, 1 star ,3 years ago,
