,Name,Review Rate,Review Time,Review Text
0,Dönerland Eethuis, 5 stars ,3 months ago,Great product: fast and fresh. Superb sauces: garlic and spicy
1,Dönerland Eethuis, 5 stars ,4 months ago,Top food. Always fresh and well presented as well as tasty. Highly recommend the kapsalon. I moved out of the area and am happy to travel the extra distance. Not expensive either and always service with a smile
2,Dönerland Eethuis, 5 stars ,2 weeks ago,I had a köfte sandwich with roasted vegetables and it was absolutely AMAZING this is a must visit specially when you like food. …
3,Dönerland Eethuis, 4 stars ,4 months ago,"Friendly stuff, tasty doner.
Didn’t like that cooker does not use gloves, so it is possible direct contact between cash and your food. Also almost did not find cheese inside my cheesy …"
4,Dönerland Eethuis, 5 stars ,4 months ago,"Fanstastic kapsalon, best in Amsterdam! I got this place recommended by a friend, and I've been here at least two times a week since. Order kapsalon with extra meet and everything on it, promise you won't regret"
5,Dönerland Eethuis, 5 stars ,4 months ago,I had takeout. The doner kebabs and fries are absolutely amazing! The staff is really friendly. Great food and really affordable.
6,Dönerland Eethuis, 5 stars ,2 years ago,This is the best doner kebab in the world!! Get the kapsalon. You will not be disappointed. …
7,Dönerland Eethuis, 5 stars ,2 weeks ago,Very tasty kebab. Friendly service serves the meal to the table.
8,Dönerland Eethuis, 5 stars ,6 months ago,"Nice clean venue, mamma cooks and prepares the dishes fresh. Good value good service. Price vs quality is good, can recommend this for sure."
9,Dönerland Eethuis, 5 stars ,7 months ago,"A real doner place. Good prices and tasty food.
Falafel wraps for days. If I walk past I'm getting one, there's no other option. Friendly guy and good space. ⭐⭐⭐⭐⭐"
10,Dönerland Eethuis, 5 stars ,3 years ago,Excellent Kapsalon. Great service with free WiFi. The menu prices are very cheap too. This place is open late and I highly recommend going if you're in the area.
11,Dönerland Eethuis, 5 stars ,3 years ago,"Best value for money: €4,95 for a Döner, a pommes and a small Cola. Döner tastes good👍"
12,Dönerland Eethuis, 5 stars ,8 months ago,"The best eethuis in Amsterdam, hands down! You can’t get a better price, the owners are super friendly people and the food tastes great. Highly recommend 🙌 a true gem of Amsterdam 💎"
13,Dönerland Eethuis, 5 stars ,2 months ago,Love these guys. Always open. Always tasty.
14,Dönerland Eethuis, 5 stars ,7 months ago,"Soooo good! Got a mixed plate with chicken and Beef. No regrets, I ate all! Recommend."
15,Dönerland Eethuis, 5 stars ,11 months ago,"Excellent food and good people, what else can you ask? They customize your order, it's quick, amazing flavours...best in the neighborhood!"
