,Name,Review Rate,Review Time,Review Text
0,Eazie, 3 stars ,6 months ago,"tl;dr: bit disorganized, bit expensive if you want to eat a filling meal. Not a lot of taste. …"
1,Eazie, 1 star ,2 months ago,Bad service with a grumpy lady behind the counter. Trying to find difficulties and reasons not to help. I bought a Social deal offer for 3 pm and when we arrived they told me it is only possible after 5pm which was strange. They wouldn't …
2,Eazie, 1 star ,2 months ago,"The wok was the worst ever, everything was not cooked well and not ready to eat. Bad smell from chicken meat. I don’t recommend this place to anyone else. Spend your money on a good one."
3,Eazie, 5 stars ,4 months ago,I order from here ALL THE TIME and they never disappoint. The food is always delivered a few minutes earlier than the expected time and they never make a problem about the fact that I live in the center of amsterdam (where cars/scooters …
4,Eazie, 3 stars ,5 months ago,Not a lot of taste and raw vegetables not cooked enough. But delicious broth and noodles.
5,Eazie, 1 star ,4 years ago,"From the idea of the food, you would think healthy, but the ingredients were faaar from high Quality, especially store bought sauces that contained preservatives that gave a bland taste to any of wok dishes.  Service not speedy or friendly …"
6,Eazie, 5 stars ,3 years ago,"I really liked my lunch here, it was fast and tasty! Workers have been nice and polite, also a place it's not looking bad! So we tried two different versions wok with fried rice, one was with tofu, veggies and Indonesian cocos sauce. …"
7,Eazie, 1 star ,2 years ago,"We went in to sit down inside and  have a quick bite as we saw a nice picture of pokebowls. The result was a plastic square not fresh, miserable portion and looks. It is nothing worth a 10th of the price. We comunicated our discontent ( no reaction)walked out leaving the food and had to go eat elsewhere. Definitely not recommended."
8,Eazie, 2 stars ,4 years ago,"Although they portray themselves as being fresh and healthy, the ingredients were not fresh. Frozen vegetables which become chewy and brown when cooked. Overall taste is unpleasant and artificial. Will not go back."
9,Eazie, 4 stars ,2 years ago,"Food is fresh, taste is good and excellent value-for-money. There was a bit of a queue when we ordered and as such it took 25 minutes between ordering and serving but overall it was a good experience. I can't resonate with the negative reviews."
10,Eazie, 1 star ,3 years ago,A truly terrible dining experience. The concept of the restaurant is appealing but the execution was terrible and confusing. Our wok dishes took 25 minutes to make. We sat watching as 4 of the 5 employees avoided working until there were 10 …
11,Eazie, 2 stars ,3 years ago,"The the taste of the food is not that terrible and possible choices are varied, but the service is absolutely inadequate and poor. We waited almost 20 minutes before having the possibility to order... and the restaurant was not even …"
12,Eazie, 5 stars ,4 years ago,"Perfect, healthy food that is prepared quick."
13,Eazie, 3 stars ,2 years ago,Food was nice and ingredients were fresh. The concept is good showing the calories on each dish. Tables were not very clean. They looked a bit lost when bringing the food and drinks to the tables.
14,Eazie, 3 stars ,3 years ago,"Customer service isn't brilliant, so don't go there on a date. But I think it's decent. I definitely prefer here to Wok to Walk. 1) the price 2) the taste 3) the options!! 4) THE PRICE.  You're likely to spend between 7-10€ and be full. 3 stars because come on... It's just Street food 😂🤷🏾‍♀️ not gourmet"
15,Eazie, 5 stars ,3 years ago,"Eazie is my favourite thing about business trips to the Netherlands! The food is fresh, healthy, delicious and cheap. I love the vegan option of tofu with garlic sauce on rice. There are many options, for all people not just vegetarian and …"
16,Eazie, 3 stars ,a year ago,"Friendly service but a regular portion was smaller than expected, didnt fill me up. Unspectacular sauce with half-fresh ingredients but the price/quality ration was fine for me."
17,Eazie, 5 stars ,3 years ago,"Great food, healthy and delicious for a really good price, great if you're on a budget and traveling as you get a good quality meal for not much money! Very generous portion sizes as well. Quick service, would definitely recommend for a quick, cheap meal!"
