,Name,Review Rate,Review Time,Review Text
0,Eetcafé 't Gasthuys, 4 stars ,7 months ago,"Tasty food, nice ambience, staff very polite and helpful but service can be faster"
1,Eetcafé 't Gasthuys, 5 stars ,2 years ago,A very traditional Dutch bar/restaurant in the center of Amsterdam. The style is very nice with two floors of space to sit. Staff was very happy and polite! I ordered ribs for dinner and I was very happy with the quantity and quality of the …
2,Eetcafé 't Gasthuys, 4 stars ,4 years ago,"Great place to stop for a drink and lunch! Nice ambience with outside seating.
A little understaffed but otherwise the service was good.
Both, the burger and 3 spicy sausage Italian roll were pretty good. Would recommend this place for a stop while youre strolling through the city!"
3,Eetcafé 't Gasthuys, 5 stars ,a month ago,"Great owners and atmosphere, drinks were reasonably priced as well"
4,Eetcafé 't Gasthuys, 5 stars ,4 years ago,"Very friendly staffs, very good food. They have 3 course menu offer for 14,75. Totally worth it. Super satisfied!"
5,Eetcafé 't Gasthuys, 5 stars ,3 months ago,"Very nice place, you have feeling like you are at home. Excelent  food."
6,Eetcafé 't Gasthuys, 4 stars ,3 years ago,Reasonable prices. Nice old style bar. Well worth a visit.
7,Eetcafé 't Gasthuys, 5 stars ,4 years ago,"Nice quite place. Good burgers, salads, kebabs and coffee."
8,Eetcafé 't Gasthuys, 5 stars ,5 months ago,Finaly found a cafe with good beers. It is nice to drink and see boats
9,Eetcafé 't Gasthuys, 5 stars ,2 years ago,Really good place to relax and have a beer on the side of a canal!
10,Eetcafé 't Gasthuys, 5 stars ,3 years ago,"Great service, food, price and scenery! Would highly recommended. Especially the steak."
11,Eetcafé 't Gasthuys, 5 stars ,4 months ago,"Great place to hang out, friendly service, cool atmosphere."
12,Eetcafé 't Gasthuys, 3 stars ,5 years ago,"Great food experience, but extremely slow service. The chicken kebab was delicious!"
13,Eetcafé 't Gasthuys, 5 stars ,8 months ago,The service was great. The food was delicious and it lived up to the price. The drinks menu was plentiful.
14,Eetcafé 't Gasthuys, 5 stars ,3 years ago,Small and cozy place with a good menu and freshly prepared food. Nice place to hangout with friends and locals.
15,Eetcafé 't Gasthuys, 1 star ,7 months ago,"Menu says fries are included, our food arrived without them, and the waiter told us that it does not work that way and we will not be getting fries"
16,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"Found this place by accident, lovely place to have a drink & to eat(food was very reasonable and very delicious) service was excellent! Great guys behind the bar. One was Leon and i did not get the name of the other gentleman behind the bar.I would definitely recommend this place. I will be back!"
17,Eetcafé 't Gasthuys, 2 stars ,4 years ago,"Nice bar but terrible service. We ordered the fish and both servings had bones all through the fillets. After waiting for 10 minutes for service, watching the male waiter on his phone behind the bar coming out twice to check every table …"
18,Eetcafé 't Gasthuys, 4 stars ,4 years ago,Very nice service in a nice café with possibility to sit outside above a canal. Coffee was good and the waiter friendly.
19,Eetcafé 't Gasthuys, 4 stars ,2 years ago,"You can get 3 course set menu for 14.95eur, what is really good price, considered of the location, which is very central, there is inside and outside seating. Outside is quite nice, by the canal. Food is good and quite fresh, I was …"
20,Eetcafé 't Gasthuys, 5 stars ,3 years ago,Food and drinks were delicious! Came here with my girlfriend and had wonderful 3 course meal with a few beers and the staff were incredibly friendly! Cheapest and the nicest bar we've come across in Amsterdam.
21,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"Really enjoyed our visit. We ordered the deal of the day at just under 10euros which was steak cheese in a bun, chips and salad and bottle of house wine at 11. Serves was good and lots of atmosphere."
22,Eetcafé 't Gasthuys, 5 stars ,4 years ago,Lovely little Restaurant. Good prices for real good food and drinks. Waiter is a real star! <3 you don't have to hurry or need to pay after you finished your food and ordered another drink. Also real nice possibilities to sit outside :-)
23,Eetcafé 't Gasthuys, 5 stars ,4 years ago,"Amazing place. Stumbled across this place on a rainy day in Amsterdam and fell completely in love. Very friendly staff, good food, Great beer. Stayed all afternoon to early evening. Wi-Fi available so we streamed the game. Went  back the next before we had to go to the airport. Highly recommend. The best seat is the one in the window."
24,Eetcafé 't Gasthuys, 5 stars ,4 months ago,"Friendly stuff, yum cocktails and pints!"
25,Eetcafé 't Gasthuys, 4 stars ,9 years ago,"One of the most value for money restaurants in the city. Probably the best burger regarding the taste and the size. The personnel is also very friendly, which is remarkable as it is always very busy and they are stil so helpful. Absolutely …"
26,Eetcafé 't Gasthuys, 5 stars ,8 months ago,"Really Good burger, great selection of beers."
27,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"Went with a stag do, ended up going in for the following 2 days thereafter. So friendly so good a dealing with a bunch of drunken Englishmen despite our good manners. So go here agin when we're next over! See you soon Kasper."
28,Eetcafé 't Gasthuys, 4 stars ,4 years ago,Really cozy little café. Inexpensive for the centre of Amsterdam. Close to several fine theatres and cafés. Nice if you want to find a more quiet spot. Try their delicious hot apple pie!
29,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"To be honest in the beginning I thought it's a tourist trap but I would say in the end it was a lovely experience, it's a casual restaurant with a lovely terrace overlooking the canals of Amsterdam, service was casual but friendly food …"
30,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"That place is perfect! Friendly staff, good jazz music, and delicious food. We’re vegetarian and Spanish people and for the both are perfect, and good price too ☺️"
31,Eetcafé 't Gasthuys, 4 stars ,4 years ago,Brilliant bar. We found this place back in March and now again in November. Love how cosy this place is. Very dutch! Reasonable price and also good food. Friendly staff.... Worth a visit when in Amsterdam.
32,Eetcafé 't Gasthuys, 4 stars ,2 years ago,"Lovely and cosy atmosphere! Good bakery, but I missed the essence of the food. It's good, but needs that something more..."
33,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"Good price, good (and plenty of) food, good atmosphere. My wife and I randomly walked into it and we were pleasantly surprised by how good it is."
34,Eetcafé 't Gasthuys, 4 stars ,7 years ago,"For the price paid, it's decent value. The butter fish wasn't great in texture but I loved the starter with cheese croquettes. The atmosphere is cosy."
35,Eetcafé 't Gasthuys, 5 stars ,8 years ago,"Wonderful Belgian beer on tap, amazing pork satay, lovely quiet atmosphere. Space upstairs and fun times watching people navigate the snappy doors."
36,Eetcafé 't Gasthuys, 4 stars ,6 years ago,Food looks good and seems well priced. Beer is cheap and ambiance is fun and relaxed. Great non-tourist trap spot!
37,Eetcafé 't Gasthuys, 4 stars ,5 years ago,Simple but tasty food in a beautiful setting. You can sit outside beside the canal or inside - has a great old pub feel.
38,Eetcafé 't Gasthuys, 5 stars ,5 years ago,Had a great time here... Perfectly managed a group of 25 people serving perfect Burgers and a bigger couple of drinks. Will definitely come back!
39,Eetcafé 't Gasthuys, 4 stars ,3 years ago,"Good vibe, quick service and good fast food.

Good place to have a quick lunch and a fresh beer outside with summery weather. …"
40,Eetcafé 't Gasthuys, 4 stars ,3 years ago,A lovely old-fashioned bar restaurant by the canalside.  Good beer and food. Lovely barmaid but the world's most miserable waitress.
41,Eetcafé 't Gasthuys, 2 stars ,2 years ago,We came for lunch and ordered a Cesar salad and a club sandwich. Both had some very dry chicken and all over quite unimpressive.
42,Eetcafé 't Gasthuys, 5 stars ,6 years ago,"Really good place with tasty food, good drinks and friendly staff!  So cosy and comfortable!  We were impressed"
43,Eetcafé 't Gasthuys, 5 stars ,8 years ago,"Nice quiet spot in the sun with a small canal to stare the day away. Awesome bitterballen, steak & cheeseburger. Sign outside saying NO SAXOPHONE! Altho I guess it means no street music..."
44,Eetcafé 't Gasthuys, 4 stars ,5 months ago,Tasty food and a good view
45,Eetcafé 't Gasthuys, 5 stars ,2 years ago,"Very nice place, tasty food, friendly staff, huge portions!!!"
46,Eetcafé 't Gasthuys, 5 stars ,2 years ago,A friendly little restaurant very close to the touristy places but it's much more quiet and nice.
47,Eetcafé 't Gasthuys, 5 stars ,4 years ago,very popular bar with a variety of beers. Enjoyed the 3 course dinner for just over €14
48,Eetcafé 't Gasthuys, 5 stars ,4 years ago,"If you read this, go inside and order your food!!! That is an order! Awesome staff!  The Dutch can read minds. He knew my draft was empty!!!"
49,Eetcafé 't Gasthuys, 1 star ,4 years ago,"So the translation from Dutch ""cafe t Gasthuys"" to English is also ""cafe t Gasthuys""?! Wow I'm so happy they published their name twice! Nah I don't think I will come here"
50,Eetcafé 't Gasthuys, 1 star ,4 years ago,We had to wait way too long until the waiter came. Unfortunately he has no clue of what is being offered here. Questions were answered really offensively and impolitly.
51,Eetcafé 't Gasthuys, 5 stars ,3 years ago,"Amazing, vibrant, realaxing atmosphere, excellent food and service.. plus very cheap considering it location to dam square"
52,Eetcafé 't Gasthuys, 5 stars ,3 years ago,"Great location, friendly staff and excellent food. Superb value for money and highly recommended."
53,Eetcafé 't Gasthuys, 5 stars ,5 years ago,"Great selection, great value, friendly welcoming staff, with good music too. Couldn't ask for more in a bar!"
