,Name,Review Rate,Review Time,Review Text
0,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"The Eetcafe Blauwbrug is a great little restaurant with a full menu and full bar. I stopped in for dinner with Ox Tail soup, and veal liver and it was delicious. There is plenty of outside patio seating and a beautiful interior, I loved the …"
1,Eetcaf√© Blauwbrug, 5 stars ,4 months ago,"Fantastic intimate brown bar with great, friendly and swift service. Didn’t have a chance to order food as was near closing time, but if it is anything like the ambiance then I will be returning👏"
2,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"This is a fantastic place with friendly staff. It is a great area if the main part of Amsterdam is getting a bit much.
There is a Coffeeshop a couple of doors down but you do not see the same …"
3,Eetcaf√© Blauwbrug, 4 stars ,2 years ago,"Great food and cosy atmosphere.

It can get a little loud during busy hours but that goes to show just how worth …"
4,Eetcaf√© Blauwbrug, 4 stars ,2 years ago,"This venue is old school Amsterdam.
The food is plain but eatable.
The service was nice and swift. …"
5,Eetcaf√© Blauwbrug, 4 stars ,2 years ago,"Very nice hot chocolate with rum. The place was pretty crowded for a Tuesday afternoon, almost all tables were occupied or reserved, which seemed overwhelming for the staff, we waited for forever for the bill and finally left leaving the cash on the table."
6,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"Great atmosphere, great staff, wonderful place to spend an afternoon"
7,Eetcaf√© Blauwbrug, 5 stars ,4 months ago,"Excellent Fish&Chips, clean restaurant, nice owners 👌🏻"
8,Eetcaf√© Blauwbrug, 5 stars ,3 months ago,Nice collection of beers
9,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"Although it is a simple place, the environment is fantástic. Funny and happy people made the difference in a cold afternoon. I recommend a pit stop in this place."
10,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"Untidy tables, rude staff and a very unwelcome feel to this place. I suggest you walk a bit and find something else. The food isn't the best I've had either. Very average."
11,Eetcaf√© Blauwbrug, 4 stars ,4 years ago,It's a very charming and cozy place. I had a breakfast with this amazing apple pie.
12,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"The best bar in Amsterdam! A lot of draft beers here!!! I just want to say that, in addition to a nice meal, we had a delightful waitress. She had just the right balance of friendliness and efficiency. She recognized that we wanted time to …"
13,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"Nice place to enjoy beer in Amsterdam. It wasn't great weather so we opted to go inside, but I was happy we did because the terrace stank of spilt beer and the decorations inside the windmill are charming. We had a tasting tray of beers …"
14,Eetcaf√© Blauwbrug, 2 stars ,2 years ago,"At 22:00 kitchen was closed and the only thing available was bitterballen. No vegetarian option, not fries not even nachos. There was a ""take it or leave it"" attitude by the women working there. Service was pretty basic and unfriendly. At least they had a few special beers to choose from!"
15,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"Very cosy old Cafe, where can unwind with delicious beers and typical Dutch bar food like sate, bitterballen en toasties.
The owner is very nice and quite helpful, don't forget to order the traditional …"
16,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"The best bar / cafe / restaurant in Amsterdam, definitely need to attend this one if you want to try European beer (16 draft ones vs. 2 in all other bars of Amsterdam). Delicious sandwiches and salads, great atmosphere and wonderful staff!"
17,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"The place is nice and cozy, but our experience was terrible. We waited a full hour for our food, while the waitress did everything she could to avoid us. After we didn’t give her a choice but to answer what’s going on, she mumbled a faint …"
18,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"The place itself is nice, but we got very bad service and experience, our order was not properly put and we waited for an hour for the food, as we had a baby with us it was very unpleasant and no one told us about the mistake until we …"
19,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"Nice place in pictoresque location
Kind bartender
Lots of choice for draft bier (16 different)"
20,Eetcaf√© Blauwbrug, 3 stars ,5 years ago,"The food was amazing, really, the complements go to the chef. I had as an starter break bread with garlic butter and as a main dish the American burger. However the waitresses were horrible, they were ignoring us and almost throwing the …"
21,Eetcaf√© Blauwbrug, 1 star ,2 years ago,My daughter and I were looking forward to a coffee in this cafe after a long walk into Amsterdam. The cafe looked cosy and friendly. We were met by a distinctly unfriendly member of staff who's attitude became unwelcoming as soon as she …
22,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,Found this coffee/lunch/dinner spot after popping off the hop on hop off boat. We had really good fish and chips and great service. Couple beers. Highly recommend to weary travellers.
23,Eetcaf√© Blauwbrug, 2 stars ,3 years ago,"Good food, ridiculously priced water  7.25 EUR for a bottle."
24,Eetcaf√© Blauwbrug, 1 star ,6 years ago,"Terrible service. Did not get any food after waiting half an hour and asking really nicely several times. Wait staff never apologised for the delay, blamed us for not asking earlier and told us to wait out turn. Three other tables who got …"
25,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"Stumbled into this place after visiting the ‘ice bar’ and we are glad we did.

Great atmosphere, warm and the food is well presented (and delicious). …"
26,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"The personal had a low sense of service - to be honest one of the lowest I ever experienced. The food was not priceworthy. We got hair in our food and we complained they seemed more annoyed than apologetic. All in all - I Do not, by any means, recomend this place to anyone."
27,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"The service is horrific. This is the kind of place that serves you the wrong drink and then severely burnt bacon (apparently they don't even care enough to *look* at the food they serve), and when you ask them about it, instead of apologizing the waitress asks ""well, was the rest good though?"""
28,Eetcaf√© Blauwbrug, 3 stars ,5 years ago,"Can't say anything about the food since we didn't eat here. I just had a coffee. The place had a tourist trap vibe once we walked in. But we were tired, didn't care, and figured it didn't matter too much since we weren't eating there …"
29,Eetcaf√© Blauwbrug, 1 star ,2 years ago,"I ordered the fish and chips. Hated it, did not eat it. Fish was mush, bread coating too salty. When the waitress cleared are table she did not mention mine was uneaten."
30,Eetcaf√© Blauwbrug, 3 stars ,5 years ago,"The food was amazing, really, the complements go to the chef. I had as an starter break bread with garlic butter and as a main dish the American burger. However the waitresses were horrible, they were ignoring us and almost throwing the …"
31,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,Nice cafe / restaurant with friendly staff and good location close to several important museums of Amsterdam
32,Eetcaf√© Blauwbrug, 1 star ,3 years ago,"The service is horrific. This is the kind of place that serves you the wrong drink and then severely burnt bacon (apparently they don't even care enough to *look* at the food they serve), and when you ask them about it, instead of apologizing the waitress asks ""well, was the rest good though?"""
33,Eetcaf√© Blauwbrug, 3 stars ,2 years ago,"Bit touristy, but nice enough. They did not do my broodje Osseworst ant favours though."
34,Eetcaf√© Blauwbrug, 4 stars ,2 years ago,"Perfect snacks and good range of beers, even sitting outside in the rain, nice spot"
35,Eetcaf√© Blauwbrug, 5 stars ,5 years ago,"I loved this place. I drank here a few times during my stay and I will go again. Great venue, great staff and great locals."
36,Eetcaf√© Blauwbrug, 5 stars ,2 years ago,"Lovely atmosphere sitting outside, friendly staff,nice food & drinks"
37,Eetcaf√© Blauwbrug, 5 stars ,3 years ago,"Had a great dinner here. The food was good, the staff was friendly, and I even got a free beer!"
