,Name,Review Rate,Review Time,Review Text
0,Eetcaf√© La Chambre, 4 stars ,3 years ago,"Great cosy spot in Amsterdam Noord.
Delicious food."
1,Eetcaf√© La Chambre, 5 stars ,3 years ago,"This is a Very Cute little local café. Cozy interior and outdoor seating area. Friendly service. The doggie was so friendly. The quick bites were really nice. The steaks were good but a little dry, but the good service provided makes up for it."
2,Eetcaf√© La Chambre, 5 stars ,4 years ago,Cute little local café. Cozy interior and outdoor seating area. Heineken on tap and some bottled Belgian beers. Friendly service.
3,Eetcaf√© La Chambre, 5 stars ,a year ago,super!!!!!
4,Eetcaf√© La Chambre, 3 stars ,a month ago,"(Translated by Google) Nice cozy neighborhood cafe, just come and get a beer or soft drink …"
5,Eetcaf√© La Chambre, 5 stars ,3 years ago,"(Translated by Google) Just nice no nonsense food, very sweet service, great prices. Cozy regulars who ensure that everyone feels at home, young / old / noordeling / yup / hipster. In short, we had to go much earlier, and come back. …"
6,Eetcaf√© La Chambre, 5 stars ,3 years ago,(Translated by Google) I was allowed to paint here at a private party. What a super cozy eatery. I will definitely come back here. …
7,Eetcaf√© La Chambre, 5 stars ,2 years ago,(Translated by Google) A small place in a quiet area but really with all the atmosphere you can expect …
8,Eetcaf√© La Chambre, 5 stars ,6 months ago,"(Translated by Google) Top game super fun

(Original)
Topgame super gezellig"
9,Eetcaf√© La Chambre, 5 stars ,2 years ago,"(Translated by Google) Nice food and nice atmosphere.

(Original)
Lekker eten en leuke sfeer."
10,Eetcaf√© La Chambre, 4 stars ,2 years ago,"(Translated by Google) Cozy restaurant with a homely atmosphere.

(Original) …"
11,Eetcaf√© La Chambre, 1 star ,2 years ago,"(Translated by Google) The employees are mainly concerned with themselves.

(Original) …"
12,Eetcaf√© La Chambre, 1 star ,4 years ago,"(Translated by Google) Was closed

(Original)
Was dicht"
13,Eetcaf√© La Chambre, 3 stars ,3 years ago,"(Translated by Google) Okay

(Original)
Oke"
14,Eetcaf√© La Chambre, 4 stars ,3 years ago,"(Translated by Google) Good snack food

(Original)
Goed hapje eten"
15,Eetcaf√© La Chambre, 4 stars ,4 years ago,
16,Eetcaf√© La Chambre, 4 stars ,4 years ago,
17,Eetcaf√© La Chambre, 5 stars ,2 years ago,
18,Eetcaf√© La Chambre, 5 stars ,6 months ago,
19,Eetcaf√© La Chambre, 5 stars ,4 years ago,
