,Name,Review Rate,Review Time,Review Text
0,Eetcaf√© 't Gasthuys, 4 stars ,7 months ago,"Tasty food, nice ambience, staff very polite and helpful but service can be faster"
1,Eetcaf√© 't Gasthuys, 5 stars ,2 years ago,A very traditional Dutch bar/restaurant in the center of Amsterdam. The style is very nice with two floors of space to sit. Staff was very happy and polite! I ordered ribs for dinner and I was very happy with the quantity and quality of the …
2,Eetcaf√© 't Gasthuys, 4 stars ,4 years ago,"Great place to stop for a drink and lunch! Nice ambience with outside seating.
A little understaffed but otherwise the service was good.
Both, the burger and 3 spicy sausage Italian roll were pretty good. Would recommend this place for a stop while youre strolling through the city!"
3,Eetcaf√© 't Gasthuys, 5 stars ,a month ago,"Great owners and atmosphere, drinks were reasonably priced as well"
4,Eetcaf√© 't Gasthuys, 5 stars ,4 years ago,"Very friendly staffs, very good food. They have 3 course menu offer for 14,75. Totally worth it. Super satisfied!"
5,Eetcaf√© 't Gasthuys, 5 stars ,3 months ago,"Very nice place, you have feeling like you are at home. Excelent  food."
6,Eetcaf√© 't Gasthuys, 4 stars ,3 years ago,Reasonable prices. Nice old style bar. Well worth a visit.
7,Eetcaf√© 't Gasthuys, 5 stars ,4 years ago,"Nice quite place. Good burgers, salads, kebabs and coffee."
8,Eetcaf√© 't Gasthuys, 5 stars ,5 months ago,Finaly found a cafe with good beers. It is nice to drink and see boats
9,Eetcaf√© 't Gasthuys, 5 stars ,2 years ago,Really good place to relax and have a beer on the side of a canal!
10,Eetcaf√© 't Gasthuys, 5 stars ,3 years ago,"Great service, food, price and scenery! Would highly recommended. Especially the steak."
11,Eetcaf√© 't Gasthuys, 5 stars ,4 months ago,"Great place to hang out, friendly service, cool atmosphere."
12,Eetcaf√© 't Gasthuys, 3 stars ,5 years ago,"Great food experience, but extremely slow service. The chicken kebab was delicious!"
13,Eetcaf√© 't Gasthuys, 5 stars ,8 months ago,The service was great. The food was delicious and it lived up to the price. The drinks menu was plentiful.
14,Eetcaf√© 't Gasthuys, 5 stars ,3 years ago,Small and cozy place with a good menu and freshly prepared food. Nice place to hangout with friends and locals.
15,Eetcaf√© 't Gasthuys, 1 star ,7 months ago,"Menu says fries are included, our food arrived without them, and the waiter told us that it does not work that way and we will not be getting fries"
16,Eetcaf√© 't Gasthuys, 5 stars ,2 years ago,"Found this place by accident, lovely place to have a drink & to eat(food was very reasonable and very delicious) service was excellent! Great guys behind the bar. One was Leon and i did not get the name of the other gentleman behind the bar.I would definitely recommend this place. I will be back!"
17,Eetcaf√© 't Gasthuys, 2 stars ,4 years ago,"Nice bar but terrible service. We ordered the fish and both servings had bones all through the fillets. After waiting for 10 minutes for service, watching the male waiter on his phone behind the bar coming out twice to check every table …"
18,Eetcaf√© 't Gasthuys, 4 stars ,4 years ago,Very nice service in a nice café with possibility to sit outside above a canal. Coffee was good and the waiter friendly.
19,Eetcaf√© 't Gasthuys, 4 stars ,2 years ago,"You can get 3 course set menu for 14.95eur, what is really good price, considered of the location, which is very central, there is inside and outside seating. Outside is quite nice, by the canal. Food is good and quite fresh, I was …"
