,Name,Review Rate,Review Time,Review Text
0,Ernos, 5 stars ,8 months ago,"Really the tastiest Turkish pizzas and kapsalons, appropriately priced, quick service."
1,Ernos, 5 stars ,6 months ago,My favourite place with food in East A'dam.
2,Ernos, 5 stars ,a year ago,Didn’t have any food but I needed some help whilst I was waiting for the bus and these guys were friendly and helped me out. Thank you and I will buy a burger from you soon!
3,Ernos, 3 stars ,3 years ago,"Price is good, staff is friendly. I had the chicken, does not tastes good. Wasn't bad but I wouldn't go there again."
4,Ernos, 5 stars ,2 years ago,Food is always great there and the crew is fun to talk to
5,Ernos, 5 stars ,3 years ago,"Good quality and price
A doner box of 4 euros is enough to get full"
6,Ernos, 4 stars ,2 years ago,halal food written on the shop front window
7,Ernos, 1 star ,2 years ago,Bad service and the man is a thief
8,Ernos, 4 stars ,3 years ago,Good food
9,Ernos, 5 stars ,6 years ago,Best snackbar in town.
10,Ernos, 1 star ,a week ago,I bought some fried chicken drumsticks. Didn’t taste good at.all. Also found some chicken hair on it.
11,Ernos, 5 stars ,7 months ago,(Translated by Google) Delicious food. Been coming here since small and top food also top staff …
12,Ernos, 5 stars ,3 years ago,"(Translated by Google) Best hair salon from east!

(Original)
Beste kapsalon uit oost!"
13,Ernos, 4 stars ,2 years ago,"(Translated by Google) If you have to wait for a tram or bus or just as easy to eat after a while at the Dappermarkt, then this Ernos location is an absolute must! Their chicken wings are very tasty but you can also get full of Doner …"
14,Ernos, 1 star ,3 years ago,"(Translated by Google) I ate once but was really not tasty.
Had chicken satay with bread but at first looked very coarse and didn't taste good. …"
15,Ernos, 5 stars ,2 years ago,(Translated by Google) Today we ate a delicious fries with mayo! Service was very friendly! I could already take a seat on the terrace and people brought it to me neatly. …
16,Ernos, 5 stars ,9 months ago,"(Translated by Google) On the cozy Dappermarkt, a 1-minute walk from the tram stop. …"
17,Ernos, 5 stars ,2 years ago,"(Translated by Google) The best Kebab in all of Amsterdam for price and quality.
The best Kebab restaurant in Amsterdam. Good price and quality. …"
18,Ernos, 5 stars ,a year ago,"(Translated by Google) Always friendly, great food and short waiting time

(Original) …"
19,Ernos, 4 stars ,2 years ago,(Translated by Google) The food is quickly prepared friendly service and the prices are reasonable …
20,Ernos, 1 star ,10 months ago,"(Translated by Google) I wouldn't do it the second time

(Original) …"
21,Ernos, 5 stars ,2 years ago,(Translated by Google) Food is clean and staff is very friendly. Tachakor abbi. You are great …
22,Ernos, 5 stars ,4 years ago,(Translated by Google) Best hair salon I have ever eaten friendly and relaxed staff top case …
23,Ernos, 5 stars ,3 years ago,(Translated by Google) the staff was very nice. I was helped quickly and the food was tasty and fresh …
24,Ernos, 5 stars ,a year ago,"(Translated by Google) Delicious mexicano chili / mayo hey gidi günler.

(Original) …"
25,Ernos, 5 stars ,3 years ago,(Translated by Google) Kapsalon Groot is quite an experience that will haunt you for at least 24 hours …
26,Ernos, 5 stars ,5 years ago,"(Translated by Google) Good snack bar. Cheap but good food. Operation is fast and friendly, definitely recommended …"
27,Ernos, 5 stars ,3 years ago,(Translated by Google) Great snack bar! Nice staff who know how it works in the brave market …
28,Ernos, 5 stars ,2 years ago,(Translated by Google) Good place. Only it can get a bit crowded by the nearby school during the break. …
29,Ernos, 5 stars ,3 years ago,(Translated by Google) Very good and cheap. Really for the local residents. Also very nice service …
30,Ernos, 3 stars ,a year ago,"(Translated by Google) Great case with not too smart operation

(Original) …"
31,Ernos, 5 stars ,4 years ago,(Translated by Google) also Turkish pizzas .. friendly people and top service 👍👍👍👍👍 …
32,Ernos, 4 stars ,3 years ago,"(Translated by Google) Handy, quite tasty, but not special

(Original) …"
33,Ernos, 4 stars ,3 years ago,"(Translated by Google) Good spot for a quick bite :) always a good atmosphere.

(Original) …"
34,Ernos, 5 stars ,2 years ago,"(Translated by Google) The big lip-eyed arrow that stuck to the glass.

(Original) …"
35,Ernos, 5 stars ,2 years ago,"(Translated by Google) Super tasty Turkish pizzas

(Original)
Super lekkere Turkse pizzas"
36,Ernos, 5 stars ,2 years ago,"(Translated by Google) Men like men, from the heart of Sivas

(Original) …"
37,Ernos, 4 stars ,3 years ago,"(Translated by Google) Great fast service Large quantity!

(Original) …"
38,Ernos, 5 stars ,4 years ago,"(Translated by Google) Great food nice staff

(Original) …"
39,Ernos, 5 stars ,2 years ago,"(Translated by Google) Friendly people work there.

(Original) …"
40,Ernos, 5 stars ,5 years ago,"(Translated by Google) Best hair salon of the Dapperbuurt.

(Original) …"
41,Ernos, 5 stars ,4 years ago,"(Translated by Google) Top food and top staff !!!

(Original)
Top eten en top personeel!!!"
42,Ernos, 5 stars ,3 years ago,👍😍
43,Ernos, 1 star ,3 years ago,"(Translated by Google) Fries from the market are better ..

(Original) …"
44,Ernos, 5 stars ,3 years ago,"(Translated by Google) Best snack bar in Amsterdam

(Original)
Beste snackbar van amsterdam"
45,Ernos, 5 stars ,3 years ago,👍👍
46,Ernos, 5 stars ,3 years ago,"(Translated by Google) Delicious fries!

(Original)
Lekkerste friet!"
47,Ernos, 1 star ,2 years ago,"(Translated by Google) Take a bite

(Original)
Een hapje doen"
48,Ernos, 5 stars ,3 years ago,"(Translated by Google) best snack bar

(Original)
beste snackbar"
49,Ernos, 5 stars ,4 years ago,"(Translated by Google) ""It's yay""

(Original)
""Het is yay"""
50,Ernos, 5 stars ,4 years ago,"(Translated by Google) Super place

(Original)
Super plek"
51,Ernos, 5 stars ,5 years ago,"(Translated by Google) Fast and tasty

(Original)
Snel en lekker"
52,Ernos, 4 stars ,4 years ago,"(Translated by Google) Nice tent

(Original)
Leuke tent"
53,Ernos, 4 stars ,2 years ago,
54,Ernos, 5 stars ,2 years ago,
55,Ernos, 4 stars ,4 years ago,
56,Ernos, 5 stars ,2 years ago,
57,Ernos, 5 stars ,2 years ago,
58,Ernos, 3 stars ,4 years ago,
59,Ernos, 5 stars ,3 years ago,
