,Name,Review Rate,Review Time,Review Text
0,Executive Lounge, 5 stars ,10 months ago,Went in here last night for my buddies party and it was the first time I'd ever been to a strip club so it was all new to me. However it was a fantastic experience for me. Both Sapphire and London took very good care of my friends and I. I …
1,Executive Lounge, 1 star ,10 months ago,I will not be back in here and I can not recommend this place. There is a whole bunch of traffic to the changing rooms and only SOME customers are allowed to go. Just keep heading south and make a right @ k15. The beach house is down the …
2,Executive Lounge, 5 stars ,a year ago,"This place is my favorite! It's clean!! The girls are sexy and they're all different types! They have a good variety of music. The drinks are cheaper than other clubs. The owner's are awesome! We call the cook pop, and he's makes the best …"
3,Executive Lounge, 3 stars ,a month ago,"I hope you like ""darker"" girls!  Some are really FINE."
4,Executive Lounge, 5 stars ,4 months ago,I'm definetly gonna come check out your Hotties that dance at this club might even see about getting hooked up with one of them seriously
5,Executive Lounge, 5 stars ,a year ago,I enjoy going to the Executive Lounge.  I always have a good time and enjoy talking with the ladies.  The drinks are great and always have ice cold beer.  Everyone is friendly and it is a relaxed crowd.  They play a variety of music. The ladies are always nice and beautiful.  Ready to come party!!!
6,Executive Lounge, 5 stars ,a year ago,"Dang where to start haha, everybody was great had a fun time, the lady’s were awesome and the Beer was nicer, but the owners and crowd was an amazing experience!!!!! Thank you for a awesome night. Much love🤘🏻🥰"
7,Executive Lounge, 3 stars ,11 months ago,"Not a bad place. Only two dancers on a Sunday night, though. Guess I should have picked a better day."
8,Executive Lounge, 5 stars ,2 years ago,I have a great time everytime I'm here. I love the managements no nonsense attitude toward developing a great place to hang out safe. Shout out to the management. Me and my crew will see you again real soon!!!!
9,Executive Lounge, 1 star ,2 years ago,Stay out of this place. The girls here are ready to steal from you. Most men want the ladies to seduce the money from your wallet. These girls will literally steal it from you even if they have to pick your pocket. Not a good establishment.  I'm ok with sleazy but I hate a damn thief.
10,Executive Lounge, 5 stars ,2 years ago,i Do recommend this place to everyone . The owners are nice people . They take care of their customers . Also I’m sad that they stopped serving food there .and their grilled chicken sandwich was very tasteful and their grilled chicken salad too . Again the place is a good place to go to
11,Executive Lounge, 5 stars ,2 years ago,I have been to this establishment several times owners are great and employees are very attractive so if your looking for a great hangout try this place you won't be disappointed miss y'all see this spring.
12,Executive Lounge, 1 star ,4 months ago,SCAMMERS. Don’t use your card.
13,Executive Lounge, 5 stars ,3 years ago,It’s the best place to hang out and chill with friends. The girls are wonderful and the food is very good!
14,Executive Lounge, 5 stars ,3 months ago,super place all very kind blessings
15,Executive Lounge, 1 star ,4 months ago,Use cash only and it’s aight
16,Executive Lounge, 5 stars ,a year ago,"I heard this place was amazing, I want to work here but what are the requirements. Because I’m ready to make some money"
17,Executive Lounge, 5 stars ,2 years ago,"Hot girls, great staff, good music, a very good time!!"
18,Executive Lounge, 5 stars ,3 years ago,"Great atmosphere, pretty girls, cool staff and great food!!!"
19,Executive Lounge, 5 stars ,5 months ago,Great Service
