,Name,Review Rate,Review Time,Review Text
0,FEBO, 3 stars ,4 months ago,Quick Dutch food from a vending machine style of kitchen. Burgers are for sure too pricey for what you get.
1,FEBO, 3 stars ,3 years ago,Staff very friendly and conveniently close to the NH Amsterdam North hotel. But the softice icecream cone was very mediocre ... ice not so creamy and cone stale. However it is convenient that they have toilets.
2,FEBO, 1 star ,2 years ago,"If you like that for 7.25 euro, enjoy on Febo and potatos half to much cooked and cold low."
3,FEBO, 3 stars ,5 months ago,"Nice staff, food as expected :)"
4,FEBO, 2 stars ,2 years ago,"I don't like the way I've been treated here twice.
I took an ijs-co and the first time they charged me 0,50€ for the chocolate sauce, i tried to replay that I've always paid the normal price in others febo …"
5,FEBO, 1 star ,3 years ago,"Ordered a double vega burger menu and a double grillburger menu. Received one regular vega burger menu, and a double vega burger with a milkshake. Took it anyway"
6,FEBO, 1 star ,2 years ago,They scammed us and no good taste
7,FEBO, 5 stars ,3 years ago,Try the soft ice cream
8,FEBO, 1 star ,2 years ago,No Service. No Taste.
9,FEBO, 5 stars ,3 years ago,Yum
10,FEBO, 2 stars ,4 months ago,(Translated by Google) Friendly staff! Only I got a lot of pain in my stomach because of the vitality I ate (sort of vegetarian croquette) …
11,FEBO, 5 stars ,4 months ago,(Translated by Google) I really like sate croquette and I like mayonnaise with onions and barbeque sauce to eat on its own …
12,FEBO, 5 stars ,6 months ago,"(Translated by Google) 5 stars is not enough, it would take 1 million stars! Best concept I hope it will arrive in France one day 🤞 …"
13,FEBO, 5 stars ,4 months ago,"(Translated by Google) Always good, always very tasty, Dutch cuisine

(Original) …"
14,FEBO, 5 stars ,5 months ago,"(Translated by Google) Born I can't pass without his croquette

(Original) …"
15,FEBO, 2 stars ,a year ago,"(Translated by Google) Super friendly staff. Only yesterday I got a fries war (got very few onions but ok) and a vegetarian grill burger with cheese. Fries were too brown or almost burnt. And the beauty of it is, massive stomach flu since …"
16,FEBO, 4 stars ,4 months ago,"(Translated by Google) Very friendly staff. Fast and tidy.

(Original) …"
17,FEBO, 5 stars ,9 months ago,"(Translated by Google) As with all FEBOs actually: spotlessly clean, good service and tasty snacks (FEBO quality perfect) and you can trust that you will have a good experience! …"
18,FEBO, 5 stars ,a year ago,"(Translated by Google) A Febo is a Febo, what shall I say about it? Above all, clean and very friendly staff, that struck me! …"
19,FEBO, 1 star ,3 months ago,"(Translated by Google) The burger is bad

(Original)
De hamburger is slecht"
20,FEBO, 3 stars ,3 years ago,"(Translated by Google) Respectful staff and a delicious rum milkshake. Unfortunately, not everyone who works there is customer-friendly every day. …"
21,FEBO, 4 stars ,2 years ago,"(Translated by Google) Because I wanted something delicious with my daughter and grandchildren for a while, that was the FEBO and also because my son works there …"
22,FEBO, 5 stars ,3 years ago,"(Translated by Google) Evht I have friends with the tut there. Very nice everything
Own beer is not okay here. …"
23,FEBO, 3 stars ,2 years ago,(Translated by Google) Tasty fries. Too bad they have virtually no vegan options. …
24,FEBO, 5 stars ,4 years ago,(Translated by Google) Looks clean and the fries taste like they used to at Febo …
25,FEBO, 5 stars ,3 years ago,(Translated by Google) Nice atmosphere and nice staff who help quickly and also tasty fries …
26,FEBO, 5 stars ,2 years ago,(Translated by Google) Friendly staff and FEBO food. What more can you ask for .... …
27,FEBO, 5 stars ,3 years ago,"(Translated by Google) Very clean place friendly staff. And delicious food

(Original) …"
28,FEBO, 3 stars ,7 months ago,"(Translated by Google) Potatoes are sweet

(Original)
البطاطس حلو عندهم"
29,FEBO, 5 stars ,a year ago,"(Translated by Google) Friendly service, tasty fries!

(Original) …"
30,FEBO, 3 stars ,2 years ago,"(Translated by Google) If you feel hungry in between, it is nice to just step inside the febo …"
31,FEBO, 3 stars ,3 years ago,(Translated by Google) Prices are going up fast. Dishes from the boxes are often lukewarm …
32,FEBO, 3 stars ,a year ago,"(Translated by Google) Always good for a croquette.

(Original) …"
33,FEBO, 5 stars ,2 years ago,"(Translated by Google) Now also with vega burgers + croquettes

(Original) …"
34,FEBO, 4 stars ,4 years ago,(Translated by Google) Just old fashioned snack bar with cozy and friendly people …
35,FEBO, 4 stars ,3 years ago,"(Translated by Google) Cozy friendly staff neat toilet

(Original) …"
36,FEBO, 5 stars ,7 months ago,"(Translated by Google) Quick and delicious meal

(Original)
وجبه سریعه و لذیذه"
