,Name,Review Rate,Review Time,Review Text
0,Fook Sing, 3 stars ,a month ago,"No consistent quality. We tried it twice, the first time is was OK and the second time it was horrible."
1,Fook Sing, 5 stars ,3 years ago,"I came here in the 90's, moved away and now I'm back and the place is still excellent. Good value for money. Next to the standard Chinese take away menu they have a few dishes that are a bit special and set them apart."
2,Fook Sing, 2 stars ,6 years ago,"Debating between 1 or 2 stars, but...

Food:  So, so.  This is definitely NOT Chinese. …"
3,Fook Sing, 5 stars ,3 years ago,"Very good and tasty products, very well served. They are very kind. She dont speek english but a menu is available in english on place and there with it's possible to order if de dont know chinese or netherlandish :-)"
4,Fook Sing, 5 stars ,2 years ago,"Super friendly, super tasty. Quality doesn’t need a lot of words 10/10"
5,Fook Sing, 5 stars ,a year ago,Kind lady + very good takeaway place.
6,Fook Sing, 4 stars ,4 years ago,Nice taste and big portions (only tested take away) yet. Will come back.
7,Fook Sing, 4 stars ,6 years ago,"Great food for reasonable prices. Furthermore, you get a huge amount of food."
8,Fook Sing, 5 stars ,6 years ago,one man box is a cheap choice
9,Fook Sing, 4 stars ,3 years ago,(Translated by Google) Fook Sing is a small Chinese restaurant that has been located for years on the Molukkenstraat in Amsterdam East. …
10,Fook Sing, 5 stars ,9 months ago,"(Translated by Google) Very good Chinese restaurant! I have lived here in Oost for 3 years now and I enjoy coming here. Food is tasty and good value for money. The 1 person takeaway meals are super affordable, and you really get value for …"
11,Fook Sing, 5 stars ,5 months ago,(Translated by Google) Delicious food highly recommended these people really do their best thank you …
12,Fook Sing, 5 stars ,a year ago,"(Translated by Google) The best chinese in Amsterdam !! Truly the food is delectable every time. The owner is also a top hostess, always a nice chat and always friendly. Super recommended! …"
13,Fook Sing, 5 stars ,2 years ago,(Translated by Google) The best takeaway Chinese in Amsterdam. Kok is very knowledgeable in various Chinese cuisines and has a love for his profession. It is a pleasure to eat there and also to pick up food. Everything tastes fantastic and …
14,Fook Sing, 5 stars ,a year ago,"(Translated by Google) Excellent food. After reading a tip in the reviews, I ordered the ""small portion"" chicken in peanut sauce (with rice). That was still a hefty bowl of food, for only 7.50! …"
15,Fook Sing, 5 stars ,a year ago,"(Translated by Google) Fantastic take away! The Peking duck is my absolute favorite, so delicious! Also really a super sweet hostess! …"
16,Fook Sing, 4 stars ,4 months ago,"(Translated by Google) Would come again.

(Original)
Zou er wel weer komen."
17,Fook Sing, 5 stars ,6 years ago,"(Translated by Google) Fantastic dishes and a very friendly service. Have eaten here four times now. Even my son who often eats Chinese because of his participation in lion dance is very enthusiastic. According to him, the best Char Sui he …"
18,Fook Sing, 5 stars ,5 years ago,"(Translated by Google) In my opinion THE take out chinese in east! Tasty dishes, but of course the whole ambiance is complete if you pick up your food here. Man is cooking. Woman behind the bar. Numerous men waiting for dinner with a tulip …"
19,Fook Sing, 5 stars ,2 years ago,(Translated by Google) I get and eat there for at least 20 years good service and fantastic food I have tried others when they are on facantie but no they are the best …
20,Fook Sing, 4 stars ,8 years ago,"(Translated by Google) For over 20 years, is Chinese-Indian Takeaway ""Fook Sing"" at this point in the Molukkenstraat. The case is driven by a Chinese couple whose husband cooks excellent, and the woman creates a cozy operation. …"
21,Fook Sing, 5 stars ,10 months ago,"(Translated by Google) Delicious dishes and friendly staff. Absolute must!

(Original) …"
22,Fook Sing, 5 stars ,9 months ago,(Translated by Google) Been coming here for years. And don't even come close! Very nice owner …
23,Fook Sing, 5 stars ,3 years ago,"(Translated by Google) Great food, large portions and an extensive menu. The hostess is also very fond of a chat. All in all, nice to have found this place. I will come back here for sure. …"
24,Fook Sing, 5 stars ,6 years ago,"(Translated by Google) Small family restaurant.
The husband cooks, the wife serves.
Very tasty and plenty. …"
25,Fook Sing, 5 stars ,4 years ago,(Translated by Google) Delicious take out food. The owner is always very friendly. Highly recommended is the tomato soup. Tastiest I've ever eaten anywhere with fresh tomatoes. …
26,Fook Sing, 5 stars ,2 years ago,(Translated by Google) Very nice people. The meals are of good quality. Very good restaurant and significantly better than the average Chinese restaurant. …
27,Fook Sing, 5 stars ,2 years ago,(Translated by Google) Great people always friendly good food nothing to criticize for years regular customer …
28,Fook Sing, 5 stars ,3 years ago,"(Translated by Google) Good food, nice hostess who takes special account of special wishes. Come there for more than 25 years! …"
29,Fook Sing, 5 stars ,a year ago,(Translated by Google) One of the best takeaways in Amsterdam for a very reasonable price. Friendly madam. …
30,Fook Sing, 5 stars ,3 years ago,(Translated by Google) Delicious food with a very extensive menu for both small and large appetites. …
31,Fook Sing, 5 stars ,4 years ago,(Translated by Google) Super tasty food for a very reasonable price. The owner is a super sweet woman who is always in for a chat. …
32,Fook Sing, 1 star ,3 years ago,"(Translated by Google) Wanted to go to the toilet and that was not allowed!
Food also very expensive and of bad quality you better go to the Nam Kee! …"
33,Fook Sing, 5 stars ,3 years ago,(Translated by Google) Best Chinese around. Genuinely friendly people and great food. …
34,Fook Sing, 5 stars ,3 years ago,"(Translated by Google) Good food and cozy dining in Oost, we enjoyed it.

(Original) …"
35,Fook Sing, 5 stars ,2 years ago,"(Translated by Google) Very hospitable, nice menu and delicious food!

(Original) …"
36,Fook Sing, 5 stars ,4 years ago,"(Translated by Google) Small-scale Chinese restaurant.
The food is great though.
Cash payments only. …"
37,Fook Sing, 5 stars ,a year ago,"(Translated by Google) Delicious eaten and received a fantastic carrying bag.

(Original) …"
38,Fook Sing, 4 stars ,2 years ago,(Translated by Google) Very nice and nice woman who talks pleasantly with the guests …
39,Fook Sing, 5 stars ,2 years ago,"(Translated by Google) Always good food and always fun

(Original) …"
