,Name,Review Rate,Review Time,Review Text
0,Forno Communale, 5 stars ,3 months ago,"Amazing spot in a quaint, relaxed neighborhood of Amsterdam. My girlfriend and I love the pizza here but tonight we ate the weekly menu and it was great! Lemon risotto with red mullet in a roasted garlic tomato sauce was incredible! Also …"
1,Forno Communale, 2 stars ,2 weeks ago,"The service was nice and try to fix all the kitchen mistakes, which is really nice. However, all the dishes we took were bad. Every dish had the same salad either it was burrata salad or plate of snacks, steak. Moreover, pasta was …"
2,Forno Communale, 5 stars ,a year ago,"Great ambience, fantastic food and brilliant service.

Ambience: (5/5) …"
3,Forno Communale, 5 stars ,5 months ago,"Very good service! GREAT FOOD! The pizza was exceptional! (extreeemely good), and very worth the price."
4,Forno Communale, 1 star ,3 weeks ago,"Arrived dry, cold, burnt on the edges and uncooked on top. Feeling like 2nd day pizza."
5,Forno Communale, 1 star ,4 months ago,"I don’t know if I just did not choose the right Pizza (tartuffo), but it was tasteless and I am even wondering if the products were fresh or not good quality - the ham was tasteless, the truffle sauce plain and barely noticeable, the onion …"
6,Forno Communale, 5 stars ,4 months ago,Excellent pizza. Great outdoor area that’s very pleasant when the sun is out.
7,Forno Communale, 4 stars ,10 months ago,"The food was delicious, although my lasagna bolognaise was such a small portion, definitely not worth 16.50 euro in my opinion. Lovely atmosphere, friendly staff and great drinks. Would definitely be 5 star if the portion wasn't so tiny."
8,Forno Communale, 5 stars ,a year ago,"To die for 🍕, you can feel the chef's passion on the plate! Neat, modern and minimalistic interior, friendly staff; highly recommended"
9,Forno Communale, 5 stars ,2 years ago,"What a cozy local restaurant with delicious Italian food! Also the service is exactly what you want, friendly staff with a personal touch. Will definitely come back :)"
10,Forno Communale, 5 stars ,a year ago,Pizza’s are by far the best in the area if not in Amsterdam. The seafood cavatelli is also incredible.
11,Forno Communale, 5 stars ,2 years ago,"CANT WAIT TO GO BACK, ESPECIALLY NOW WITH THE NEW OWNERS !!
GREAT PLACE !!  CONGRATS CHEF ANTHONY !!!"
12,Forno Communale, 1 star ,a year ago,"Pizza is horrible
Never tried something some dry and tasteless in my life (as an Italian).
VERDE pizza should be removed from The menu!"
13,Forno Communale, 5 stars ,a year ago,Great for a stop while site seeing. Great neighboorhood pizza joint. Lovely peaceful square in the busy Streets of Amsterdam
14,Forno Communale, 5 stars ,6 months ago,Nice staff and yummy pizza 🍕
15,Forno Communale, 4 stars ,a year ago,"Pizza was great, service was slow, cocktails were absolutely horrendous oh my God."
16,Forno Communale, 5 stars ,6 months ago,Just had coffee and they were great!
17,Forno Communale, 5 stars ,a year ago,"Very tasty pizza, chilled atmosphere and friendly staff all of that for decent price!"
18,Forno Communale, 5 stars ,a year ago,"The perfect neighborhood restaurant! Super staff, delicious food, great for takeout or eating at their terrace."
19,Forno Communale, 5 stars ,2 years ago,"Great food, amazing staff. The new owners are lovely and the pizza is delicious 🍕😍"
20,Forno Communale, 5 stars ,2 years ago,Lovely chilled out local restaurant with excellent pizza. Would highly recommend!
21,Forno Communale, 3 stars ,6 months ago,"So small portion, good service"
22,Forno Communale, 1 star ,11 months ago,Theg burned my foccacia bread. I want refund. Order by Uber eats.
23,Forno Communale, 5 stars ,2 years ago,Awesome pizza and they are available on thuisbezorgd as well! The margherita and salame picante helped with the gaming night :)
24,Forno Communale, 5 stars ,9 months ago,Nice and cosy place with delicious pizza!
25,Forno Communale, 3 stars ,a year ago,Average quality. One of the pizzas(tomato base) was very salty too.
26,Forno Communale, 4 stars ,2 years ago,"Well, it looks like it changed owner and pizza quality dropped unfortunately. There is hope it will improve. [Edit] my comment got considered and quality did improve."
27,Forno Communale, 1 star ,a year ago,We ordered pizza and we got completly different pizza than we ordered.
28,Forno Communale, 5 stars ,a year ago,Lovely spot. chef knows what's good!
29,Forno Communale, 5 stars ,2 months ago,Highly recommend!
30,Forno Communale, 2 stars ,7 months ago,Definitely not a good one!
31,Forno Communale, 5 stars ,a year ago,Dutch & good italian pizza!
32,Forno Communale, 5 stars ,a year ago,Great service and nice food.
33,Forno Communale, 5 stars ,a year ago,Nice Restaurant with delicious Food
34,Forno Communale, 3 stars ,a year ago,Truely sub-mediocre experience
35,Forno Communale, 5 stars ,a year ago,Delicious pizza 😋
36,Forno Communale, 4 stars ,a year ago,Top
37,Forno Communale, 2 stars ,2 months ago,"(Translated by Google) Picked up pizza margharita tonight, but it was cold despite the pick up at the indicated time. The mozzarella and cherry tomatoes on the pizza were also not baked for long with the pizza, the latter did not yet have a …"
38,Forno Communale, 5 stars ,2 weeks ago,"(Translated by Google) Good thing. Much more than a ""neighborhood"" pizza place. Beautiful dishes, nice service. Definitely come back. Highly recommended! …"
39,Forno Communale, 1 star ,6 months ago,"(Translated by Google) poor service, clumsy staff and way too long of a wait.

we had to wait half an hour before the card was even offered. then we had to …"
