,Name,Review Rate,Review Time,Review Text
0,Frank & Lydia's Ijssalon, 5 stars ,a year ago,"Just ordered delivery from them. They were super sweet , they provided something extra because a flavor was finished. Thank you! You made our office very happy"
1,Frank & Lydia's Ijssalon, 5 stars ,a year ago,Very creamy texture and a great variety to chose from! I was pleasantly surprised because the shop doesn't look like quality but the product certainly is!
2,Frank & Lydia's Ijssalon, 5 stars ,2 years ago,"Super friendly staff 2 ice cream balls 2.50 super creamy and not so sweet just on the right spot,  guess who's going there everyday for the next 5 days"
3,Frank & Lydia's Ijssalon, 3 stars ,5 years ago,"Good ice cream, decent espresso, fries are ok I guess - though don't expect anything handcut or fried twice."
4,Frank & Lydia's Ijssalon, 5 stars ,a year ago,Great shakes and ice-cream. A bit expensive though..
5,Frank & Lydia's Ijssalon, 3 stars ,3 years ago,"I order an ice coffee, but the coffee was warm and had too much slagroom"
6,Frank & Lydia's Ijssalon, 4 stars ,a year ago,Always good but 4.75 for a milkshake?! Cmon!
7,Frank & Lydia's Ijssalon, 5 stars ,2 years ago,"Very pleasant experience going to Frank and lydias
Went from 0NF1R3 to 0N1C3 👌"
8,Frank & Lydia's Ijssalon, 3 stars ,4 years ago,Not very cozy or personal but decent ice cream.
9,Frank & Lydia's Ijssalon, 4 stars ,5 years ago,Great neighborhood ice cream joint
10,Frank & Lydia's Ijssalon, 4 stars ,6 years ago,Great neighborhood ice cream shop
11,Frank & Lydia's Ijssalon, 4 stars ,2 years ago,"(Translated by Google) Tasty ice-cream. Not the best ice cream I've ever had, but good. Nice service too. The fresh fries, on the other hand, are incredibly GOOD !!! Think the best fries I've ever had and that in the middle of Bos en Lommer …"
12,Frank & Lydia's Ijssalon, 5 stars ,10 months ago,"(Translated by Google) Nice ice cream and really helpful employees! :) Lots of sorbet without milk, so also a lot of choice for people with an allergy or a preference for vegan. …"
13,Frank & Lydia's Ijssalon, 5 stars ,9 months ago,(Translated by Google) Tastiest ice cream in the Netherlands and that in my neighborhood! My favorite is strawberry and redbull flavor. The fries are super delicious too! …
14,Frank & Lydia's Ijssalon, 3 stars ,9 months ago,(Translated by Google) Always very tasty ice cream. Unfortunately the last time Fernandez took red and green and I will never do that again. Wash all sugar :( …
