,Name,Review Rate,Review Time,Review Text
0,Frietsteeg, 5 stars ,6 months ago,Pretty much the best fries in Zuid. The lines are usually very long in the evenings but it's worth it. The fries are crunchy on the outside and soft on the inside. Portions are generous and it's a good value meal. Would recommend visiting if in the neighborhood but as a tourists I would go to Vleminx.
1,Frietsteeg, 5 stars ,a month ago,"Customer cut in line but I still got my order faster, thanks to the employee with curly hair! Great service, killer fries as always. Perfect sauce-to-fry and also onion-to-sauce ratio. They know what good fries are, definitely recommend. …"
2,Frietsteeg, 3 stars ,6 months ago,"The fries are great, but it's really disappointing that some of the staff can be very rude or even aggressive. I can understand that some days are harder than others for the staff, but it's actually always the same two who are rude / unprofessional."
3,Frietsteeg, 5 stars ,a year ago,Very tasty and crispy fries with lots of choices for sauce.
4,Frietsteeg, 4 stars ,4 years ago,Great fries and a long list of sauce choices to top them! 3€ for a large amount of fries! They also offer cold soda and water. …
5,Frietsteeg, 3 stars ,2 weeks ago,Good fries but extremely flow service
6,Frietsteeg, 5 stars ,5 years ago,The ideal frites experience! Great selection of sauces and perfectly cooked potatoes. FYI barely any room to eat inside
7,Frietsteeg, 5 stars ,4 years ago,Amazing little place. Staff was extremely friendly and let us try the options on the menu. Really helped us find something better than our original decision. Highly recommend this place
8,Frietsteeg, 5 stars ,a month ago,"Good fries.
Fried chicken could be better"
9,Frietsteeg, 5 stars ,3 months ago,Best damn fries in the Dam. Super friendly staff also.
10,Frietsteeg, 4 stars ,4 months ago,"The fries are tasty, but you can't order in advance."
11,Frietsteeg, 5 stars ,5 years ago,My second favorite fries in Amsterdam!
12,Frietsteeg, 5 stars ,2 months ago,Very friendly staff and tasty food!
13,Frietsteeg, 5 stars ,2 years ago,Great Fries. And the best: not in a plastic bowl but in a cardboard bowl
14,Frietsteeg, 5 stars ,8 months ago,"Simple said: best fries in town. And nice people, both behind and in front of the counter."
15,Frietsteeg, 5 stars ,2 years ago,Very nice fries for a fair price. The fries are crispy and you get a generous amount. The service is friendly and you get your fries fast. The snacks are also of good quality. One of the best fries in town!
16,Frietsteeg, 4 stars ,2 years ago,"Very nice Fries and Snacks here. The frikandel and kipcorn taste delicious. There is special and also spicy sauce available with onions. Nice place to sit outside the cafe and is located next to the water canal. So enjoy the street,water view and also the food."
17,Frietsteeg, 5 stars ,5 years ago,"The fries were amazing. Wonderful selection of toppings which are generously given. Most importantly however, they have some of the friendliest staff I have ever encountered in such an establishment. Felt like visiting a family member more …"
18,Frietsteeg, 4 stars ,2 years ago,Enjoyed the fries (a bit too crunchy for me) and the “rundvlees kroket”. They have a pretty good impressive collection of sauces and snacks. …
19,Frietsteeg, 3 stars ,4 years ago,Ok quality but just fries nothing special.
