,Name,Review Rate,Review Time,Review Text
0,Gartine, 5 stars ,a week ago,We really love the nostalgic ambiance. Food were so perfect! Staff were very accommodating. Thanks a lot!  Reommendable indeed!
1,Gartine, 5 stars ,5 months ago,"High quality ingredients that really make all the difference ... Had an excellent breakfast there, and the dark chocolate moelleux with the thyme flavoured honey was something from another planet. Definitely recommend!"
2,Gartine, 5 stars ,4 months ago,"Excellent breakfast….scrambled eggs, eggs Benedict and French breakfast were all outstanding and very fresh….great coffee and tea menu…super service"
3,Gartine, 3 stars ,5 months ago,"Delicious and homey, this is it. The place is tiny, staff discrete, food fresh and delicious. …"
4,Gartine, 5 stars ,7 months ago,A small and nice place. I tried Scramble d eggs with fresh garden herbs served on sourdough toast and a green salad and ginger tea. All the ingredients were fresh. I specifically like the sauce on the lettuce
5,Gartine, 5 stars ,4 months ago,Wow! So tasty and feels so good to eat here. Great warm and cold drinks and the food was cooked with a lot of passion and love for the produce. I wish it was my local ⭐👍
6,Gartine, 5 stars ,3 weeks ago,"Such a pleasant discovery! Familiar atmosphere, high quality food and simple yet stylish interiors. If you’re in Amsterdam and like authentic experiences, don’t miss Gartine!"
7,Gartine, 5 stars ,a year ago,"Really quaint and special place in the middle of the center. I was pleasantly surprised to find that this place, despite being in such a tourist area, is really down to earth and genuinely charming. The staff were wonderful and friendly. …"
8,Gartine, 5 stars ,2 years ago,Definitely recommended. Cosy and cute place. Less tourists and perfect for a lunch date. We took the classic high tea. The food size was perfect to make you full. Everything taste fresh with care. The flavours blends really well together. I …
9,Gartine, 4 stars ,7 months ago,Beautiful little restaurant with great service and very tasty breakfast options.
10,Gartine, 5 stars ,2 weeks ago,"Don’t hesite!
It’s very, very rare to find places like this.
The decor is not fantastic but the most important: quality of food, service, tasty, kindness… top 10!"
11,Gartine, 5 stars ,a week ago,Best egg Benedict I have ever had. This is a special place. Service and environment are very nice too.
12,Gartine, 5 stars ,a month ago,"Perfect, they have their own vegetables garden and  you can taste the difference. Interiors are beautiful with an eye for details"
13,Gartine, 5 stars ,a month ago,Delightful Eggs Benedict and French Toast!
14,Gartine, 5 stars ,5 months ago,One of the best breakfasts I've ever had. The Herby eggs over toast were amazing. Pancakes were great as well. The staff was very friendly.
15,Gartine, 5 stars ,2 years ago,"We loved everything in this brunch café. From the beautiful chairs right down to the lovely dishes they serve their food on, this place puts effort into the details. …"
16,Gartine, 5 stars ,2 years ago,"Such a lovely place to have breakfast! We managed to get a table without making reservations, but I would recommend to reserve a table, as there are just few tables inside. …"
