,Name,Review Rate,Review Time,Review Text
0,Gary's Deli, 3 stars ,8 months ago,"Location is great; where you can get a good view on people passing by. There is ample of (comfortable) sitting options available in and outside. The decorum lacks character though, it's all very bland/generic. The music selection was great …"
1,Gary's Deli, 5 stars ,a year ago,"Just reopened after a major renovation....rebuilt to the studs! I didn't realize Gary's Deli was here for so many years until I looked at reviews from other sites. I'm so glad they are open again so I can get some ""american style"" bagels on …"
2,Gary's Deli, 3 stars ,4 months ago,"Big new space, no reservation need. Food was mediocre. Bagel wasn’t toasted."
3,Gary's Deli, 5 stars ,7 months ago,"Absolutely fantastic food and service! Even though we don’t live near here, we will definitely be taking the tram here regularly to eat. For any expats out there looking for proper “spicy” food. This place has it!"
4,Gary's Deli, 1 star ,5 months ago,There was a bug in my food...so they gave me 50% off ...maybe as I had eaten exactly half when I discovered it... 🦧🤢 #worstcustomerserviceever #awful #maybebecauseiwasniceaboutit
5,Gary's Deli, 5 stars ,4 months ago,I live nearby and there are plenty of breakfast options. This is easily the best. Food and customer service. Best music as well!
6,Gary's Deli, 5 stars ,7 months ago,"The American pancakes melt in your mouth! Truly delicious. Breakfast was prepared to perfection. I’ll definitely be coming back as the full menu is very appealing. Cozy, chill atmosphere, great, friendly service."
7,Gary's Deli, 5 stars ,9 months ago,"By far my favourite place to get bagles in Amsterdam. But now I'm in love with their grilled chicken salad. Fresh and super tasty. Friendly and helpful staff, great coffee, a place to take your friends out"
8,Gary's Deli, 5 stars ,5 years ago,"Really good latte and smoked salmon/cream cheese bagel - reminds me of Montreal style bagels back home - which I love! A busy place, but would come back again!"
9,Gary's Deli, 5 stars ,8 months ago,"Amazing spot for delicious food! Loved my vegan breakfast and iced coffee! Service, food, price and location are all excellent!!! Definitely coming back here"
10,Gary's Deli, 5 stars ,7 months ago,"I can’t explain how wonderful food is at Gary’s! I’ve tried all the vegan options and they are amaizing. I really recommend Garys, the spot, the people who work there, and all food is spectacular ! Can’t wait to go again"
11,Gary's Deli, 5 stars ,9 months ago,Great atmosphere and friendly staff. The hummus and grilled veggies is my favourite. A large variety of bagles as well.
12,Gary's Deli, 5 stars ,5 months ago,Delicious pancakes.
13,Gary's Deli, 5 stars ,4 years ago,"Great coffee and good service, the food smells good but I just ate so ill stick with coffee"
14,Gary's Deli, 1 star ,4 years ago,"I'm not sure what happened with Gary's Deli, but in my opinion the quality of both the food and the coffee (and, yes, the service) went down quite a bit from, say, two or three years ago. The place wasn't busy but the staff took its time before even acknowledging customers. The coffee tasted bad and the bagel was stale. What happened?"
15,Gary's Deli, 3 stars ,6 years ago,"Place is a good location, but average with all respects. Pancakes only on a Sunday so was disappointed but they probably are good. Coffee was not great tasting but bagels were great !"
16,Gary's Deli, 5 stars ,9 months ago,I'm in love with the bagles from Gar'y Deli. Great atmosphere and super friendly staff
17,Gary's Deli, 5 stars ,7 months ago,didn't eat here but an employee was dancing. 5 stars.
18,Gary's Deli, 5 stars ,4 years ago,"Amazing. We wondered in here for a quick lunch and really enjoyed the bagels. Perfectly toasted, plenty of fillings and good cheese used."
19,Gary's Deli, 3 stars ,4 years ago,"Bagels are ok-ish. dirty cutlery, slow service. the only plus...coffee stays  hot in the cup for quite a while! :)"
20,Gary's Deli, 5 stars ,6 years ago,"Bob Peters here,

Gary was great. Deli was even better. thumbs way up. Will be back in 17 months. Take care to so many. Bob Peters."
21,Gary's Deli, 3 stars ,4 years ago,Nice place. Nice for a cup of coffee or tea. Bagels were ok.
22,Gary's Deli, 5 stars ,5 years ago,"American style breakfast, friendly stuff, feels like homemade breakfast 🍴👌"
23,Gary's Deli, 5 stars ,6 years ago,"Fantastic pancake breakfast, they don't make 'em this good back in the US!"
24,Gary's Deli, 5 stars ,9 years ago,Best Bagel place in town run by the one and only Gary Feingold.
25,Gary's Deli, 5 stars ,7 months ago,One of my favo spots in town ✨
26,Gary's Deli, 5 stars ,4 years ago,"Incredibly friendly staff, good service and tasty bagles."
27,Gary's Deli, 5 stars ,7 years ago,"Such a deli, I wouldn't expect in Amsterdam!  Yum."
28,Gary's Deli, 4 stars ,9 years ago,"Good coffee, great bagels."
29,Gary's Deli, 5 stars ,8 years ago,Great pancakes every Sunday!!
30,Gary's Deli, 3 stars ,6 years ago,This bagel deli feels a bit run down and outdated.
31,Gary's Deli, 4 stars ,5 years ago,"Very charming, delicious coffee"
32,Gary's Deli, 5 stars ,5 years ago,Great pancakes and great service
33,Gary's Deli, 4 stars ,7 years ago,Great sandwiches
34,Gary's Deli, 5 stars ,4 years ago,The atmosphere
35,Gary's Deli, 5 stars ,a week ago,"(Translated by Google) Super delicious food and extremely friendly service!

(Original) …"
36,Gary's Deli, 2 stars ,4 months ago,"(Translated by Google) On a Sunday when you can expect to get busy around 12.30pm 1 person in the kitchen is evidence of poor planning.
Prosecco had no bubbles, 1 of the poached eggs was almost hard boiled and …"
37,Gary's Deli, 1 star ,9 months ago,"(Translated by Google) I always come all the way to gary's deli for the delicious bagels and the friendliness, which is now hard to find.
What an unkind Italian woman standing there, they've taken over and they don't …"
38,Gary's Deli, 5 stars ,9 months ago,(Translated by Google) Had a lovely breakfast this morning with American Pancakes! Nice sun on the terrace and excellent service! Very happy that Gary's Deli is finally open again and has endured the corona time. …
39,Gary's Deli, 3 stars ,10 months ago,"(Translated by Google) Not really a deli atmosphere, bagels not special, but certainly not dirty. Expected better after reading the mission statement. …"
