,Name,Review Rate,Review Time,Review Text
0,George W.P.A., 4 stars ,6 months ago,"Very nice restaurant, in a very nice area. We were in the terrace, and tables are small for four people, but is ok. Very good food, everything we had was very good. The problem was the service, very polite and kind people, but we had to ask three or four times for things we had order, like s glass of beer or a glass of wine."
1,George W.P.A., 1 star ,6 months ago,"Went here for the second time hoping that it was better than my first. For 20 euros, an eggs Benedict should be delicious. The giant blob in the top of the photo is entirely hollandaise sauce. It was the most disgusting thing I've ever seen …"
2,George W.P.A., 3 stars ,4 months ago,"This place has a nice vibe, but the food and service not quite as good as the Cafe George in Central. Our food arrived almost cold and dried out, and the service was slow and unnatentive 😕"
3,George W.P.A., 1 star ,4 months ago,"Don't know about other dishes, but the eggplant steak definitely not worth its money. Can't even call it decent, too watery and almost tasteless if not for the sauce on top of it. Dried fries that you couldn't even put your fork through"
4,George W.P.A., 1 star ,3 months ago,Great Terrace and location. Food was mediocre and pricy. Service very bad for a place that expensive. We waited for an hour to get some cold food. Gentlemen I'm sorry but you'll never see me again.
5,George W.P.A., 5 stars ,4 months ago,Much better than the 3.2 rating I see here. I had great good and very friendly service. Outdoor heated seating option with good ventilation is an added positive during COVID.
6,George W.P.A., 3 stars ,6 months ago,"+ Cozy environment.
+ Good location.
+ Tasty food. …"
7,George W.P.A., 1 star ,6 months ago,"Very bad experience! Bad oesters, also the rest of the food was nothing special and on top of it super slow service. The place used to be really fun, hip, clean & tidy. Now it seems to be rundown, unqualified and not enough employees. I do get it, Covid - shortage on staff. If that’s the case, lower the amount on tables."
8,George W.P.A., 2 stars ,2 years ago,Nice French fries. Horrible malinase. Pasta was nice and spicy. Roasted vegetables was just strange. Burrata was nothing special. The baguette was very fresh and nice. Service was not welcoming at all very slow service table very small and …
9,George W.P.A., 5 stars ,11 months ago,"We went for the moules, penne arrabbiata and escalope milanaise and it was so good!
So nice to have dinner in the terrace in Summer.
Highly recommended in Amsterdam!"
10,George W.P.A., 2 stars ,5 months ago,Expensive and very slow service for a very average food. I guess only worth (?) for the show off of being seated in its nice location.
11,George W.P.A., 4 stars ,5 months ago,A little bit overpriced and we did not get fresh salad on the plate. But the food in generall was good also the service and the location.
12,George W.P.A., 1 star ,4 months ago,The food took more than 1h30 to be ready. The workers forgot about us and we lost more than 2 hours just to eat 2 plates that was not good and also expensive
13,George W.P.A., 1 star ,7 months ago,"Very bad quality and service for the price.
This place is overpriced, the food is okayish but the service is a disaster. I cannot blame the waiters as they are doing their best, but obviously they are …"
14,George W.P.A., 3 stars ,2 years ago,Nice place with friendly waiters and good food. The artichoke was very nice choice for a starter. We did however had the surprise that our bill was bumped with main courses we never had and also additional bottles of water. However we were …
15,George W.P.A., 5 stars ,7 months ago,"Just had my mom's birthday there and I have to say, not only was the food absolutely delicious, the staff was lovely and even accommodated my dogs! Top!"
16,George W.P.A., 3 stars ,6 months ago,"Place is charming, but service is a but chaotic and food not so special. Great for the place and view, though - and a cup of coffee"
17,George W.P.A., 5 stars ,8 months ago,"GEORGE is one of my favorite restaurants in Amsterdam when it comes to good food  / fine-dine.
Their Salmon Miso is so far the most delicious one compared to the ones I had in other restaurants. In my opinion, the food is good value for the money."
18,George W.P.A., 1 star ,6 months ago,Stood at the entrance for proper 5-10 mins no one cares that we are waited to be seated. Kept pointing at different persons to talk to. One of the worst service in Holland.
19,George W.P.A., 2 stars ,3 months ago,"Service is really poor in comparison to the prices they ask. Moreover, the staff is not very helpful or motivated."
20,George W.P.A., 1 star ,4 months ago,"Nice location but slow and poor service.
Fillet steak was very bland."
21,George W.P.A., 2 stars ,7 months ago,"Nice location, but waiters and kitchen are extremely slow! I had to wait for 50min for below average eggs Benedict and I got them only after the 4th time I asked."
22,George W.P.A., 1 star ,8 months ago,"Waited 1.5 hours for food to arrive while it was quiet. Waiters are young students and paid very limited attention to the guests, not recommended"
23,George W.P.A., 4 stars ,5 years ago,"Food is ok, let's say that the place itself is better than the food experience. That corner, that terrace, the sun (if you are lucky)....Service is really good, many people ready to serve you. Best place after your visit to Vondelpark."
24,George W.P.A., 4 stars ,a year ago,"Good food,  great location and atmosphere, especially on long warm Dutch summer evenings. Staff is not too attending, but still polite. I am not a big fan of how they expand out to the sidewalk, forcing walking by public out to the street."
25,George W.P.A., 5 stars ,a year ago,"Friendly, attentive staff. Sat outside under heaters, as a little chilly. My daughter and I had a few bar snacks which were delicious. Definitely worth visiting as off the main streets. Situated on a corner watching the world go by. Worth visiting if in the museum area. Book first."
26,George W.P.A., 2 stars ,2 years ago,"The food is very good I must admit it and the place is very nice and comfortable. However, the food took an hour and a half to be delivered to the table. Let me repeat that just to be clear. It took 90 minutes to get food to the table from …"
27,George W.P.A., 1 star ,a year ago,"We ordered a dinner for four incl. a whole plate of sushi. It came with 4 hair in the first 2 sashimi. When calling them to complain, they promised to return the call, but never did. When I followed up, they told me the manager is too busy and in a meeting and that I should send him an email. Extremely disgusting and poor experience"
28,George W.P.A., 1 star ,a year ago,"My pasta (carbonara) was horrible, basically just eating a plate of parsley. Also got served cold. My boyfriend’s Steak was good and the fries were crispy. He enjoyed his meal. …"
29,George W.P.A., 5 stars ,4 years ago,One of my favourite places in Amsterdam. Nice location and friendly staff. The food is always good and freshly prepared
30,George W.P.A., 1 star ,a year ago,"The most unpleasant experience I have had in a restaurant, and this is coming from someone who has experienced restaurants in many parts of the world. Service was very rude and unpleasant, we were waiting outside (after nearly being hit by …"
31,George W.P.A., 1 star ,a year ago,0 Stars! The most terrible customer service experience we've ever had (considering I have been living in 4 different countries and travelled a lot). I am writing this while leaving this low-level place and after reading similar reviews this …
32,George W.P.A., 1 star ,2 years ago,"This is definitely the last time I went here. After waiting 30 minutes for our food, a waitress showed up with the steak tartare, asking how we wanted it served and telling us she would prepare it now. Then waited another 25 minutes, food …"
33,George W.P.A., 1 star ,a year ago,"I live in the area, I've taken friends here and been embarrassed by the service on two occasions now. Seated for half an hour with no service and eventually had to ask bar staff to pay for the water that we ordered.
Expats not welcome apparently!"
34,George W.P.A., 1 star ,2 years ago,"First of all: we never experienced a service as bad as in George WPA. We live in Amsterdam and travel a lot - so we have been to many various places, this - bar far - has been the worst one. We had to wait 50 minutes for only two glasses of …"
35,George W.P.A., 4 stars ,8 years ago,"We were in a group of 9 people, and had a very enjoyable evening at Restaurant George on Monday 22nd April.
The atmosphere, despite being a Monday night was buzzing and the restaurant was …"
36,George W.P.A., 4 stars ,4 years ago,Great food. Service was...less good. But still okat for Amsterdam standards.
37,George W.P.A., 1 star ,a year ago,"Not the first time that I see the waiters here turning away people of colour when asking for a seat. I did not get a good sight of the waiter doing so unfortunately, otherwise I could have confronted him. Two ladies with Indian features …"
38,George W.P.A., 5 stars ,2 years ago,"PERFECT!
We know the old manager of Le Garage, how happy we are to find him again after 12 months. This restaurant needed someone like him. Food was great! And we will come again very soon. Certainly 5 Stars!"
39,George W.P.A., 2 stars ,2 years ago,"Unfortunately George WPA did not live up to expectations. We had made a reservation for 8 and visited last Sunday. First, despite being a nice fellow, the waiter initially did not want to seat us at the terrace as he would've had to move …"
