,Name,Review Rate,Review Time,Review Text
0,Golden Temple, 5 stars ,6 months ago,"Great food, music and ambience. Service is good but can take a bit time during busy hours.
A mix of tasty Indian and Asian food. Vegan and vegetarian with a flavor. Behaved dogs are allowed."
1,Golden Temple, 5 stars ,a month ago,Delicious food with many nice vegan options. The personnel was very kind and polite.
2,Golden Temple, 5 stars ,5 months ago,"A must go for Indian food. Nice decor and sitting. Food tea worth the price( yes it’s not on the higher end). To all fellow Indians missing home food, try the north Indian thali(platter) it’s a real home food. Authentic taste and flavours."
3,Golden Temple, 5 stars ,2 weeks ago,"A wonderful place with special food, high quality and delicious! Even if you like eating meat you would not miss anything when you eat out at the Golden Temple. And it was so cosy - we went there with 2 teenagers and a kid and had a great …"
4,Golden Temple, 5 stars ,2 weeks ago,"Fantastic food. I ate here on the eve of my 30th birthday shortly before proposing to my fiancée and it was wonderful, brilliant atmosphere, delicious food, friendly staff (I spoke to the Scottish waitress (possibly owner) and she was very welcoming and affable). I will definitely visit again next time I'm in Amsterdam!"
5,Golden Temple, 2 stars ,a month ago,"We were not seated for 10 mins despite having a reservation. They got our order wrong. The Indian dishes we ordered were very bland and watery - nothing remotely authentic about them. The food mostly consisted of just sauce, so the meal was …"
6,Golden Temple, 4 stars ,4 months ago,Very lovely venue. Original decoration and very comfy seats. The food was nice. Very good choice for Veg. Food :)
7,Golden Temple, 4 stars ,a month ago,"Food was amazing, great service. Space inside the restaurant was quite cramped. I should have taken some effort to see something other than the top 5 pictures on Google."
8,Golden Temple, 5 stars ,9 months ago,"Absolutely amazing experience. Wonderful staff and food, great atmosphere and great food. (I did leave on a rush so forgot to tip sorry about that.)"
9,Golden Temple, 5 stars ,a month ago,"Great family friendly restaurant.
Only one of us is vegetarian but we all had a wonderful meal!"
10,Golden Temple, 5 stars ,a month ago,"The menu could use an update. Still the same from last time. However, the food is fabulous and the staff is just amazing! Thank you for the grand dinner! 😍"
11,Golden Temple, 3 stars ,2 years ago,"We had an Indian dish and salad. Salad was tasty and fresh, the Indian dish didn't have much flavour and was very basic, 20€ idnt worth the price and quality. In a proper Indian restaurant you get these small plates as a starter not as for main dish. The service was nice and place looking cozy and with a character."
12,Golden Temple, 1 star ,4 months ago,"Super disappointing and overpriced meal. The ambience and decor was lovely but the food really didn't match up. As someone who has tried a lot of authentic Indian food, the 'Flavours of India' was just really watery and the portions were …"
13,Golden Temple, 3 stars ,4 months ago,"As with some other reviewers here, I'm a bit puzzled by the high ratings. The food is OK - a bit lacking in punch, but healthy at least. Prices should be about half what they are though. That said, the decor and ambience is nice."
14,Golden Temple, 4 stars ,a month ago,"Really Nice food! The Pizza was a nice dish, and the orange juice is really nice, the Green Enchilada was really nice mexican food too :)"
15,Golden Temple, 5 stars ,a year ago,Friendly service and comfort food. The advocado nori tempura is a must and the blue corn tortilla with pulled jackfruit delish (photo). We will comeback for sure to try the long menu options the restaurant offers.
16,Golden Temple, 5 stars ,2 years ago,"They serve Vegan food!
The food was absolutely amazing. I was really impressed with how delicious it was. …"
17,Golden Temple, 1 star ,4 months ago,"This meal was hauntingly ensaddening. Not sure why it gets 4 and 5 star ratings, maybe the vegetarian population of Amsterdam applaud crimes against food. …"
18,Golden Temple, 5 stars ,9 months ago,Amazing place. The menu is amazing and staff super nice.
19,Golden Temple, 5 stars ,4 years ago,"Absolutely stunning. Best food I've had in Amsterdam. South Asian/ Indian cities, tempeh, amazing salad, creative imaginative dishes, about €18 for a main. Beautiful place. Comfy and magical"
20,Golden Temple, 5 stars ,4 months ago,I really enjoyed my meal here. The staff were very friendly and the vegan options were quite varied. Thanks for a lovely evening.
21,Golden Temple, 5 stars ,5 months ago,"it was the best food i had until now in Amsterdam. It was so good and the people are really friendly. The restaurant is pretty and there is a nice atmosphere.
I hightly recommend it!"
22,Golden Temple, 5 stars ,5 months ago,"Great experience in a suggestive location.
Staff is super friendly."
23,Golden Temple, 5 stars ,3 years ago,"The staff is really lovely. The interior is like another world apart from the street of Amsterdam. You get i  the proper mood for the food. The restaurant have a wide variety of food and many vegan options. Ordered appetizers only, all of them delicious."
