,Name,Review Rate,Review Time,Review Text
0,Gollem, 5 stars ,3 weeks ago,Must go spot od you love beer. Staff is helpful because selection is quite wide.
1,Gollem, 5 stars ,3 months ago,"So many choices and great prices but I'm really giving five stars for Eryc. He was so polite and took his time to make sure we chose a beer that we liked, he was very knowledgeable and was basically keeping the whole place on his own. Very refreshing compared to the awful service we received everywhere else in Amsterdam."
2,Gollem, 5 stars ,2 years ago,Best beer bar I found in Amsterdam. Super knowledgeable staff. Awesome beer from around the world. Reasonable prices. I will be back here the next time I come to Amsterdam. …
3,Gollem, 5 stars ,4 months ago,Nice place with many’s craft beers.
4,Gollem, 5 stars ,4 years ago,"The biggest beer selection I've ever seen! 30 beers from tap, and 250+ bottled. The service was very good, and the atmosphere is great. They also offer a small selection of board games to pass the time."
5,Gollem, 5 stars ,4 years ago,"One of fav place beer at Amsterdam with huge variety of drinks and beers. Very nice, cozy and kids friendly.
Very friendly fellow, as you walk into the bar and tell him what you feel like …"
6,Gollem, 5 stars ,2 years ago,We like it here every stay we had in Amsterdam we visited this bar. And every time it is a pleasure. Barkeeper is very good and can give you detailed recommendations for fitting beers for you. Next time again :)
7,Gollem, 5 stars ,2 years ago,Amazing find in Amsterdam. There are so many different craft beers to choose from. Three walls of beers to choose from in fact! Really friendly staff and obviously got to love the Lord Of The Rings references thrown in.
8,Gollem, 4 stars ,3 weeks ago,Really nice place to try new tastes of beer. Friendly service
9,Gollem, 5 stars ,2 years ago,Probably the best place for beer. The bartender is the Wikipedia for craft beers and this place has the largest collection of craft beers in Amsterdam (don't quote me on it). Have to try De moerslutel cyanide cyclops or the lowlander white ale infused. Any attempt to try everything on the menu would probably take 30 days.
10,Gollem, 5 stars ,3 years ago,"30 kind of draught beers, and a very good atmosphere.. not enough for 5 star rating? WIDE selection of beers, very helpful qnd kind service. This place is my favorite so far."
11,Gollem, 5 stars ,2 weeks ago,"Tasty beer, very friendly stuff, cozy atmosphere"
12,Gollem, 4 stars ,2 years ago,"Latest addition to the Gollem empire, catering more for the modern craft beer generation, has a very good and large selection on offer, both bottle and tap. Knowledgeable staff will guide you through the vast choice of styles and flavours …"
13,Gollem, 5 stars ,4 months ago,"Unbelievable amount of beers available !!!!
They also have cards and few games to play. Definitely a place I recommend !"
14,Gollem, 5 stars ,3 years ago,Beer heaven for craft beer lovers.  Staff was super friendly and very helpful with finding unique beers that I couldn't get in the states.  Beer that I pay $10-15 at home was less than 5 euros.  I would highly recommend this pub.
15,Gollem, 5 stars ,2 years ago,"If you're on Amsterdam and you love beer, you MUST visit here. I guarantee you haven't tried all of the hundreds of beers they have! Great beers, great staff, nice bar... Shame it's very hidden! What an Amsterdam beer gem."
16,Gollem, 5 stars ,3 months ago,The finest selection and the most knowledgeable of staff! Ask for a recommendation
17,Gollem, 5 stars ,4 years ago,Great place with so many different beers. Especially one of the staff members was really helpful. The place is easy to get to by public transport. Best beer of the night was the IPA (Falco) from the US.
18,Gollem, 4 stars ,5 years ago,"Nice atmosphere, very laid back. It can get very crowded later at night. Great selection of beer, mostly locals go there.. bartender was very helpful and spoke perfect English."
19,Gollem, 5 stars ,4 years ago,"It was awesome! The staff was very nice. If you cannot decide which beer to pick, the staff will help you with their knowledge and recommendations. …"
20,Gollem, 5 stars ,6 months ago,A nice cozy and friendly brewery that you can taste craft beers with a small variety of snacks. The stuff was really helpful to suggest a few beers and he spoke perfect English
21,Gollem, 5 stars ,2 years ago,"Excellent draft and bottle list. This location leans more to American beer I would say, not surprising considering the neighborhood. Super friendly and knowlwedgeable bartenders."
22,Gollem, 5 stars ,3 years ago,Amazing place with an incredible variety of beer and a really knowledgeable staff. Was in town for 3 days and this was one of the places I visited twice.
23,Gollem, 5 stars ,2 years ago,"Selection of beers is top-notch, the staff friendly and knowledgeable, the music on the hard and heavy side \m/"
24,Gollem, 5 stars ,4 months ago,"Huge selection of beers..
Try their Buck beers if they have at that time of the year"
25,Gollem, 1 star ,2 years ago,Latin barman absolutely sad and unprofessional attitude . Altough there are quite a lot different styles of beer. My advice try different bars always part of café gollem. Better and friendly customer service
26,Gollem, 4 stars ,2 years ago,"Great beer selection! With better service, they would get five stars."
27,Gollem, 5 stars ,5 years ago,"My favourite bar in Amsterdam! Amazing  choice of beers, talented staff with great knowledge and exquisite service! As a beer lover this place I paradise."
28,Gollem, 5 stars ,3 years ago,"All the Gollems are worth going to and spending time in, great beer selection! Got some time in Amsterdam, hit them all, you won't be disappointed!"
29,Gollem, 5 stars ,2 years ago,Very nice place and good beer 😋
30,Gollem, 5 stars ,6 months ago,Good spot and good service with a wide variety of tasty craft beers.
31,Gollem, 5 stars ,2 years ago,"This bar offers a forever changing selection of beers. If you're crazy about beer, or if you're interested in tasting different kinds of craft beers, then visit the bar. The bar is small, but it is cosy. Be prepared to pay a bit more for the various beers, as the selection of beers is pretty much only craft beer."
32,Gollem, 5 stars ,5 years ago,"Amazing beer selection! Plenty of local ones (breweries from Amsterdam), Dutch beers, Trappist beers, and about the same amount from all over the world. My favorite place to go for a few drinks after a tiring day. It's cosy to sit with …"
33,Gollem, 5 stars ,6 years ago,Very fun bar with an amazing beer selection and wonderful people. My husband and I were visiting on our honeymoon and had been told that this was the bar to go to if you're looking for craft brews. Our bartender was very friendly and …
34,Gollem, 5 stars ,4 years ago,Wonderful craft beer pub with a huge selection of beers including unique golem beers brewed especially for the cafe. Very helpful waitress who helped my friend find a beer she would enjoy as she isn’t a big beer drinker. Nice place to chill out for an hour or so.
35,Gollem, 5 stars ,2 years ago,"Don’t miss it! Great selection of beers, and nice venue."
36,Gollem, 4 stars ,2 years ago,"So, first of all, the manager was way to drunk. He was a bit persuasive and we felt uncomfortable. Our experience with him would not even get 1/5 stars. But, the other bartenders, Samir and Roel (two guys with beards hahahah) were above expectations, and they handled the situation perfectly. Big love, 10/10."
37,Gollem, 4 stars ,3 years ago,"Gollem chain is great - all bars have a wide variety of beers, staff is always there to help with the choice and the atmosphere is awesome. Some places are quite tiny but otherwise it's a great beer pub."
38,Gollem, 4 stars ,3 years ago,"My local pub in Amsterdam. They have a great assortment of beers - from local beers, Belgium, etc. Both indoor and outdoor seating. It is a a bit small and quickly crowded on Friday and weekend, so get there early if you wanna have a seat! The barmen have also good advice for beers and there draft beer change regularly."
39,Gollem, 5 stars ,4 years ago,"This is where locals go and it's got good beers on tap.  It's small, like really small but you won't be disappointed if you love a real beer. Conveniently near a tourist area without as much of the influx of tourists."
40,Gollem, 5 stars ,2 years ago,"This was our go to beer house while in Amsterdam. We stayed at the Eden Hotel, so the bar was within a two minute walk from the hotel. The bar had an unparalleled selection of beers; there were hundreds of beers available. I did not see …"
41,Gollem, 5 stars ,4 years ago,"Incredible huge number of different types of beer. And bar keeper knows them very well and is super nice.
Hint: Check the hundreds of full beer bottle collection from all over the world on the walls, ceiling and above the bar."
42,Gollem, 5 stars ,4 years ago,"Simply an awesome spot with more than a great selection.
Staff is really polite and professional.
Actually ,there's not a single thing i dislike about this place. Could easily recommend Gollem for everyone who enjoys brewery products and a nice relaxed atmosphere."
43,Gollem, 2 stars ,2 years ago,"Plus side: lot's of nice beers.
Downside: the bartender knew very little about them, he would not suggest anything exciting when asked nor and the beers from the tap came half foam."
44,Gollem, 5 stars ,2 years ago,"Very good local IPA, nice service too"
45,Gollem, 5 stars ,5 months ago,27 craft bier. We love it!
46,Gollem, 4 stars ,3 years ago,Great selection of beers with A LOT to choose from! A bit slow service and clearing of the tables. Worth a visit if you like craft beer.
47,Gollem, 5 stars ,4 years ago,Great selection of beers! From both the Netherlands and many other places around the globe.
