,Name,Review Rate,Review Time,Review Text
0,Grand Café Frankendael, 5 stars ,4 years ago,"Do provide free tap water last time I checked :) They're not cheap, around 12-20EU for lunch, but I find their ""monthly dish"" an amazing one each month over again. Also, has a very nice, local athmosphere."
1,Grand Café Frankendael, 5 stars ,4 years ago,"Is a very beautiful building and the interior is in the style of an old fashion pub or cafe, is a very cozy spot to play cards or just chill with your friends while enjoying a coffee or mint tea, and having some delicious apple pie."
2,Grand Café Frankendael, 2 stars ,2 years ago,worst tomato soup ever. the bread sticks it came with were stale. old and dated interior. the staff was friendly though
3,Grand Café Frankendael, 4 stars ,a year ago,Excellent classic ambiance (grand cafe atmosphere) with friendly staff.
4,Grand Café Frankendael, 4 stars ,2 years ago,"I didn't eat there, just drinks but the restaurant is beautifully appointed, very pleasant and with attentive staff."
5,Grand Café Frankendael, 5 stars ,3 years ago,"Delicious food, cosy atmosphere and great, friendly service!"
6,Grand Café Frankendael, 4 stars ,2 years ago,"Nice atmosphere, decent food and drinks"
7,Grand Café Frankendael, 3 stars ,4 years ago,"Good location, bit old-fashioned, but it works."
8,Grand Café Frankendael, 3 stars ,5 years ago,Nice big cafe in beautiful original building.
9,Grand Café Frankendael, 5 stars ,3 years ago,"Nice atmosphere, good vibe."
10,Grand Café Frankendael, 5 stars ,4 years ago,Best tomato soup ever
11,Grand Café Frankendael, 1 star ,6 years ago,Don't provide with free tap water
12,Grand Café Frankendael, 3 stars ,4 years ago,Old fashioned Grandcafe
13,Grand Café Frankendael, 5 stars ,2 years ago,Great place!
14,Grand Café Frankendael, 4 stars ,a month ago,"(Translated by Google) Enjoying cappuccinos with a nice small glass of whipped cream sitting next to it while chatting, nice service …"
15,Grand Café Frankendael, 3 stars ,4 months ago,(Translated by Google) Understandable in itself that an entrepreneur is looking for extra income. Special that this cafe is a hairdresser. The disadvantage is that the hairdresser's clippers in combination with the music and buzz of a cafe …
16,Grand Café Frankendael, 5 stars ,4 months ago,"(Translated by Google) It was a party to eat here again
Delicious and cozy. Nice and hospitable service. And the QR code was neatly checked. Top …"
17,Grand Café Frankendael, 4 stars ,a month ago,"(Translated by Google) Here you feel at ease, a pleasant place to stay for whatever reason. …"
18,Grand Café Frankendael, 1 star ,3 years ago,"(Translated by Google) Bad! Not recommended. Eat lukewarm or cold. The fries served with it in cone bags are tough and luscious in taste. All plates nicely covered, but due to serving too late, quality is POOR and therefore only placed 1 …"
19,Grand Café Frankendael, 4 stars ,4 years ago,(Translated by Google) Good food in a homely atmosphere. Motivated staff and very nice. …
20,Grand Café Frankendael, 3 stars ,2 years ago,"(Translated by Google) Cozy, nice terrace.
Large rooms upstairs where you can organize everything. We have celebrated a wedding in 1 room and the others ate with all the guests. …"
21,Grand Café Frankendael, 4 stars ,10 months ago,"(Translated by Google) We held the funeral service for my father-in-law here. Pleasantly homely room, friendly service (not all equally handy). We could pass on all wishes and there were even tasty vegan sandwiches for our son. …"
22,Grand Café Frankendael, 5 stars ,9 months ago,"(Translated by Google) Good food, friendly and attentive waiter, cozy atmosphere
We were with a large group, but everyone had their plate almost right …"
23,Grand Café Frankendael, 4 stars ,2 years ago,"(Translated by Google) I had a wonderful lunch there! It was quiet and the service friendly with a chat! Cozy! There is a good, simple kitchen! Very affordable! Nice embiance !! …"
24,Grand Café Frankendael, 5 stars ,a month ago,"(Translated by Google) Great place, nice coffee.

(Original)
Prima plek, lekkere koffie."
25,Grand Café Frankendael, 5 stars ,9 months ago,(Translated by Google) A very cozy location. Every Friday there is an Argentine Tango dance evening on the first floor. …
26,Grand Café Frankendael, 5 stars ,2 months ago,"(Translated by Google) Had a very nice day

(Original) …"
27,Grand Café Frankendael, 2 stars ,2 years ago,(Translated by Google) Unfortunately not too best experience. First no staff to welcome and when someone finally appeared she could barely handle the 6 occupied tables. The second staff member who appeared after waiting land knew neither to …
28,Grand Café Frankendael, 5 stars ,5 months ago,"(Translated by Google) Good food.Price level is very good.

(Original) …"
29,Grand Café Frankendael, 1 star ,7 months ago,"(Translated by Google) 1 waiter , waited 20 minutes for him to notice us.

(Original) …"
30,Grand Café Frankendael, 4 stars ,5 months ago,"(Translated by Google) Nice restaurant and cozy terrace

(Original) …"
31,Grand Café Frankendael, 5 stars ,3 years ago,"(Translated by Google) Had Christmas dinner last night. Delicious and definitely worth repeating! It was packed and the service was very good. Sometimes it took a bit long, yes, December = flu month, and that virus also strikes in the …"
32,Grand Café Frankendael, 4 stars ,3 years ago,"(Translated by Google) We were late for lunch this time, because we entered the restaurant around two o'clock. The table was set for nine people. My partner and I took two croquettes with brown bread and a drink. The interior was cozy and …"
33,Grand Café Frankendael, 2 stars ,3 years ago,"(Translated by Google) Went to Christmas dinner last night but certainly not worth repeating, there was far too few and incompetent staff, so that we and a large group had to wait literally hours for their (main) dish and the additional …"
34,Grand Café Frankendael, 4 stars ,3 years ago,"(Translated by Google) Had dinner with my partner yesterday. I had the sateh and my partner the month deal, Venison steak. Both dishes were very delicious. Friendly service and attractively priced. We will definitely go back! …"
35,Grand Café Frankendael, 3 stars ,2 years ago,"(Translated by Google) Great food for an attractive rate, only it took a long time before the starter came and then it took a long time before we got the main course. So no dessert or coffee. …"
