,Name,Review Rate,Review Time,Review Text
0,Grand Caf√© Frankendael, 5 stars ,4 years ago,"Do provide free tap water last time I checked :) They're not cheap, around 12-20EU for lunch, but I find their ""monthly dish"" an amazing one each month over again. Also, has a very nice, local athmosphere."
1,Grand Caf√© Frankendael, 5 stars ,4 years ago,"Is a very beautiful building and the interior is in the style of an old fashion pub or cafe, is a very cozy spot to play cards or just chill with your friends while enjoying a coffee or mint tea, and having some delicious apple pie."
2,Grand Caf√© Frankendael, 2 stars ,2 years ago,worst tomato soup ever. the bread sticks it came with were stale. old and dated interior. the staff was friendly though
3,Grand Caf√© Frankendael, 4 stars ,a year ago,Excellent classic ambiance (grand cafe atmosphere) with friendly staff.
4,Grand Caf√© Frankendael, 4 stars ,2 years ago,"I didn't eat there, just drinks but the restaurant is beautifully appointed, very pleasant and with attentive staff."
5,Grand Caf√© Frankendael, 5 stars ,3 years ago,"Delicious food, cosy atmosphere and great, friendly service!"
6,Grand Caf√© Frankendael, 4 stars ,2 years ago,"Nice atmosphere, decent food and drinks"
7,Grand Caf√© Frankendael, 3 stars ,4 years ago,"Good location, bit old-fashioned, but it works."
8,Grand Caf√© Frankendael, 3 stars ,5 years ago,Nice big cafe in beautiful original building.
9,Grand Caf√© Frankendael, 5 stars ,3 years ago,"Nice atmosphere, good vibe."
10,Grand Caf√© Frankendael, 5 stars ,4 years ago,Best tomato soup ever
11,Grand Caf√© Frankendael, 1 star ,6 years ago,Don't provide with free tap water
12,Grand Caf√© Frankendael, 3 stars ,4 years ago,Old fashioned Grandcafe
13,Grand Caf√© Frankendael, 5 stars ,2 years ago,Great place!
14,Grand Caf√© Frankendael, 4 stars ,3 weeks ago,"(Translated by Google) Enjoying cappuccinos with a nice small glass of whipped cream sitting next to it while chatting, nice service …"
15,Grand Caf√© Frankendael, 3 stars ,4 months ago,(Translated by Google) Understandable in itself that an entrepreneur is looking for extra income. Special that this cafe is a hairdresser. The disadvantage is that the hairdresser's clippers in combination with the music and buzz of a cafe …
16,Grand Caf√© Frankendael, 5 stars ,4 months ago,"(Translated by Google) It was a party to eat here again
Delicious and cozy. Nice and hospitable service. And the QR code was neatly checked. Top …"
17,Grand Caf√© Frankendael, 4 stars ,a month ago,"(Translated by Google) Here you feel at ease, a pleasant place to stay for whatever reason. …"
18,Grand Caf√© Frankendael, 1 star ,3 years ago,"(Translated by Google) Bad! Not recommended. Eat lukewarm or cold. The fries served with it in cone bags are tough and luscious in taste. All plates nicely covered, but due to serving too late, quality is POOR and therefore only placed 1 …"
19,Grand Caf√© Frankendael, 4 stars ,4 years ago,(Translated by Google) Good food in a homely atmosphere. Motivated staff and very nice. …
20,Grand Caf√© Frankendael, 3 stars ,2 years ago,"(Translated by Google) Cozy, nice terrace.
Large rooms upstairs where you can organize everything. We have celebrated a wedding in 1 room and the others ate with all the guests. …"
21,Grand Caf√© Frankendael, 4 stars ,10 months ago,"(Translated by Google) We held the funeral service for my father-in-law here. Pleasantly homely room, friendly service (not all equally handy). We could pass on all wishes and there were even tasty vegan sandwiches for our son. …"
22,Grand Caf√© Frankendael, 5 stars ,9 months ago,"(Translated by Google) Good food, friendly and attentive waiter, cozy atmosphere
We were with a large group, but everyone had their plate almost right …"
23,Grand Caf√© Frankendael, 4 stars ,2 years ago,"(Translated by Google) I had a wonderful lunch there! It was quiet and the service friendly with a chat! Cozy! There is a good, simple kitchen! Very affordable! Nice embiance !! …"
24,Grand Caf√© Frankendael, 5 stars ,a month ago,"(Translated by Google) Great place, nice coffee.

(Original)
Prima plek, lekkere koffie."
25,Grand Caf√© Frankendael, 5 stars ,9 months ago,(Translated by Google) A very cozy location. Every Friday there is an Argentine Tango dance evening on the first floor. …
26,Grand Caf√© Frankendael, 5 stars ,2 months ago,"(Translated by Google) Had a very nice day

(Original) …"
27,Grand Caf√© Frankendael, 2 stars ,2 years ago,(Translated by Google) Unfortunately not too best experience. First no staff to welcome and when someone finally appeared she could barely handle the 6 occupied tables. The second staff member who appeared after waiting land knew neither to …
28,Grand Caf√© Frankendael, 5 stars ,5 months ago,"(Translated by Google) Good food.Price level is very good.

(Original) …"
29,Grand Caf√© Frankendael, 1 star ,7 months ago,"(Translated by Google) 1 waiter , waited 20 minutes for him to notice us.

(Original) …"
30,Grand Caf√© Frankendael, 4 stars ,5 months ago,"(Translated by Google) Nice restaurant and cozy terrace

(Original) …"
31,Grand Caf√© Frankendael, 5 stars ,3 years ago,"(Translated by Google) Had Christmas dinner last night. Delicious and definitely worth repeating! It was packed and the service was very good. Sometimes it took a bit long, yes, December = flu month, and that virus also strikes in the …"
32,Grand Caf√© Frankendael, 4 stars ,3 years ago,"(Translated by Google) We were late for lunch this time, because we entered the restaurant around two o'clock. The table was set for nine people. My partner and I took two croquettes with brown bread and a drink. The interior was cozy and …"
33,Grand Caf√© Frankendael, 2 stars ,3 years ago,"(Translated by Google) Went to Christmas dinner last night but certainly not worth repeating, there was far too few and incompetent staff, so that we and a large group had to wait literally hours for their (main) dish and the additional …"
34,Grand Caf√© Frankendael, 4 stars ,3 years ago,"(Translated by Google) Had dinner with my partner yesterday. I had the sateh and my partner the month deal, Venison steak. Both dishes were very delicious. Friendly service and attractively priced. We will definitely go back! …"
35,Grand Caf√© Frankendael, 3 stars ,2 years ago,"(Translated by Google) Great food for an attractive rate, only it took a long time before the starter came and then it took a long time before we got the main course. So no dessert or coffee. …"
36,Grand Caf√© Frankendael, 3 stars ,3 years ago,"(Translated by Google) Excellent neighborhood Grand café, friendly lady in the ministry. She came to bring a bowl of water for the dog. The space next to it and above it is ideal for meetings, parties and parties. …"
37,Grand Caf√© Frankendael, 5 stars ,3 years ago,"(Translated by Google) It is fully booked for Christmas. Friendly service, everything on one floor, wheelchair friendly doors when you open them. Limited private parking spaces, but carpooling is recommended. …"
38,Grand Caf√© Frankendael, 3 stars ,4 years ago,"(Translated by Google) Okay, but not a winner. I had the venison steak with chips and stewed pear and vegetables. Meat was correctly cooked, but there is no consistency with the vegetables. Sauce based on pear juice, too sweet. Croquettes …"
39,Grand Caf√© Frankendael, 4 stars ,7 months ago,"(Translated by Google) A cozy place for lunch with Colleagues.

(Original) …"
40,Grand Caf√© Frankendael, 4 stars ,2 years ago,"(Translated by Google) Delicious food, too bad for the waiter that he had to serve everything on his own. But great gadaan. …"
41,Grand Caf√© Frankendael, 3 stars ,3 years ago,"(Translated by Google) In Amsterdam East on the Middenweg is this well-known Cafe rental hall Fraenkendal.
Paid parking is until 9 pm. Nice room on the 1st floor for up to 75 people for …"
42,Grand Caf√© Frankendael, 1 star ,2 years ago,(Translated by Google) Waited 3 hours for main course. Too few staff. Too bad so service good but most of the time busy for 1 person. Not for repetition …
43,Grand Caf√© Frankendael, 1 star ,3 years ago,(Translated by Google) What a deadly and boring thing this has become. Few people and they try to compensate with an expensive plus price. 2.95! for a vase. Many tents in the center are cheaper ... so never come again …
44,Grand Caf√© Frankendael, 4 stars ,4 years ago,(Translated by Google) Frankendael is a place where you can sit relaxed and enjoy a cup of coffee or a meal. Price quality ratio is very good. Meeting options are also optimal at Frankendael. …
45,Grand Caf√© Frankendael, 4 stars ,5 years ago,(Translated by Google) Nice place on the middle road where you can often sit outside in the morning sun for tasty coffee. Inside it is a brown cafe. They also serve snacks and simple dishes. …
46,Grand Caf√© Frankendael, 3 stars ,5 years ago,"(Translated by Google) Just a drink done with a large group. Excellent service tasty bitter garnish (good mix and tasty snacks, not too standard). …"
47,Grand Caf√© Frankendael, 5 stars ,a year ago,"(Translated by Google) Lovely to go out to eat again, the sevice was again super arranged and the food was delicious …"
48,Grand Caf√© Frankendael, 5 stars ,5 years ago,(Translated by Google) We held our wedding party here. Everything was arranged down to the last detail. Good and friendly staff. Nice location and value for money …
49,Grand Caf√© Frankendael, 5 stars ,a month ago,"(Translated by Google) Had a very successful Christmas dinner at Frankendael. Very unfortunate that they do not offer Easter brunch, it is a cozy location with friendly service and good food. …"
50,Grand Caf√© Frankendael, 5 stars ,4 years ago,"(Translated by Google) Cozy café, excellent bitterballen and service. Nice casual atmosphere, actually always good, with any company! …"
51,Grand Caf√© Frankendael, 3 stars ,3 years ago,"(Translated by Google) Fine cafe. Too bad there is only one type of beer on tap. Not eaten, but what I saw came looking very good. …"
52,Grand Caf√© Frankendael, 4 stars ,3 years ago,(Translated by Google) We have been here for after a cremation ceremony and this mast is a lot better closure than at the crematorium. …
