,Name,Review Rate,Review Time,Review Text
0,H. Burger, 4 stars ,7 months ago,"A very nice place to eat a really good burger. The staff was friendly, the burger and the fatty and sweet potato fries were delicious! It’s not a big crowded place but for a quick and good diner it’s perfect."
1,H. Burger, 5 stars ,5 months ago,"Just amazing. The quality of the ingredients, the taste, the service. I loved every bite of what I had. I had a chickenburger which meltdown in the mouth, and the Spice chicken wings are just honestly out of this world. The fatty Fries were …"
2,H. Burger, 5 stars ,8 months ago,Eaaaasily one of the best burgers in town. These burgers have some nice buns Hun. Ingredients and toppings tasted fresh. Meat is seasoned/prepared perfectly. Fries are spot on amazing. You even have the option to choose the thickness of …
3,H. Burger, 5 stars ,5 months ago,Very nice waiter and delicious burger! Maybe the best one I ever had! #chickenburger 👍🏽👍🏽
4,H. Burger, 5 stars ,5 months ago,We have been to this place now several times and it is always a pleasant stay! The food is delicious and fresh prepared. The chocolate milkshake is not from this earth. The staff is very friendly and you can see they really care about your well-being. Would recommend 10/10!
5,H. Burger, 5 stars ,5 months ago,"Delicious burgers, generous portions, and great customer service!"
6,H. Burger, 5 stars ,5 months ago,Awesome burger! I think it’s the best I’ve ever had. Also the waiter is awesome! Would definitely recommend
7,H. Burger, 4 stars ,2 years ago,"Not the best burger I had, but I really liked their sweet potato fries and homemade iced tea. Also very nice atmosphere and very kind, helpful staff."
8,H. Burger, 4 stars ,2 years ago,"Nice place. I asked the staff why it's called ""H. Burger"". He said that it's up to us to decide what it means. Hamburger, healthy burger, happy burger. Great concept, great burger as well! It should be called G. Burger. Just kidding. It was …"
9,H. Burger, 5 stars ,2 years ago,Delicious burger as well as crunchy fries! This place puts an emphasis on using organic and local ingredients. The atmosphere is very cozy and has very friendly staff.
10,H. Burger, 5 stars ,3 years ago,"We went there after the opening (4 people) and everyone could find something for ourselves (even the veggie burger). The burger itself was really tasty with very good quality ingredients. And the milkshakes!!! Oh you have to try it yourself, seriously! The atmosphere is great, very friendly staff. Highly recommended!"
11,H. Burger, 5 stars ,2 years ago,"Nice!
I satisfied the greatest server ♡
Water is higher price than apple juice.
Fresh smells lemon🍋"
12,H. Burger, 5 stars ,5 months ago,Best chocolate milkshake ever. Great veggie burger. Super friendly service. High recommended
13,H. Burger, 5 stars ,4 months ago,Simple menu. Good price's and friendly staff. The toast of the bun was sublime. Enjoyed it alot!
14,H. Burger, 5 stars ,6 months ago,The food was very tasty and the guy at the counter was awesome (as the sign said). The first dining experience was so good that went there two days in a row. Really recommend.
15,H. Burger, 4 stars ,2 years ago,Overall very tasty burgers and fries. Too bad my meat was overcooked. I asked for medium rare and got it medium. Not the same.
16,H. Burger, 4 stars ,a year ago,"I was searching for the best burger, I came across this place and wanted to give a try after seeing many nice reviews. The service is good and the caretaker is very cordial. The burger and fries are good. It's very fresh and I could feel …"
17,H. Burger, 5 stars ,2 years ago,"Tasty burger, amazing banana and peanut butter (homemade) milkshake and excellent service!"
18,H. Burger, 5 stars ,a year ago,"I am sitting here as we speak, writing this review. First thing you will notice is the warm vine, chill music and homey feel. …"
19,H. Burger, 5 stars ,8 months ago,Best burger I've tried! It was delicious!! Definitely recommend trying it out :) The staff is also very friendly and the place felt very welcome   :)
20,H. Burger, 1 star ,4 years ago,"Disgusting. Bacon on burger was undercooked, fatty, chewy LARDONS (see pic). Patty tasteless, not enough seasoning. Tomatoes not fresh. Couldn't taste the cheese, overpowered by too much relish. Chips appeared recooked. So bad. …"
21,H. Burger, 4 stars ,6 months ago,Beautiful design of the restaurant. Great view from the shop.
22,H. Burger, 5 stars ,7 months ago,Best burger in Amsterdam so far! And the staff was very friendly. We got the order very quick
