,Name,Review Rate,Review Time,Review Text
0,Halve Maan, 5 stars ,4 years ago,(Translated by Google) Rest in Amsterdam and fantastic food. John Crescent is a great CHEF. …
1,Halve Maan, 5 stars ,5 years ago,"(Translated by Google) Absolutely great. Bread pudding and the liver pathé are absolute classics. The staff was not intrusive as you sometimes see in other culinary restaurants, the waiter knew exactly how finished and present he had to be …"
2,Halve Maan, 2 stars ,6 years ago,"(Translated by Google) For a special occasion we went to eat here once, but it will probably stay that one time. You pretend to be a star restaurant, but the dishes aren't that special. Then we found. But the interior is worse: in one way …"
3,Halve Maan, 5 stars ,7 years ago,"(Translated by Google) Last night my husband and I had a fantastic meal, every dish was a surprise. It was as if the chef had only cooked for us ..... The service was extremely correct, in short, a must. …"
4,Halve Maan, 5 stars ,4 years ago,"(Translated by Google) Eaten here yesterday, what a lovely evening, outside on the terrace in an environment that is so beautiful and radiates tranquility. And the food was really delicious, I ate all the plates completely empty! Highly …"
5,Halve Maan, 4 stars ,3 years ago,(Translated by Google) Went to Jhon crescent to see him after the report of his illness did something to me to see him as an old colleague but is really a fighter with respect Klaas Pul …
6,Halve Maan, 5 stars ,2 years ago,(Translated by Google) The restaurant is now called GijsBrecht and is certainly as good and much more affordable: highly recommended! …
7,Halve Maan, 5 stars ,5 years ago,"(Translated by Google) very good food, in top location! What a good idea right there to start a restaurant …"
8,Halve Maan, 5 stars ,4 years ago,"(Translated by Google) Personal attention makes everything more beautiful!
Keep it simple!
A piece of authentic in the heart of Amsterdam …"
9,Halve Maan, 5 stars ,5 years ago,(Translated by Google) John Halvemaan still cooks here at a level where you come home completely happy. …
