,Name,Review Rate,Review Time,Review Text
0,Hans en Grietje, 1 star ,3 months ago,"The salad I ordered was 15,50€, and it was the worst salad on the planet. Also i think the menu said 12,50€. It was supposed to be a chicken salad, but there was some kind of cutlery on top of it. The waitresses were nice."
1,Hans en Grietje, 5 stars ,3 months ago,"Wonderful place! Nice people, great food and great atmosphere."
2,Hans en Grietje, 5 stars ,6 months ago,Good breakfast. Good portions and great coffee. Service is also very good. 😊
3,Hans en Grietje, 5 stars ,7 months ago,"Pub grub great, banter a laugh a good place to stop and rest. Busy corner a hub in Amsterdam. I forgot to take picture of the Chicken club sandwich."
4,Hans en Grietje, 4 stars ,a week ago,Coffee was nice and it was old style bar. Was a good place to relax after a long walk
5,Hans en Grietje, 5 stars ,3 weeks ago,"Such a lovely little bar/cafe. Friendly staff, lovely food and delicious pints. So near to rijkmuseum.  Loved it"
6,Hans en Grietje, 5 stars ,3 weeks ago,"Beautiful and cozy place. The food was delicious, the service fantastic and dog friendly!"
7,Hans en Grietje, 4 stars ,4 years ago,Lovely little place with old money stapled above the bar with message written on them by travelers I guess. Copper pot and pans hanging as ornaments with an turn of the century vibe throughout the place. Very nice. …
8,Hans en Grietje, 5 stars ,5 months ago,Great spot. Great view from second floor! Nice pancake 😋frindly stuff
9,Hans en Grietje, 5 stars ,4 months ago,Stumbled upon this bar in Amsterdam and had the time of my life. The customers and the bar staff were fun and friendly. A great place to drink and be merry.
10,Hans en Grietje, 1 star ,5 months ago,"- Personal dont understand english.
- the eat that we ordered was not completrly served, we ordered steaks and got it without salad and frites and must wait 20 minutes …"
11,Hans en Grietje, 4 stars ,5 months ago,"It’s good, just didn’t get my capuchino 😂"
12,Hans en Grietje, 1 star ,5 months ago,"Terrible service. Waited half an hour, smiled at and made eye contact with 2 waitresses but no acknowledgement that we were waiting. We gave up and went to Cafe de Spegiel which was wonderful and friendly!"
13,Hans en Grietje, 5 stars ,5 years ago,Really nice place. The stairs are a little bite too steeper but the place is nice and the view is beautiful. I enjoy a good meal with my girlfriend and I believe that I will go back soon to eat there
14,Hans en Grietje, 5 stars ,3 years ago,"The food was so good we were back the second time! We had Dutch pea soup (both vegetarian and meat versions), pancake with apples, cheeseburger with fries, and of course gluwein (which I'm told is seasonal). Everything was delicious and the …"
15,Hans en Grietje, 5 stars ,4 years ago,"This place is great if you want to try very good beer or just to talk with locals..they are very kind. Great location near the water, cool music, good parties at weekend."
16,Hans en Grietje, 4 stars ,3 years ago,"The atmosphere is very cosy. Good selection of dishes. Unfortunately the mushroom omelette was not very good, but the sandwich with salmon was good."
17,Hans en Grietje, 5 stars ,2 years ago,A small pub that has not been trendified so a very welcome find in Amsterdam. We had good Belgian beer and were tempted by the pancakes which turned out to be excellent and just the thing to revive us before heading back out to the crowded …
18,Hans en Grietje, 5 stars ,a month ago,"Coay cute dutch café, surprisingly authentic in such a touristy spot"
19,Hans en Grietje, 5 stars ,4 months ago,"Delicious food, friendly service, and eclectic decor. I love it!"
20,Hans en Grietje, 3 stars ,8 months ago,It was not that much good experience for me because service was slow. Food was cold.
21,Hans en Grietje, 1 star ,9 months ago,"Good service, good beers. Terrible follow up on promotions. Was promised a cap from Duvel if 2 duvels purshased but they lied to us and didn't take the advertisement off. I know it is a pandemic and every little helps but taking advantage of your customer without giving them an other option is wrong."
22,Hans en Grietje, 4 stars ,6 months ago,Good food brought to our table with a very friendly and charming service.
23,Hans en Grietje, 5 stars ,2 years ago,They have such an awesome location and good food!
24,Hans en Grietje, 5 stars ,6 months ago,Really fun! The figures are so lifelike it's kind of eerie when you go up close and look.
25,Hans en Grietje, 4 stars ,8 months ago,"Outstanding service, and good food at a reasonable price. We had a Dutch ham pancake, and a farmer’s omelette.  Great location."
26,Hans en Grietje, 5 stars ,6 months ago,Extremely clean restrooms. I would definitely recommend a visit. The cleanest toilets I have seen aboard.
27,Hans en Grietje, 5 stars ,2 years ago,"Nice place, good beer friendly staff."
28,Hans en Grietje, 4 stars ,3 months ago,"Cool guesthouse, with nice food and relaxed atmosphere."
29,Hans en Grietje, 2 stars ,3 years ago,The staff was friendly but they forgot our drinks and we waited for a good 20 minutes before they gave us our drinks. The area wasn’t busy.
30,Hans en Grietje, 5 stars ,2 years ago,Rustic pub with a history. Excellent staff and great breakfast.
31,Hans en Grietje, 5 stars ,7 months ago,"Love this place. Great food and drinks. Terrace is perfect, view on the Rijksmuseum, perfect location!"
32,Hans en Grietje, 5 stars ,a year ago,Fantastic view of the Rijksmuseum. Good terrace and I can highly recommend the steak.
33,Hans en Grietje, 5 stars ,2 years ago,Great food! Decent prices. Coffee is amazing
34,Hans en Grietje, 4 stars ,4 months ago,"Very nice place, great location, slow service"
35,Hans en Grietje, 4 stars ,3 years ago,You go here without any super high expectations and it is what it is. Service is super fast and friendly but the food may have been much tastier.
36,Hans en Grietje, 3 stars ,8 months ago,"The place is quite busy and noisy but it's okay. The food ist Basic, but it might serve all you need"
37,Hans en Grietje, 5 stars ,a year ago,Amazing hot chocolate ! Perfect for a snowy day.
38,Hans en Grietje, 5 stars ,9 months ago,"Nice terrace and efficient and friendly service. I only had drinks and snacks here, they were good."
39,Hans en Grietje, 5 stars ,2 years ago,Great meals. The staff here are super friendly always smiling. . The views from outside are the best in Amsterdam.  People watching tables outside are awesome.  Best beers in town
40,Hans en Grietje, 4 stars ,4 years ago,The best bacon cheeseburger you can get in town. The ambiance is super old school that makes it more ethnic.
41,Hans en Grietje, 3 stars ,4 years ago,"Friendly staff but very simple food, limited only to couple if burgers, some salads and some crepes. Burger is not tasty at all, you can make one better yourself, for sure, even if you have no hands at all. 11 euro for bad burger with some …"
42,Hans en Grietje, 5 stars ,3 years ago,"Lovely little cosy bar with friendly, efficient service and solid food. The pea soup and club sandwich were great. Old cheese sandwich also good. The only negative thing I can say is that the bonus side salad (included for ‘free’) wasn’t great."
