,Name,Review Rate,Review Time,Review Text
0,Headfirst Coffee roasters, 5 stars ,6 years ago,"One of the best in Amsterdam. Amazing coffee, we tried a flat white, a cappuccino, a latte and all were top notch. The baked goods are also delicious!"
1,Headfirst Coffee roasters, 5 stars ,6 years ago,"Picked up a bag of espresso earlier this week, also had an espresso whilst in the cafe - both products are excellent, nice ambience and neighbourhood with lots of friendly faces and workers."
2,Headfirst Coffee roasters, 4 stars ,7 years ago,"Great coffee, nice personnel. Go here for a chat with friends, not suitable for working (they don't provide wifi)."
3,Headfirst Coffee roasters, 1 star ,3 years ago,"Sadly, closed with no news on whether they have moved or what. Disappointing."
4,Headfirst Coffee roasters, 5 stars ,7 years ago,"Amazing coffee, nice service. Go here for the coffee or tea; the cake selection is small."
5,Headfirst Coffee roasters, 5 stars ,6 years ago,Great coffee. Unfortunately closed now because they (apparently) did not have the appropriate permits.
6,Headfirst Coffee roasters, 5 stars ,6 years ago,"Great coffee, good atmosphere and friendly staff. Recommended."
7,Headfirst Coffee roasters, 5 stars ,6 years ago,Super good coffee - must try their Ethiopian Espresso
8,Headfirst Coffee roasters, 5 stars ,6 years ago,"Great coffee, friendly staff, nice interior...perfect!"
9,Headfirst Coffee roasters, 5 stars ,7 years ago,Best for filter and espresso coffee in Amsterdam run by super nice guys!!
10,Headfirst Coffee roasters, 5 stars ,6 years ago,"Coffee at its best. Single O's, V60, etc. Cute and friendly little cafe."
11,Headfirst Coffee roasters, 4 stars ,6 years ago,Delicious coffee and great service. Bought beans to take home.
12,Headfirst Coffee roasters, 5 stars ,6 years ago,"Tried a number of the other ""best in Amsterdam"" roasters. This one is the best in my view."
13,Headfirst Coffee roasters, 1 star ,5 years ago,"Super strange working time. It was 3 times when I came here, but it was closed in spite of google & working hours says - it is open."
14,Headfirst Coffee roasters, 5 stars ,4 years ago,"Yup, these people are top notch. Worth going out of your way."
15,Headfirst Coffee roasters, 1 star ,5 years ago,Hours said open on Friday at 8AM. It was closed at 10:00am on Friday.
16,Headfirst Coffee roasters, 5 stars ,7 years ago,"Awesome store, awesome coffee, awesome fresh beans!"
17,Headfirst Coffee roasters, 5 stars ,7 years ago,best specialist coffee roasters in Amsterdam
18,Headfirst Coffee roasters, 5 stars ,7 years ago,Great filter coffee!
19,Headfirst Coffee roasters, 5 stars ,5 years ago,"Unfortunately the place is closed, check facebook page"
