,Name,Review Rate,Review Time,Review Text
0,Helena Primakoff, 5 stars ,4 years ago,"Neat little Café in a nice surrounding. Went there for breakfast and since it was a nice day, we decided to sit outside. Not much traffic there (it was Saturday, so maybe there's more traffic on other days), and a bright and beautiful …"
1,Helena Primakoff, 5 stars ,4 years ago,This is a place you could sit in all day if you don't want to work from home. The atmosphere is relaxed. Sort of a living room vibe where somebody brings you the coffee and sandwiches. …
2,Helena Primakoff, 4 stars ,6 years ago,"Very good food and coffee! We had brunch here, and their sandwiches are just awesome. Very friendly staff. They only take cards though, so no cash."
3,Helena Primakoff, 5 stars ,5 years ago,"utterly lovely little place, fairly cheap and good coffee, nice staff. no time today for a proper meal, will return for sure! chip&pin only, but paypass also accepted."
4,Helena Primakoff, 5 stars ,6 years ago,Great food and great staff. No cash is accepted so bring your credit cards. I loved getting to look down into the kitchen. Wonderful find.
5,Helena Primakoff, 5 stars ,5 years ago,love this place. small cafe with very good sandwiches and tosti. baby friendly with a ramp in the front to get in and baby chairs available!
6,Helena Primakoff, 5 stars ,4 years ago,Little cafe in upcoming and hip street. Great for a coffee date or weekend lunch. Staff is friendly and food is great.
7,Helena Primakoff, 5 stars ,4 years ago,"Nice little cafe with good coffee and cake. Not very big, but big enough for a pram or two."
8,Helena Primakoff, 5 stars ,8 years ago,Best 'wentelteefjes' (French Toast for those who don't speak Dutch) in the city and generally good food and good service.
9,Helena Primakoff, 5 stars ,5 years ago,"Cosy cafe, nice people, tasty simple food"
10,Helena Primakoff, 5 stars ,3 years ago,Very Nice service. Tasty food
11,Helena Primakoff, 4 stars ,4 years ago,"Honest and simple place, very kind staff, like it."
12,Helena Primakoff, 4 stars ,4 years ago,A nice little cafe for a morning coffee.
13,Helena Primakoff, 5 stars ,3 years ago,Fantastic café with great service and very reasonable prices
14,Helena Primakoff, 5 stars ,5 years ago,Sweet place
15,Helena Primakoff, 5 stars ,4 years ago,(Translated by Google) Great place for tea or coffee. Also suitable for working. Note: you can only pay with pin. …
16,Helena Primakoff, 5 stars ,3 years ago,"(Translated by Google) Small and cozy breakfast and lunch tent with tasty sandwiches, a fresh newspaper and friendly service. …"
17,Helena Primakoff, 4 stars ,4 years ago,(Translated by Google) Nice terrace and very cozy / cozy. For when you want to relax. …
18,Helena Primakoff, 5 stars ,3 years ago,"(Translated by Google) Fine place for lunch. Fine menu and pleasant service.

(Original) …"
19,Helena Primakoff, 2 stars ,4 years ago,"(Translated by Google) Have been coming here for years and always nice, too bad that my favorite breakfast, the French toast, is getting smaller and thinner. …"
20,Helena Primakoff, 5 stars ,3 years ago,"(Translated by Google) Nice coffee and friendly service, nice and quiet street.

(Original) …"
21,Helena Primakoff, 5 stars ,6 years ago,"(Translated by Google) Homely atmosphere, tasty mostly organic dishes. Super service. …"
22,Helena Primakoff, 5 stars ,5 years ago,"(Translated by Google) Totally recommended both in service, quality of food and tranquility of the place. Amazing Sandwich Club !!! Rich rich thing! …"
23,Helena Primakoff, 4 stars ,5 years ago,"(Translated by Google) Nice quiet place to come to yourself.
Delicious apple and carrot cake, …"
24,Helena Primakoff, 5 stars ,3 years ago,"(Translated by Google) Friendly staff, nice coffee. Nicely decorated.

(Original) …"
25,Helena Primakoff, 4 stars ,3 years ago,"(Translated by Google) Good place for a quick lunch, a sandwich, bouncer, soup or a sandwich …"
26,Helena Primakoff, 5 stars ,4 years ago,"(Translated by Google) Super lunch olek, always smells delicious like apple pie

(Original) …"
27,Helena Primakoff, 5 stars ,4 years ago,"(Translated by Google) Cozy tent. Cozy. Valhalla for the single woman.

(Original) …"
28,Helena Primakoff, 4 stars ,4 years ago,"(Translated by Google) Nice place, nice audience, nice coffee !!

(Original) …"
29,Helena Primakoff, 5 stars ,4 years ago,"(Translated by Google) Lovely terrace (same) with the same Club sandwich

(Original) …"
30,Helena Primakoff, 4 stars ,3 years ago,"(Translated by Google) Cozy place for a good cup of coffee

(Original) …"
31,Helena Primakoff, 4 stars ,5 years ago,"(Translated by Google) Excellent place. Very good service and quality

(Original) …"
32,Helena Primakoff, 4 stars ,4 years ago,"(Translated by Google) Nice little place good Chai you!

(Original)
Bel posticino buon Chai te!"
33,Helena Primakoff, 5 stars ,4 years ago,"(Translated by Google) Recommended as on TripAdvisor

(Original)
Aanrader zoals op TripAdvisor"
34,Helena Primakoff, 3 stars ,4 years ago,"(Translated by Google) Nice coffee place

(Original)
Leuke koffie plaats"
35,Helena Primakoff, 4 stars ,8 years ago,"(Translated by Google) Delicious.

(Original)
Heerlijk."
36,Helena Primakoff, 4 stars ,3 years ago,"(Translated by Google) Before

(Original)
Prima"
37,Helena Primakoff, 5 stars ,4 years ago,"(Translated by Google) Nice place

(Original)
Leuke plek"
38,Helena Primakoff, 5 stars ,5 years ago,"(Translated by Google) Cozy lunch spot

(Original)
Knusse lunchplek"
39,Helena Primakoff, 4 stars ,3 years ago,
