,Name,Review Rate,Review Time,Review Text
0,Het IJspaleis, 4 stars ,a year ago,Definitely one of Amsterdam’s better ice cream vendors. I had one scoop of Stroopwafel and one scoop of Unicorn both were fantastic and I highly recommend. Would have given 5 stars if the lemon cheesecake were slightly less lemon-sorbet ish.
1,Het IJspaleis, 1 star ,2 years ago,"The woman who attended us was totally unfriendly.
My daughter was asking for an empty cone, and I was willing to pay the same price, but apparently it was not possible... …"
2,Het IJspaleis, 4 stars ,2 years ago,This place has been around for 12 years and I never visited it as a ice cream lover. Until today! Very friendly owner/staff. Good selection of ice cream. Ice cream is self made. Place looks clean. …
3,Het IJspaleis, 2 stars ,3 years ago,"Some people just have no idea about customer service. When the choices of ice cream places is growing, there is no way I can recommend this place. Having ordered for my friend, I asked if I could just try the mango flavour. I love mango ice …"
4,Het IJspaleis, 4 stars ,a year ago,A lovely little ice cream place nearby the Albert Cuyp Market. I'm a big fan of fruit flavours and it was my first time trying Maracuja! Had it with Mango - so delicious!
5,Het IJspaleis, 5 stars ,4 years ago,"We ADORE the ice cream, coffee and service we receive at Het ijspaleis. Audrey and Rene the owners are wonderfully friendly people who take great pride in their ice cream and the service they offer customers.  The cafe is spotlessly clean …"
6,Het IJspaleis, 3 stars ,3 years ago,"Not special in any way. Flavourwise, servisewise."
7,Het IJspaleis, 1 star ,4 years ago,They charged my card for four random purchases when I only made one. I've now had to open a fraud case with my bank and cancel all my cards! Scammers! Avoid!
8,Het IJspaleis, 1 star ,3 years ago,Mice are crawling all over the place. Disgusting!
9,Het IJspaleis, 5 stars ,4 years ago,Yum
10,Het IJspaleis, 5 stars ,5 months ago,"(Translated by Google) Delicious fresh ice cream. Great Variety of choice of ice cream.
Clean shop. Friendly help. …"
11,Het IJspaleis, 5 stars ,7 months ago,"(Translated by Google) Rarely eaten such delicious ice cream, come all the way from Rotterdam to eat ice cream here what a delicious ice cream people you should try this once, Hans Hermelijn …"
12,Het IJspaleis, 4 stars ,9 months ago,(Translated by Google) Delicious ice cream and personal touch from the owner. Always cheerful and hospitable for young and old! Unmissable ice cream parlor in the pipe Amsterdam 💕 …
13,Het IJspaleis, 5 stars ,a year ago,"(Translated by Google) This is by far the best ice cream shop in the Pijp. Lots of choice, tasty ice cream, good price and always friendly service by Audrey or René. In addition, a nice terrace so you can sit inside or outside. We have been …"
14,Het IJspaleis, 5 stars ,a year ago,(Translated by Google) Super location to enjoy a nice ice cream in the summer. But now get Hot pot in the store and also super tasty empadas. …
15,Het IJspaleis, 1 star ,3 years ago,"(Translated by Google) It's the second time I've been here because there's an ice cream here called smurf, but the lady who attends here is very impolite and gets upset about everything. Unfortunately the little ones like to touch the …"
16,Het IJspaleis, 5 stars ,2 years ago,"(Translated by Google) Super nice there, they have delicious flavors of ice cream, you can sit on a terrace in the sun, directly at the Albert Cuyp Market and the Sarphatipark. Very friendly staff. …"
17,Het IJspaleis, 5 stars ,2 years ago,(Translated by Google) Very tasty ice cream and always time for a nice chat! Awesome! Fantastic ice cream parlor and certainly not too expensive! …
18,Het IJspaleis, 5 stars ,8 months ago,"(Translated by Google) So sweet

(Original)
Zo lief"
19,Het IJspaleis, 1 star ,3 years ago,"(Translated by Google) Bad staff. Can't always treat people well.

(Original) …"
20,Het IJspaleis, 5 stars ,3 years ago,"(Translated by Google) Delicious ice cream and cozy terrace ...

(Original) …"
21,Het IJspaleis, 3 stars ,2 years ago,"(Translated by Google) Very tasty ice cream

(Original)
Heel lekker ijs"
22,Het IJspaleis, 5 stars ,2 years ago,"(Translated by Google) Always cozy inside and out

(Original) …"
23,Het IJspaleis, 1 star ,2 years ago,"(Translated by Google) They are not customer friendly

(Original)
Ze zijn niet klantvriendelijk"
24,Het IJspaleis, 5 stars ,4 years ago,"(Translated by Google) Delicious homemade ice cream
Nice and clean …"
25,Het IJspaleis, 5 stars ,3 years ago,"(Translated by Google) The ice cream was wonderful

(Original)
Dondurmalar harika"
26,Het IJspaleis, 4 stars ,2 years ago,"(Translated by Google) Delicious

(Original)
Heerlijk"
27,Het IJspaleis, 5 stars ,3 years ago,"(Translated by Google) Very cosy

(Original)
Heel gezellig"
28,Het IJspaleis, 3 stars ,a year ago,
29,Het IJspaleis, 5 stars ,4 years ago,
