,Name,Review Rate,Review Time,Review Text
0,Het Paviljoen, 4 stars ,2 years ago,"We celebrated a party there. The service was wonderful. Very friendly. Really good music and nice local food. There's an awesome playground there for the children, which is perfect if you have kids"
1,Het Paviljoen, 5 stars ,2 years ago,Perfect location! Good food: higher quality for what you pay for. Great concept to share with your friends. Good beers. And last but not least: a large playground so the kids can enjoy themselves and the parents too.
2,Het Paviljoen, 5 stars ,3 years ago,"This place must be amazing in summer, today (March) we didn't get to enjoy the roof terrace or outdoor tables.
We did get to enjow the food! Quality as well as presentation of the food is …"
3,Het Paviljoen, 5 stars ,a year ago,How do you describe home in a way that only has the good feelings and connections and well... to be honest.. better food than you can remember. ..? …
4,Het Paviljoen, 1 star ,3 years ago,"I tried to order a french fries. I asked if they have any snack or french fries and the man told me they don't have any food. I was with 2 children, so I had to find another place. But when we came back I saw some people there were eating french fries.  I'm disappointed. Why I was denied service?!"
5,Het Paviljoen, 5 stars ,4 years ago,"Place to be in Amsterdam! Great ambiance, amazing staff, good service, beautiful rooftop and really cool playground for kids! I say cheers to this gem in the city!"
6,Het Paviljoen, 1 star ,5 months ago,Dogs not allowed. Dislike
7,Het Paviljoen, 4 stars ,3 years ago,Relaxed and good if you have kids as is between playground (age 3+ better) . Had one of the best toasties in town.
8,Het Paviljoen, 5 stars ,4 years ago,Great place to relax whilst the children play. Great coffee and tasty bites.
9,Het Paviljoen, 4 stars ,2 years ago,Nice simple place in the center of the square where parents have coffee while their children play
10,Het Paviljoen, 5 stars ,2 years ago,Awesome place. Knows exactly how to keep kids and parents happy.
11,Het Paviljoen, 5 stars ,8 years ago,"One of the best spots in Amsterdam, fantastic food, great value and lovely atmosphere."
12,Het Paviljoen, 4 stars ,3 years ago,Great to sit back enjoy a coffee and watch the kids go crazy
13,Het Paviljoen, 5 stars ,4 years ago,"Nice staff, lovely roof terrace to hang out in the summer"
14,Het Paviljoen, 2 stars ,5 years ago,"It is too be quite good, now it is just another pub."
15,Het Paviljoen, 5 stars ,4 years ago,"Relaxed, great food, nice folks, just great."
16,Het Paviljoen, 4 stars ,6 years ago,"Hidden corner, nice fresh food. ;-)"
17,Het Paviljoen, 4 stars ,5 years ago,Good coffee and selection of juices
18,Het Paviljoen, 5 stars ,2 years ago,Sweet little place 😍
19,Het Paviljoen, 4 stars ,4 years ago,Always a winner especially with kids
20,Het Paviljoen, 5 stars ,5 months ago,(Translated by Google) Wonderful place where you can quietly enjoy the large square. I'll be back soon to take a seat on the roof terrace :) …
21,Het Paviljoen, 5 stars ,6 months ago,(Translated by Google) Super nice place for a snack or a drink. Or to meet up. You can rent the rooftop for parties and celebrations. Friendly staff and reasonable prices. …
22,Het Paviljoen, 5 stars ,2 years ago,(Translated by Google) Nice place on the square. Large terrace and also beautiful roof terrace. It is suitable for a cup of coffee or a drink. But you can also have a nice meal or a good party there! …
23,Het Paviljoen, 5 stars ,3 years ago,"(Translated by Google) I recently celebrated my 60th birthday here on the roof terrace with delicious tapas and a hot buffet. What a gem in our neighborhood.
Everything can be tailor-made with Jaap. Warm welcome, nice staff, tasty, …"
24,Het Paviljoen, 5 stars ,2 years ago,"(Translated by Google) At the pavaljoen you are well looked after: lovely staff, good food and a very relaxed atmosphere. And if you have something to celebrate, they will make sure you have an unforgettable evening at the pavaljoen. …"
25,Het Paviljoen, 4 stars ,4 years ago,(Translated by Google) a super nice and nice restaurant. very nice to eat with a large group and also very nice to go with children since there is a very large play complex around it. the burgers are too tasty and the tapas are delicious …
26,Het Paviljoen, 5 stars ,2 years ago,(Translated by Google) Had a nice Sunday afternoon with our cousin Michel and family. Delicious snacks and a good glass of wine. See you soon. …
27,Het Paviljoen, 5 stars ,7 years ago,(Translated by Google) Great location where we regularly get a lunch. Everything organic and fresh. Homemade bread. Excellent location also for children who can bust on the playground. The cheese cake is totally amazing. Top. …
28,Het Paviljoen, 5 stars ,a year ago,(Translated by Google) I didn't actually do anything here but in the neighborhood I was tripping hard on salvia and I thought I was the restaurant. …
29,Het Paviljoen, 4 stars ,2 years ago,"(Translated by Google) We had a party here, it was well cared for. The playground is really aimed at the somewhat older children. …"
30,Het Paviljoen, 4 stars ,4 years ago,(Translated by Google) Located on a very child-friendly square. Friendly staff and excellent eatery dishes. Nowadays also deliver their dishes to your home. …
31,Het Paviljoen, 5 stars ,4 years ago,"(Translated by Google) Last party given in the Pavilion, great roof terrace and later inside, very nice place, nice drink and eaten. Recommended! …"
32,Het Paviljoen, 5 stars ,a year ago,"(Translated by Google) Very cozy and casual, good food, friendly service

(Original) …"
33,Het Paviljoen, 5 stars ,4 years ago,(Translated by Google) Perfect to end a family day in Amsterdam ... the children play around on the playground and the parents enjoy great tappas and various beers. …
34,Het Paviljoen, 4 stars ,4 years ago,(Translated by Google) Wonderful to be with children on a sunny day. Great food and drink. …
35,Het Paviljoen, 5 stars ,10 years ago,(Translated by Google) I come there at least once a week. ideal with a small child. delicious coffee and other refreshments. …
36,Het Paviljoen, 4 stars ,3 years ago,"(Translated by Google) Friendly people, tasty snacks. Inside tables and a bar, roof terrace and terrace downstairs. …"
37,Het Paviljoen, 4 stars ,4 years ago,(Translated by Google) Nice place for a baby shower because it is located on the playground. …
38,Het Paviljoen, 4 stars ,4 years ago,"(Translated by Google) Nice place and cozy cafe, while the grandchildren play outside …"
39,Het Paviljoen, 5 stars ,2 years ago,(Translated by Google) Great fun and nice playground there very nice for the kids …
40,Het Paviljoen, 4 stars ,5 years ago,"(Translated by Google) good coffee. always fun with many children. nice owner

(Original) …"
