,Name,Review Rate,Review Time,Review Text
0,Hot Or Not, 5 stars ,2 weeks ago,"Small and fine, very cozy. Total friendly service! 👌🏼"
1,Hot Or Not, 5 stars ,4 years ago,Easily one of the chilled out quiet with good music bars in Amsterdam city centre the staff Behind the Counter was very nice and extremely helpful. What I loved about this bar was the fact that smoking cannabis was allowed inside the …
2,Hot Or Not, 4 stars ,5 months ago,Only had a few beers in there every day lol good place
3,Hot Or Not, 5 stars ,a year ago,Short walk from the center and red light district. Able to smoke in here too the prices are fair with the others close by
4,Hot Or Not, 5 stars ,3 weeks ago,"Nice party, nice people. Lots of fun!"
5,Hot Or Not, 5 stars ,3 years ago,Small and cosy ... drinks bit expensive but good chilled place where you can smoke and have a drink although they don't sell weed you can smoke your own and drink good cocktails
6,Hot Or Not, 5 stars ,2 years ago,This place is amazing and the bartenders are all fabulous.  The people-watching from this place is THE BEST and the fact that you can drink and smoke in the same location is a huge plus.  While I wish there were more seats that looked out …
7,Hot Or Not, 1 star ,a year ago,"We popped in to use the restroom as one of my mates needed to go we waited outside for 10 min , we got concerned and entered to see are mate cornered by the bouncer and waitress screaming focing him to buy a drink as  he used restrooms, we …"
8,Hot Or Not, 5 stars ,a month ago,Nice pub with good mood!!
9,Hot Or Not, 4 stars ,3 years ago,"Excellent place to grab a bite, drink a beer or just have a smoke. Prices aren't the cheapest, if you are going alone, but in a big group you can get more for cheaper. Staff is very kind, friendly and helpful. Food was quite good also, …"
10,Hot Or Not, 1 star ,2 years ago,"Extremelly bad service, the place was not full and yet the waitress was hurring us to choose our drinks and pay for them right after like she was trying to get rid of me and my two friends. She also used a very rude tone to say that if we …"
11,Hot Or Not, 1 star ,2 years ago,Went into this bar with 3 other friends. A few of us badly needed to go to the bathroom and the blonde barmaid started yelling at us as we were going down the stairs to the toilet. She managed to stop my friend and forced her to buy a drink …
12,Hot Or Not, 4 stars ,3 years ago,I liked it although though the electro music made me feel really sick lol
13,Hot Or Not, 1 star ,2 years ago,"Horrible bar staff, charged €15 per cocktail glass, she wanted money first, then gave out drinks, no pitchers she said just glass €15 each!!!!!! Then told one friend she couldn't sit and talk to us because she wasn't drinking!!!
Rip off place...... DON'T GET SUCKED IN"
14,Hot Or Not, 5 stars ,5 years ago,The third bar I visited on my first trip to Amsterdam. Roxanne served us. Fantastic music great quality beer and great priced cocktails and shots. March 2016. Great tip jar too! lol.
15,Hot Or Not, 5 stars ,2 years ago,"Great little place.  Good food, good service and you can drink and smoke your weed.  What else can you ask for?"
16,Hot Or Not, 4 stars ,3 years ago,"Dark, loud, tobacco strictly prohibited. One of the rare places we found where you can smoke and drink beer at the same time. They have a herbal mix on every table you can use."
17,Hot Or Not, 1 star ,a year ago,Bar maid treated us to drinks only to put them on our bill then phone the police when we question her about it. Ruined our Amsterdam experience
18,Hot Or Not, 1 star ,2 years ago,This place creates a hostile atmosphere. The boss makes his employees violently attack clients and force to order drinks. Tap water is not free.
19,Hot Or Not, 4 stars ,4 years ago,"Mainly targeting tourists, but never the less the staff is friendly and the prices are less a rip off than in other tourist places in Amsterdam. Tends to become a music bar during the evening."
20,Hot Or Not, 4 stars ,4 years ago,Very nice place. Lovely staff. If they had a few different beers it would be better. Highly recommended
21,Hot Or Not, 1 star ,2 years ago,"Horrible service, one of the people in the group was not feeling like drinking and the lady ask him to step outside. Do not recommend this place."
22,Hot Or Not, 1 star ,2 years ago,"I was here with 3 friends. Bad service, baid waitress, no hot drinks at 17:00 on a sunday...  I wouldn‘t recommend this place to tourists."
23,Hot Or Not, 1 star ,3 years ago,"What ever you do, do NOT eat the nachos. They were terrible and I'm pretty sure their ""tomato sauce"" is marinara sauce. I got food poisoning and ended up in the bathroom all night!"
24,Hot Or Not, 5 stars ,3 years ago,"Good spot to come for a drink, not crazy busy and bar food was decent. Staff were very friendly and helpful"
25,Hot Or Not, 4 stars ,2 years ago,"Cocktails were really expensive but were also massive.

Bar staff were helpful and the tunes were very decent."
26,Hot Or Not, 3 stars ,4 months ago,Good bar
27,Hot Or Not, 5 stars ,2 years ago,Amazing this place. Smoke and drink in this place and the waitress totally friendly and hard working. Thumbs up for this place.
28,Hot Or Not, 5 stars ,2 years ago,"Weed not sold here , but you are free to smoke. Nice burgers served."
29,Hot Or Not, 5 stars ,2 years ago,"Friendly service,delicious food, and let's not forget, you can smoke inside ;)"
30,Hot Or Not, 2 stars ,2 years ago,Good music and just cash!
31,Hot Or Not, 5 stars ,4 months ago,Awesome food and atmosphere
32,Hot Or Not, 5 stars ,3 years ago,"Really nice place to listen music playing by dj/bartender. Great pizza great beer that's what I had 10/10.
Thanks
Kamil"
33,Hot Or Not, 5 stars ,3 years ago,Very busy bar but had a great atmosphere! The barmaid was pint pulling machine fair play to her
34,Hot Or Not, 5 stars ,3 years ago,"Nice chill atmosphere, good beers and great service - met some cool people here"
35,Hot Or Not, 4 stars ,2 years ago,"Nice place where u can smoke some joints, drink beer and eat."
36,Hot Or Not, 5 stars ,2 years ago,Nice place to grab a beer and watch some football while sharing a smoke! Coming back here for sure.
37,Hot Or Not, 5 stars ,4 years ago,Love this place. Awesome staff & friendly atmosphere. Good music too!
38,Hot Or Not, 5 stars ,2 years ago,"Great little bar. Ignore the negative reviews, bar lady was lovely"
39,Hot Or Not, 5 stars ,2 years ago,Iwould say HOT.cool place .nice staff.you can watch the scenery there in looking out of the window.unbelieveable funny watching the people passing by...
40,Hot Or Not, 1 star ,5 years ago,€40 for 3 double vodka cokes. Absolute joke. Avoid at all costs and go somewhere better
41,Hot Or Not, 4 stars ,2 years ago,"Was ok. Bit overpriced. Guess that happens in the centre. Nice atmosphere and staff,"
42,Hot Or Not, 5 stars ,3 years ago,Nice to have a cocktail with friends.
43,Hot Or Not, 4 stars ,4 years ago,"Good location an service, could have a few more beers in the menu"
44,Hot Or Not, 1 star ,4 years ago,Do not put the prices of the cocktails to charge what they want! for a basic cocktail we paid € 15
45,Hot Or Not, 5 stars ,3 years ago,"Guys go to this bar couse its nice and the staff is wonderful, the best day"
46,Hot Or Not, 5 stars ,5 years ago,"Great bar, very centralized. The bartender is awesome"
47,Hot Or Not, 4 stars ,3 years ago,Good spot for a bit of light night drinking in the redlight. Tasty shots
48,Hot Or Not, 1 star ,5 years ago,"Horrible, very rude bartender, very agrresive, plenty of good bar very close"
49,Hot Or Not, 4 stars ,2 years ago,Cool staff! Good drinks!
50,Hot Or Not, 5 stars ,3 years ago,Great bar even better staff lived it
51,Hot Or Not, 4 stars ,4 years ago,The list of beer isn't very good but we can smoke so it's ok
