,Name,Review Rate,Review Time,Review Text
0,Huis van Iemand Anders, 4 stars ,2 years ago,"Nice ambience, great beer selection on the tap, cool and helpful staff..... the place was lively!!!"
1,Huis van Iemand Anders, 5 stars ,7 months ago,"Fun vibes, nice decor, and good drinks for a reasonable price!!"
2,Huis van Iemand Anders, 4 stars ,2 years ago,"Cool music, interesting interior decoration, good but limited selection of alcohol"
3,Huis van Iemand Anders, 5 stars ,4 years ago,"Chill bar in hip atmosphere with friendly personnel! We were there only throughout the day, but def. will check out in the nighttime."
4,Huis van Iemand Anders, 5 stars ,a month ago,"Unique place, incredible atmosphere, amazing staff."
5,Huis van Iemand Anders, 4 stars ,2 years ago,"Grew up in this neighborhood and it's nice see there's a new, cosy.. welcoming bar there. Became pretty busy around 21-ish. Bar staff was friendly. Visitors age was late 20's up to about 38. Good mixed of people. Nice beer selection against …"
6,Huis van Iemand Anders, 5 stars ,3 years ago,"Great and cozy place outside of the touristic swamp in the center. Very cool staff, best music!"
7,Huis van Iemand Anders, 5 stars ,a month ago,"Enjoyed a lot, plus nice vibe."
8,Huis van Iemand Anders, 5 stars ,3 years ago,Great 10€ Monday meals and a great selection of wine/beer + cozy seating and lighting.
9,Huis van Iemand Anders, 5 stars ,2 years ago,"Last weekend I had one of the best parties over there. Friendly staff, great music, nice selection of beers. You could hang at the bar, flop on one of the sofas in the mid area or dance in the hall at the back"
10,Huis van Iemand Anders, 5 stars ,2 years ago,"Great little cosy place,doesnt seem much but i can assure you is a hell of a place,nice staff,door staff nice and pleasant aswell,nice ambience,and automatically the crowd is nice aswell..thank you for a quiet relaxing night!"
11,Huis van Iemand Anders, 5 stars ,2 years ago,"Amazing bar! They have delicious beers on the tap. The bar looks small from outside but is a beast inside out. Cool music, cool vibe."
12,Huis van Iemand Anders, 5 stars ,3 years ago,Nice bar with good vibes. Perfect to go for party with friends
13,Huis van Iemand Anders, 5 stars ,2 years ago,"If I would drink alcohol, this would be my 2nd home. Great venue with an unpretentious atmosphere. Luckily I cook good food, so I get to be their caterer once in a while!"
14,Huis van Iemand Anders, 5 stars ,3 years ago,"Fantastic bar! Finally something completely different. Not like all the fancy smancy bars. It's a place where you can relax, go one level up, go down a level or hang out at the bar. The vibe here is great, combine that with some good drinks …"
15,Huis van Iemand Anders, 4 stars ,2 years ago,Great venue for a fun night out. Could use a bit better ventilation ;)
16,Huis van Iemand Anders, 4 stars ,3 years ago,"It's a very cozy place, and sports an impressive size (it looks smaller on the outside). …"
17,Huis van Iemand Anders, 5 stars ,a year ago,Fantastic atmosphere and really great service
18,Huis van Iemand Anders, 4 stars ,2 years ago,Great drinking and dancing bar for anyone looking to spend a joyful time with mates!
19,Huis van Iemand Anders, 5 stars ,2 years ago,Very cool place. Quirky and cosy
20,Huis van Iemand Anders, 5 stars ,a year ago,Nice and very cool pub in Amsterdam Center
21,Huis van Iemand Anders, 5 stars ,2 years ago,"My favourite bar in Amsterdam; nice and friendly people around,  good DJs and the other day they even had karaoke. Always the first bar I suggest if we don´t know where to go!"
22,Huis van Iemand Anders, 5 stars ,4 months ago,"Nice and cozy place, lovely staff"
23,Huis van Iemand Anders, 5 stars ,3 years ago,Perfect spot if you're looking for a place to have a drink and a dance.
24,Huis van Iemand Anders, 4 stars ,5 months ago,Nice place to grab a beer after work
25,Huis van Iemand Anders, 4 stars ,2 years ago,Fun place. Low key. Relaxed
26,Huis van Iemand Anders, 5 stars ,2 years ago,"Cozy, kitschy atmosphere, excellent staff"
27,Huis van Iemand Anders, 4 stars ,3 years ago,Nice place. Love the plants that are all over the place. A bit too crowded on a Friday eve which makes conversations impossible and spilled drinks inevitable.
28,Huis van Iemand Anders, 5 stars ,2 years ago,Great service and sexy male barpersoneel 💕
29,Huis van Iemand Anders, 4 stars ,4 years ago,"Great venue for a company party, helpful staff and lots of flexibility/options"
30,Huis van Iemand Anders, 5 stars ,2 years ago,"Cozy, informal cafe with great food for a small price. Staff very friendly. A def recommendation"
31,Huis van Iemand Anders, 1 star ,2 years ago,Shitiest place ever. Super rude staff
32,Huis van Iemand Anders, 5 stars ,2 years ago,"Cosy place, nice atmosphere"
33,Huis van Iemand Anders, 5 stars ,4 years ago,"Lovely crazy little low key place! Full of hipsters, so love it or hate it, but it's part of the real Amsterdam experience."
34,Huis van Iemand Anders, 5 stars ,3 years ago,"Great selection of beers,  it's always a good vibe and Matteo and the team are brilliant!"
35,Huis van Iemand Anders, 5 stars ,2 years ago,Great place very homely
36,Huis van Iemand Anders, 5 stars ,2 years ago,Fun bar with great decor
37,Huis van Iemand Anders, 5 stars ,2 years ago,"Great atmosphere and even better food. Cozy and personal, loved it"
38,Huis van Iemand Anders, 5 stars ,3 years ago,Good vibe and nice crowd
39,Huis van Iemand Anders, 4 stars ,4 years ago,Such a lovely place to sit and be for a while
40,Huis van Iemand Anders, 5 stars ,3 years ago,Bobby’s G&T outstanding !
41,Huis van Iemand Anders, 4 stars ,4 years ago,Great bar!
42,Huis van Iemand Anders, 5 stars ,7 months ago,Top
43,Huis van Iemand Anders, 5 stars ,a year ago,Great bar!
44,Huis van Iemand Anders, 5 stars ,3 years ago,Great Bar
45,Huis van Iemand Anders, 5 stars ,3 years ago,Cozy!
46,Huis van Iemand Anders, 5 stars ,2 weeks ago,"(Translated by Google) The best bar in Amsterdam! Good atmosphere, nice crowd, and the bar staff consists of people who have an eye for the guests and conviviality. The biggest loss of immigrating to Berlin is that I have to miss this …"
47,Huis van Iemand Anders, 5 stars ,2 weeks ago,"(Translated by Google) Favorite place in Amsterdam to have a beer ️

(Original) …"
48,Huis van Iemand Anders, 2 stars ,3 months ago,(Translated by Google) The ground was already very sticky at the beginning of the evening and our coats had to hang on the bar where they hung on the floor and then smelled enormously of beer. The music was very loud with quite poor sound …
49,Huis van Iemand Anders, 1 star ,a month ago,(Translated by Google) Bartender(long and tail) really crappy. Sit there now. Been waiting 20 minutes for a beer. Pretends he doesn't hear us. Arrogant behavior for no reason. …
50,Huis van Iemand Anders, 5 stars ,a week ago,(Translated by Google) It's really nice here. Been there many times and will be going there again soon. gr …
