,Name,Review Rate,Review Time,Review Text
0,I Kriti, 5 stars ,2 years ago,"Great Greek taverna, lovely atmosphere, nice classic Greek songs, nice raki and great taverna food, must go!"
1,I Kriti, 5 stars ,3 years ago,"Best Greek food I've been able to find in Amsterdam! This place is run by a Greek man who is always around and sometimes he plays Greek songs on his guitar. If you like greek food and culture, you should try this place."
2,I Kriti, 5 stars ,4 years ago,Great! Came and was empty but the food was great! They took good care of it! Very attentive and delicious food!
3,I Kriti, 2 stars ,2 years ago,"Perhaps we were here on an off night and our group of 15 was loo large to to handle?
Yes the place has a nice local family vibe and the owner and his wife are very …"
4,I Kriti, 4 stars ,3 years ago,Small family business with a true touch. Happy to found a place! Be back.
5,I Kriti, 5 stars ,3 years ago,"My Greek dad gave it 2 thumbs up. The food is as authentic as it gets, and the couple who own the restaurant are super nice. The owner started playing his guitar and singing Greek songs at the end of the night. A true Greek experience."
6,I Kriti, 4 stars ,3 years ago,"Very nice and supposedly authentic Greek restaurant. SUPER nice owner, who likes to drink some and then play his guitar and sings Greek songs in front of everyone. It's quite the experience. However, if you are looking for something fancy …"
7,I Kriti, 5 stars ,2 years ago,"The best greek food in Amsterdam. Incredible taste. After finishing eating you will still have the great taste remained in your mouth and mind. We had greek salad, calamari(squaid), fries, tzatziki, pita, vegan mousaka and icecream. Great price for 2, 48 euro."
8,I Kriti, 5 stars ,2 years ago,Nice little greek rest in quiet neighborhood. Good homemade food for greek expats so taste is genuine. Been there twice in different trips to Amsterdam. Same nice and kind of warm family service.
9,I Kriti, 1 star ,3 years ago,"Warm and fuzzy. Decor, vibe, food quality is a poor comparison of the Greek / Cretan experience. Even the menu was wrong: baked zucchini was served fried. Bad value for the food you get (read, rip off). Sorry not sorry."
10,I Kriti, 2 stars ,2 years ago,It was very lovely when the owner sang and played Greek music. Sadly the food was not as joyfull as the music. It was very plain and not comparable with what you can  actually have in Greece
11,I Kriti, 5 stars ,4 years ago,"Good and cozy restaurant. Mr. Giannis and his wife run the place, they take good care of the customer. There is always a bottle of tap water on the table and they offer nice portions of Greek food."
12,I Kriti, 5 stars ,2 years ago,one word ent my opinion it's so so ellitl : first try meet the owner from this tavern .it's one person with diamond heart : is Rare person: in my life I meet much people . but Rare heart's it's definitely defecol find : I don't know what …
13,I Kriti, 5 stars ,2 years ago,Very good service from very good people and excellent boss and play by him self live music
14,I Kriti, 3 stars ,2 years ago,"Excellent food, living room atmosphere however the seats are quite uncomfortable and the prices are just a bit too much in comparison with the whole experience. Would give it a 3.5"
15,I Kriti, 4 stars ,2 years ago,Great food with flavors I never had before in a Greek restaurant. Maybe because the chef is from Krete? Friendly staff.
16,I Kriti, 4 stars ,3 years ago,2 stars for the food. Seemed like the mousakka was heated in the microwave. The last stars for the warm and welcoming service and atmosphere.
17,I Kriti, 5 stars ,3 years ago,"A cute little hidden gem in Amsterdam. It’s a very nice and authentic Greek restaurant. Especially the service convinced us :)
5/5 well deserved!"
18,I Kriti, 5 stars ,3 years ago,Very small and old Greek restaurant. With an amazing owner that can sing at your table. Good food.
19,I Kriti, 5 stars ,3 years ago,Delicious and traditional Greek food. Lovely place and nice personell. Absolutely a must go
20,I Kriti, 5 stars ,3 years ago,"Amazing experience! The food is really good, the people and the owner so friendly and positive. I would strongly recommend this place to have a good time :)"
21,I Kriti, 5 stars ,4 years ago,Super tasty food at a great price. The house red wine is excellent with the authentic Crete rabbit dish
22,I Kriti, 5 stars ,2 years ago,"Great atmosphere, amazing people and very good food. A traditional greek tavern in the middle of amsterdam."
23,I Kriti, 5 stars ,5 years ago,"Loved the food and the atmosphere of the place. It feels like a Cretan oasis, and the owner of the place is always there in good spirits, chatting with customers and singing."
24,I Kriti, 5 stars ,4 years ago,"That was quite an experience: we were the last visitors, so owner (also cook) spent time with us. Food was nice and experience was very positive"
25,I Kriti, 5 stars ,4 years ago,"Great restaurant where you can enjoy authentic Greek food from Crete! The hosts, Patricia and Yannis are very friendly and highly service oriented!"
26,I Kriti, 4 stars ,4 years ago,Great hospitality and great Greek food. Very affordable and small but definitely worth a visit!
27,I Kriti, 5 stars ,4 years ago,Very good authentic Cretan kitchen and hospitality
28,I Kriti, 5 stars ,2 years ago,"Delicious food, extremely friendly owner! Cozy and Griek style place in Amsterdam!"
29,I Kriti, 5 stars ,5 years ago,"One of the friendliest restaurants in town, this small place makes you feel in Greece/Krete for the night, olive oil till the gates of heaven, friendly priced, very much recommended!"
30,I Kriti, 5 stars ,2 years ago,"Authentic Greek food (coming from a Greek) and great hospitality, will definitely go back."
31,I Kriti, 5 stars ,3 years ago,"Very nice food, atmosphere & people! We had a very good time!"
32,I Kriti, 5 stars ,5 years ago,Great authentic and friendly restaurant with nice live music. Tasty food too.
33,I Kriti, 5 stars ,4 years ago,Great Greek food. We luckily caught the discount Monday to Wednesday menu.
34,I Kriti, 5 stars ,3 years ago,"Really nice, all the dishes we had were absolutely delicious."
35,I Kriti, 5 stars ,2 years ago,Wonderful Greek establishment with a friendly staff and tasty food.
36,I Kriti, 5 stars ,5 years ago,"Very friendly, nice people and the food is more than fantastic  first time here but not the last"
37,I Kriti, 5 stars ,2 years ago,A cozy small restaurant. Food is tasty and the owner is very friendly
38,I Kriti, 5 stars ,3 years ago,"Amazing cosy restaurant, feels like a trip to Greece!"
39,I Kriti, 5 stars ,2 years ago,"Lovely place, very welcoming and food was amazing....."
40,I Kriti, 4 stars ,2 years ago,"Sweet place, family atmosphere ♡ good food"
41,I Kriti, 5 stars ,2 years ago,"Traditional, great music, good food, good service."
42,I Kriti, 4 stars ,4 years ago,It's different but nice. Interesting music. Friendly and helpful staff :)
43,I Kriti, 5 stars ,3 years ago,Amazing authentic cretan restaurant! Perfect lamb
44,I Kriti, 5 stars ,2 years ago,Nice food friendly stuff. Grotjes from UK
45,I Kriti, 4 stars ,2 years ago,Great traditional food& server
46,I Kriti, 3 stars ,4 years ago,Interesting chicken souvlaki. The rest were a most mediocre.
47,I Kriti, 3 stars ,5 years ago,Cozy good food but nothing special
48,I Kriti, 5 stars ,4 years ago,My favorite greek restaurant.
49,I Kriti, 5 stars ,4 years ago,Delicious food and nice atomsphere
50,I Kriti, 5 stars ,3 years ago,There is the best quality and friendly staf
51,I Kriti, 5 stars ,3 years ago,"Wonderful place, like being in Crete."
52,I Kriti, 5 stars ,4 years ago,quality is the best in this restaurant
53,I Kriti, 5 stars ,2 years ago,Loved it
54,I Kriti, 5 stars ,3 years ago,Great Greek experience
55,I Kriti, 5 stars ,4 years ago,"(Translated by Google) Top restaurant, food, ouzo and of course Janis and staff 😗😗😗💙💙💙 …"
56,I Kriti, 5 stars ,2 years ago,"(Translated by Google) After days spent in Amsterdam where there are only places to eat tourists, we found this Greek restaurant. Very friendly and excellent quality dishes. Don't miss eating in this place, you won't regret it. From the …"
