,Name,Review Rate,Review Time,Review Text
0,Irish pub St. James Gate, 5 stars ,a month ago,Really nice Irish Pub! The beer is awesome. Hop House 13 is specially good. Food is tasty and staff super friendly. I will come back soon.
1,Irish pub St. James Gate, 4 stars ,6 months ago,Really friendly staff! (And cute!) The food was really good and the waiter was so friendly! He even made me a bloody mary despite it being on the menu! 10/10 will recommend! …
2,Irish pub St. James Gate, 5 stars ,7 months ago,"This bar is located at Rembrenatplein, one of the main squares of Amsterdam. The service in it was good and the food and the drinks was great. I suggest to visit this place and to drink Affligen Triple beer is one of the greatest Belgian …"
3,Irish pub St. James Gate, 5 stars ,7 months ago,Nice bar. Good service and location. You can just have a drink but also something to eat.
4,Irish pub St. James Gate, 4 stars ,5 months ago,"Enjoyed a few pints of Guinness and had fish 'n chips on the terrace. Fast attentive service, the next pint was settling as I was just finishing the previous. Nice location to watch the passersby in the square. Little on the expensive side but it is Amsterdam."
5,Irish pub St. James Gate, 5 stars ,3 years ago,This is brilliant pub that offers really tasty food. The staff are very friendly and helpful. The Irish Breakfast is especially good and is big enough to share between two. The outdoor seating offers an excellent view of the square and is perfect for people watching. I would definitely recommend it to anyone.
6,Irish pub St. James Gate, 5 stars ,3 months ago,Great place. Great beers on tap and the staff are very friendly and welcoming. Will be going back for sure
7,Irish pub St. James Gate, 5 stars ,2 months ago,Top sportsbar with fantastic staff
8,Irish pub St. James Gate, 5 stars ,3 years ago,"This place really stood out for me. Little extra touches like having little blankets on the back of the chairs in case I got cold, or just having incredibly attentive and personable wait staff made this place special. The food and drink was …"
9,Irish pub St. James Gate, 5 stars ,5 months ago,Very nice place with a good food menu and plenty of beers. The Irish breakfast is very nice and took away my hangover!
10,Irish pub St. James Gate, 4 stars ,2 years ago,"Nice Irish bar , little worn inside , outside seating aplenty,  and good views over Rembrant square.  Table service,  or you can pay and order at bar ."
11,Irish pub St. James Gate, 5 stars ,8 months ago,I happened to be riding around on a bicycle in Amsterdam enjoying the day and I come upon this great Irish Pub.  I was seated in the plaza square immediately and the staff was very kind and welcoming.  I asked for some Bitterballen a …
12,Irish pub St. James Gate, 5 stars ,5 months ago,I didn't expect much due to the location but the service was great and fast and the food was tasty. Very much recommended
13,Irish pub St. James Gate, 2 stars ,7 months ago,"Check your bills as I paid for my drinks here, then my friends got charged again the full amount.  Waitress was a bit cheeky. …"
14,Irish pub St. James Gate, 5 stars ,a month ago,Try house red wine! It’s pretty good!! 😍😍 I loved this pub!
15,Irish pub St. James Gate, 5 stars ,a week ago,Best Sunday roast nice place nice people
16,Irish pub St. James Gate, 5 stars ,8 months ago,Stuff was dressed like sex workers. To short skirt. But she was friendly. Our lunch snacks where nice and tasty. We enjoyed our short stay here.
17,Irish pub St. James Gate, 5 stars ,6 months ago,Super!! Great pubfood and very friendly staff! Almost old-fashioned service at this place. Highly recommended!
18,Irish pub St. James Gate, 5 stars ,4 months ago,Wow...very nice...beer and original Dutch food...A MUST
19,Irish pub St. James Gate, 3 stars ,a month ago,"Nice pub, but €8,40 for a Guinness?! Come on..."
20,Irish pub St. James Gate, 5 stars ,3 years ago,"Perfect Irish bar. Very good beers and very good food.
Friendly staff and good location in the middle of Amsterdam.
Next visit yo the dam, this will be the first place we visit.
Try the Irish red beer... wow.. :)"
21,Irish pub St. James Gate, 5 stars ,2 years ago,My favorite pub in Amsterdam. They serve my favorite beer : Bavaria. The staff there are very friendly. As well as the fries there are so tasty. Its in Rembrandt Square. Exactly in the middle of the square.
22,Irish pub St. James Gate, 5 stars ,4 months ago,"Very friendly staff, Nice food and good prices"
23,Irish pub St. James Gate, 5 stars ,8 months ago,Nice and cozy place to drink and small quick bite.. Nice music system. Very nice environment inside and staff is friendly. Enjoy!
24,Irish pub St. James Gate, 5 stars ,5 months ago,5 star for Miguel! He is amazing! Great food aswel!
25,Irish pub St. James Gate, 5 stars ,8 months ago,"Great bar, we visit it last Saturday evening and Sunday for watch sports. And having a good time there. Nice people who are working there. Next time in Amsterdam we will visite it again"
26,Irish pub St. James Gate, 1 star ,5 months ago,"Food was good but they are trying to scam you.
Check your receipt."
