,Name,Review Rate,Review Time,Review Text
0,Java-Blend Amsterdam, 1 star ,a year ago,"I came here yesterday at 20.30 and asked for a cup of tea. They said sorry, but after 16 we are only winebar and do not sell tea. It was cold and dark outside and I just wanted a hot drink. Does anyone really think that they did not have hot water or kettle or tea"
1,Java-Blend Amsterdam, 5 stars ,3 years ago,Excellent food and service.  Only accepts local card or cash.  The owner was so kind to offer his bike to allow us to go to an ATM machine.  Apple dessert was the best!!!
2,Java-Blend Amsterdam, 5 stars ,2 months ago,Best coffee and best sandwiches in A-dam 🤗♥️
3,Java-Blend Amsterdam, 5 stars ,3 years ago,"Excellent coffee and kind, welcome owner running place for 4 year. He is regulary hosting twice a week group of elderly friend thanks to them ambience its decorated and furnished with mostly vinted stuff they dont need anymore - so they …"
4,Java-Blend Amsterdam, 5 stars ,2 years ago,Great place! Lovely atmosphere and a very nice host! The coffee and food was excellent
5,Java-Blend Amsterdam, 3 stars ,2 years ago,Not a good edible selection.... Lots of cbd product...   Folks in store do not know product strength s
6,Java-Blend Amsterdam, 2 stars ,a year ago,It has no coffee what so ever after 4pm. Which is kinda misleading for a 'java-blend' shop
7,Java-Blend Amsterdam, 4 stars ,5 years ago,Good place for coffee and some small bite. Also suitable for working on your laptop (downstairs room).
8,Java-Blend Amsterdam, 5 stars ,3 years ago,Excellent coffee and cake and friendly owner welcoming you
9,Java-Blend Amsterdam, 5 stars ,2 years ago,_The_ place to have a good coffee and a fabulous cake in this neighborhood.
10,Java-Blend Amsterdam, 4 stars ,2 years ago,Great spot ! Rally relaxing.
11,Java-Blend Amsterdam, 4 stars ,4 years ago,"Excellent coffee, cool location"
12,Java-Blend Amsterdam, 5 stars ,4 years ago,Good coffee!
13,Java-Blend Amsterdam, 4 stars ,5 years ago,Tasty coffee.
14,Java-Blend Amsterdam, 4 stars ,4 years ago,Not the best
15,Java-Blend Amsterdam, 5 stars ,4 months ago,"(Translated by Google) Had a very pleasant evening, received very hospitable: good wines, good food, what more could you want! Very nice place …"
16,Java-Blend Amsterdam, 5 stars ,4 months ago,"(Translated by Google) Cozy because to drink coffee and eat
Good products and the owner is very friendly and cozy …"
17,Java-Blend Amsterdam, 5 stars ,6 months ago,"(Translated by Google) They were closed a little too early and I was standing in front of a closed door, but the package was still delivered personally (home). That's service! …"
18,Java-Blend Amsterdam, 5 stars ,a year ago,"(Translated by Google) Wonderful place where you can get a nice cup of coffee during the day, but at the end of the day this place turns into a wine bar, and not just like that ..... owner Robert Braam was also responsible for Bubbles & …"
19,Java-Blend Amsterdam, 5 stars ,2 years ago,"(Translated by Google) Nice thing. Was at the neighborhood top OHG
VERY COSY. TOP staff tasty beers. …"
20,Java-Blend Amsterdam, 4 stars ,10 months ago,"(Translated by Google) Nice wine bar in the afternoon, we haven't been during the day yet, but a lot of people came to ask for ice cream. …"
21,Java-Blend Amsterdam, 1 star ,a year ago,"(Translated by Google) Very lax in its role as a parcel collection point. Have parcels returned before they can be picked up or simply close. Without making excuses, very unlikable and uninterested. …"
22,Java-Blend Amsterdam, 5 stars ,3 years ago,"(Translated by Google) Cozy place for a cup of coffee, lunch or ice cream. Twenties interior, you feel right at home because of the cosiness. You will not get bored. Art on the wall, nice people from the neighborhood, but also tourists …"
23,Java-Blend Amsterdam, 4 stars ,2 years ago,"(Translated by Google) Nice neighborhood cafe without beer tap. Cozy, old-fashioned tablecloths on the table give an atmosphere of the past. Should we go more often if only because the island does not have that many other neighborhood …"
24,Java-Blend Amsterdam, 3 stars ,2 years ago,(Translated by Google) Great place my aunt cool an exhibition here. Tasty beers from brewery het ij. Space is not that big and not accessible for the disabled …
25,Java-Blend Amsterdam, 5 stars ,2 years ago,"(Translated by Google) I definitely come here once a week. Nice and warm ambiance. Friendly staff and if they have cool cake that the owner makes himself, then you should really try it. Delicious. …"
26,Java-Blend Amsterdam, 4 stars ,4 years ago,"(Translated by Google) Very quiet place, with pricey smoothies, tasty and a lot, but the taste is not such that it justifies that price. Nicely decorated and as a resident of the neighborhood you can get free GFT bags. …"
27,Java-Blend Amsterdam, 5 stars ,a year ago,"(Translated by Google) Nice cafe with nice coffee and good lunch.
Owner Robert is always in for a nice conversation! …"
28,Java-Blend Amsterdam, 5 stars ,3 years ago,(Translated by Google) Robert happily brings you all the goodies that you can get .. I will come back. Cozy terrace with nice audience who spontaneously involve you in their conversations. Beautiful case 👌 …
