,Name,Review Rate,Review Time,Review Text
0,Jerusalem, 5 stars ,4 years ago,Place is wonderful. Music is super chill and service is awesome. Coffee was perfect.
1,Jerusalem, 5 stars ,3 years ago,What a nice little restaurant! The staff was very friendly and had a lot of patience when explaining the menu items and introducing us to a few new items. I rarely try food that I haven't tried before but I'm glad I did with the staff's recommendations! Everything tasted great!
2,Jerusalem, 5 stars ,4 years ago,"The best place to find healthy and tasty food in Amsterdam. Waitress really delightful and attentive to the customers. good beer. Quiet location, with access to the classic steep stairs of the place, can hold less than twenty people in …"
3,Jerusalem, 5 stars ,4 years ago,"Randomly stumbled to this gem on the first day we landed to Amsterdam. When I say it’s a gem, that it was! The food was amazing, made when you are there with love and everything is so warm and tasty! The music and environment was very …"
4,Jerusalem, 5 stars ,3 years ago,"From the outside, this restaurant doesn't look very conspicious but on the inside it is very comfortable, individually furnished. There's a cat that seems to be a regular guest. The waitress was super friendly and the food extraordinarily …"
5,Jerusalem, 3 stars ,3 years ago,"Gorgeous spot, romantic (the inner dining room with view on the garden ❤), nice service and good location.
Patatas bravas and lamburgher amazing :) …"
6,Jerusalem, 5 stars ,4 years ago,Amazing food. Vegan/vegetarian options here
7,Jerusalem, 5 stars ,4 years ago,Wow!  This is an amazing new restaurant on the very popular Haarlemmeerstraat in the Centrum. …
8,Jerusalem, 5 stars ,3 years ago,"Fantastic hidden gem.  Excellent food and service, you'll be very satisfied.  Veggie and vegan options as well as meat dishes that all looked amazing."
9,Jerusalem, 5 stars ,4 years ago,"Acting upon our hotel staff's recommendation (The Bank Hotel), tried Abinish for a quick lunch. While unassuming, what waits inside makes the stop worth your time. Highly recommended."
10,Jerusalem, 5 stars ,5 years ago,The food seems simple but yet super good! Well cooked and well prepared. The soup of the day was really good and the waitress is very nice and gives good recommendation
11,Jerusalem, 5 stars ,3 years ago,"If you pass this place up you're missing out on a real gem. It's above all flavourful and delicious, but also one of the healthiest meals you can probably get for dinner around the city!!"
12,Jerusalem, 5 stars ,3 years ago,"Very good place and good atmosphere.
The food is fresh and it come with very tasty bread. There is a place inside the restaurant with garden view which is quiet and with good fresh air"
13,Jerusalem, 5 stars ,5 years ago,Abinish is excellent! The seasonings are well balanced and the meats from the grill are are cooked with pride. Homemade ice tea was refreshing. Cheerful staff.
14,Jerusalem, 5 stars ,4 years ago,Very good food at low prices compared to others near by. Nice seating in the back of the restaurant.
