,Name,Review Rate,Review Time,Review Text
0,Johannes, 4 stars ,3 months ago,"Food was delicious, beautifully or presented with a great variety of original flavours and textures. What was missing here (on our night) was knowledge of the wine menu. When you drink wines of € 70 a bottle you expect some storytelling …"
1,Johannes, 4 stars ,3 months ago,Nice food and good service. Just would be nice if they don’t give a champagne which is over priced.
2,Johannes, 4 stars ,3 years ago,Johannes provides a good culinary experience and friendly service but it's a little bit overpriced. …
3,Johannes, 5 stars ,4 months ago,"Very high standard, creative, delicious.... Our second visit and just excellent in every way.  We appreciate the variety within a short yet sophisticated menu.  Terrific service.  Genteel atmosphere."
4,Johannes, 5 stars ,2 years ago,"Wonderful, French restaurant with an intimate atmosphere and delicate tasting menu. I loved every amuse bouche and leisurely course along with the thoughtful wine pairings. So many unique flavors and sauces excited my palate! We lingered …"
5,Johannes, 5 stars ,6 months ago,Excellent food and great service. Had the 7 course meal and each dish was very creative and well presented. The pacing of the courses was a tad fast but still acceptable. Service was unobtrusive and friendly. All in all a good dining experience.
6,Johannes, 3 stars ,3 years ago,"Maybe we just went too early and the management weren't in place yet, but despite of not a bad level of cooking itself, the whole experience was rather poor. …"
7,Johannes, 4 stars ,4 years ago,They help me with the gluten and lactose free menu. The price maybe is also hight and the vines are also cheep. They put one Lambrusco! it must be prohibited ! But the experience was amazing!
8,Johannes, 5 stars ,8 months ago,Amazing food. Amazing service. Try it for sure!
9,Johannes, 4 stars ,4 years ago,"Beautiful presentation. Surprise menu is interesting, not knowing what the next dish will be. Wine is good."
10,Johannes, 5 stars ,6 months ago,Outstanding food! We had 8 courses and every one of them was fantastic. Highly recommended.
11,Johannes, 5 stars ,2 years ago,"This is a lovely restaurant with outstanding and imaginative food. We went for New Year's Eve, which is a tough night at any restaurant, and every dish was heaven. The atmosphere was festive and many diners shares toasts and well-wishes …"
12,Johannes, 4 stars ,2 years ago,"Food is delicious, but the service could be greatly improved. They're very nice, but so slow... Don't get me wrong I love a leisurely meal, but this was extreme. We had the 5 course menu + a cheese platter and it took 3.5hrs because the …"
13,Johannes, 5 stars ,2 years ago,"We enjoyed a fantastic dinner recently at Johannes!

The service and ambiance was relaxed and personable making for an enjoyable …"
14,Johannes, 5 stars ,a year ago,"We had the 4-course surprise menu and every course was excellent - red mullet, ray, strip loin steak, creme brûlée plus an extra cheese course. We also had three complimentary amuses including one with foie gras. Service was attentive and …"
15,Johannes, 2 stars ,2 years ago,"It was pretty disappointing. They kept pushing dishes that were not part of the course menu, without telling us the price or waiting for us to let them know we want it (eg. oysters). Some of the dishes were nice but others were very …"
16,Johannes, 4 stars ,3 years ago,Good restaurant with some seating on the canal. Food was quite good and well priced. Great service!
17,Johannes, 5 stars ,2 years ago,Pure joy! Excellence in every arena of fine dining.
18,Johannes, 1 star ,3 years ago,attitude of the male server was uncomfortable. they should respect customers a bit more.
19,Johannes, 5 stars ,2 years ago,"Creative small restaurant for high end dining. Beautiful location and setting. Interesting menu, excellent service. The menu was quite light and the 'stones' were the most memorable of all dishes! Well done!"
20,Johannes, 4 stars ,2 years ago,"Food is delicious, but the service could be greatly improved. They're very nice, but so slow... Don't get me wrong I love a leisurely meal, but this was extreme. We had the 5 course menu + a cheese platter and it took 3.5hrs because the …"
21,Johannes, 5 stars ,2 years ago,"We enjoyed a fantastic dinner recently at Johannes!

The service and ambiance was relaxed and personable making for an enjoyable …"
22,Johannes, 5 stars ,2 years ago,"Creative small restaurant for high end dining. Beautiful location and setting. Interesting menu, excellent service. The menu was quite light and the 'stones' were the most memorable of all dishes! Well done!"
23,Johannes, 5 stars ,2 years ago,Great food and ambiance. My one negative was that the waiter's time estimation for the number of courses that we ordered was way off. He said two hours but it took four.
24,Johannes, 5 stars ,a year ago,"Great restaurant, great food and great customer service. I recommend :)"
25,Johannes, 5 stars ,2 years ago,"Michael was a charming, knowledgeable and attentive server. The food, wine and pace of the meal were all superb. One of the best meals I have had for some time!"
26,Johannes, 5 stars ,6 years ago,This was the first place my wife and I ate at on our honeymoon in Amsterdam. The ambiance is very romantic. The wait staff were friendly and helpful. The location is nice in the center of Amsterdam on a nice canal street. The food was …
27,Johannes, 5 stars ,2 years ago,"Had a great post-wedding dinner there. Food was great, and the waiting staff were excellent and great English speakers. Very accommodating for kids though there were no baby changing facilities."
28,Johannes, 2 stars ,2 years ago,"It was pretty disappointing. They kept pushing dishes that were not part of the course menu, without telling us the price or waiting for us to let them know we want it (eg. oysters). Some of the dishes were nice but others were very …"
29,Johannes, 5 stars ,a year ago,"Excellent food, cosy atmosphere and tasty wine"
30,Johannes, 1 star ,3 years ago,"Not poite staff with no knowledge, rotten flowers in entrance, no idea about wine and how to serve. One of most overrated restaurants. Good food in lower priverange but really, really over priced for this kitchen ."
