,Name,Review Rate,Review Time,Review Text
0,Joost, 4 stars ,4 months ago,"Nice little neighborhood bar with a good beer selection. Couple of good whiskies to be had.
Good service and nice customers."
1,Joost, 5 stars ,3 years ago,"Such a great place with the friendliest bartender. I’m so happy we dropped by this place. Great beers (only local breweries, thumbs up) and awesome combinations of gin tonics. Indie, folk and rock and a friendly atmosphere, combined with the drinks makes this an easy full rating!"
2,Joost, 5 stars ,2 weeks ago,nice place with always a friendly bar tender that chats with you.. terrace is heated. fresh dutch newspapers
3,Joost, 5 stars ,3 weeks ago,"Always good vibes when you enter, lovely personnel & good beer."
4,Joost, 5 stars ,a year ago,"Joost should have 6 stars, it is that good. Local beers, often brewed with a few miles of the bar. Great selection, that changes a lot and most certainly with the seasons. Knowledgeable, friendly and humorous crew. Great places to sit outside and enjoy busy Amsterdam oost. It's a small place, so it gets crowded easy."
5,Joost, 5 stars ,a month ago,Cosy bar on a corner in Amsterdam Oost. Worth the visit..
6,Joost, 3 stars ,2 years ago,"Small place that gets crowded easily. Focused on specialised beers, most of them quite strong in taste. Serves a great gin-tonic, with a very decent price. But get some food nearby before you start drinking, they don't serve food and what they serve is all quite strong."
7,Joost, 4 stars ,3 years ago,"Small local pub in a great area of Amsterdam. The owner/barman was very friendly and welcoming, letting us sample a few of the beers before buying which I always like. Good music and great beer at good price. Can't wait to go back next time we're in the Dam."
8,Joost, 5 stars ,2 years ago,"Good, lively environment. Value for money on drinks. Tables outside for those who want to experience the Amsterdam weather. There are a couple of good places all around, allowing you to rest after some shopping."
9,Joost, 5 stars ,3 weeks ago,A nice cozy Amsterdam bar.
10,Joost, 5 stars ,3 years ago,"Warm place, nice local biers, very kind bartenders, good music and board games"
11,Joost, 5 stars ,5 years ago,"Favorite neighborhood bar, decent music. Crowded on weekends, but perfect week day after work local spot. Lot's of local craft beers! They do G&Ts but have little selection for cocktails, but it isn't a cocktail place."
12,Joost, 5 stars ,8 months ago,"Always great service, great vibes and great beers! 100% recommend"
13,Joost, 5 stars ,4 years ago,Best bar in Amsterdam. Period.
14,Joost, 5 stars ,2 years ago,"The best bar of Oost, maybe even In A’dam. Great selection of local beers. Very good atmosphere, like a second living room. Highly recommended!"
15,Joost, 5 stars ,4 years ago,"Very nice laid back bar with excellent local beer selection. Never too crowded, always good service and good fun. I love the mixed crowd it attracts."
16,Joost, 5 stars ,3 years ago,The best of everything. #1 people #2 beer
17,Joost, 5 stars ,5 years ago,"Just take a look at the beer list on the wall, it's nothing to sneeze at. Actually among the best in town, and I'm including the heavy hitters here. Vibe is 10/10, rustig in the week and Sunday mornings, or lekker bezig on Saturdays. …"
18,Joost, 5 stars ,6 months ago,Thanks for the good beers and the lovely service.
19,Joost, 4 stars ,a year ago,"Nice local pub with local people and expats. Especially nice when jaoie is working! Enjoy, its a little gem with the right people working on the right spot"
20,Joost, 5 stars ,4 years ago,"Bloody fantastic little bar specialising in a glorious array of local beers, and impressive selection of ciders. The atmosphere is so enticing, you’ll be hard pushed to leave."
21,Joost, 5 stars ,2 years ago,"Fantastic neighbourhood bar where everyone is welcome. Good selection of beers, delicious snacks and great service."
22,Joost, 5 stars ,4 months ago,Lovely terrace and good service
23,Joost, 4 stars ,2 years ago,"Really nice atmosphere, good selection of drinks and great price. Perfect place for a drink and a chat"
24,Joost, 5 stars ,2 years ago,"Great Bar, a bit Pricey but they have A LOT of nice craft beer.
Would recommend"
25,Joost, 5 stars ,2 years ago,Local craft beer bar with a lovely easy atmosphere. Enjoy Amsterdam-based craft beers while playing some bar games.
