,Name,Review Rate,Review Time,Review Text
0,Kade West, 5 stars ,6 months ago,"Even It was raining,I had good lunch and coffee time! Club sandwich is great!!!"
1,Kade West, 4 stars ,2 years ago,"The food was amazing!! We came to sit inside and have dinner. Service was attentive and fast to get our orders. Drinks came fast, also the apetizer. The main course took very long, though it was also very delicious."
2,Kade West, 5 stars ,5 months ago,"What an amazing experience we had! Great food, service and atmosphere! Definitely coming back 😁"
3,Kade West, 5 stars ,2 years ago,"Super cute restaurant and bar. We stopped in for a little lunch and drink. The staff was very friendly and helpful, answering all our general questions Be sure to try the tomato soup. It's delicious!"
4,Kade West, 4 stars ,3 years ago,Nice place for a beer or a late afternoon sun at their terrace. Also in the evening you can enjoy the heated terrace. Plenty of beer to choose from and some traditional snacks
5,Kade West, 5 stars ,4 months ago,"Nice place. Good good, cold beer and good service."
6,Kade West, 5 stars ,9 months ago,"Great staff, amazing food and best choices of drinks. The best place to enjoy the sun on the great terrace with some nachos and a beer!"
7,Kade West, 3 stars ,2 years ago,"Ideal place for drinks on a day worth sitting outside. Not lunch.
I went for lunch and staying inside which was an underwhelming experience. The service was good but the interior makes it feel like a bar forcing itself to be …"
8,Kade West, 4 stars ,a year ago,"Good neighborhood fav....

Great view of the canal. A good selection of beer, it's not a touristy place so …"
9,Kade West, 5 stars ,2 years ago,Nice bar! Really good food and a good assortment of beers. The staff is really friendly. I at here the best burger in Amsterdam! Definitely visit this place if you're around Amsterdam-West.
10,Kade West, 5 stars ,9 months ago,"Great food, love the terrace (with heaters) and the best service! Absolutely love this place!"
11,Kade West, 5 stars ,2 years ago,Super nice staff!! Very friendly and recommended nice drinks to go with our food. The food was really quick and great quality. You can taste that it’s fresh and made with love!! ❤️
12,Kade West, 5 stars ,2 years ago,"Admittedly, we were sceptical and entered with low expectations.
Space is limited, but the food (sandwiches and steak) was so excellent that we went into raptures. …"
13,Kade West, 5 stars ,2 years ago,"Really cosy restaurant with excellent food. It is a perfect place to grab a beer or to enjoy some good food. Downstairs they have a nice bar area, while upstairs offers an excellent dining space. Their nacho's are definitely worth it!"
14,Kade West, 5 stars ,3 years ago,"Great little place in a nice sunny spot. A bit pricy but not too much. The waitress was fast, polite and in general the exact opposite of a classic Dutch service. Beside other things we ordered a club sandwich. Although it wasn't a club sandwich by any means, it was tasty and good in general."
15,Kade West, 5 stars ,a year ago,"Cozy bar and restaurant!!! Best in town!!! Very cool and friendly staff!!! Shows football as well!!! Looking forward to seeing you again, guys!!! HIGHLY RECOMMENDED!!!"
16,Kade West, 5 stars ,2 years ago,"The place to be. The locals go here, so you know it's good. Service is spot on and always with a smile. Awesome terrace with sun until late, and the food is mouth watering. Will definitely be back when in Amsterdam"
