,Name,Review Rate,Review Time,Review Text
0,Kamerz, 5 stars ,3 months ago,"Now a days you can't easily find a camera shop. Situated on the bottom level of Rosebank Mall near the Post Office they offer great service, are friendly and knowledgeable. They can assist with anything about cameras new and old. …"
1,Kamerz, 5 stars ,2 months ago,"I hopped on the internet looking for a FTZ Adapter and found Kameraz, I've never ordered from them before but proceeded to make the purchase. Item was delivered fast and in a mint condition, I will surely be making more purchases with them."
2,Kamerz, 5 stars ,4 months ago,"Hands down the best photographic shop that I have had the pleasure of doing business with.  A special thanks to Gabriel who listened to my requirements for the kind of photography I do, has a wealth of technical knowledge and made the whole process of selecting the right equipment  for my needs so easy. Thank you."
3,Kamerz, 5 stars ,2 years ago,I have been a customer with Kameraz for about 5 years now. They are the best photo store in the country. Always give great prices and the best advice. Great range of gear. …
4,Kamerz, 5 stars ,a month ago,"Great camera store, huge variety and very knowledgeable staff, alot of used gear as well."
5,Kamerz, 5 stars ,3 months ago,"Excellent service from knowledgeable people at good prices. Nicely surprised to be offered a free cappuccino with my purchase (excellent). Thanks, Gareth & team!"
6,Kamerz, 5 stars ,4 months ago,"Wow! Incredible service from Kameraz: only nine hours from placing an online order, to getting it delivered via courier to Pretoria. This was my first order with Kameraz but won’t be the last, you guys rock!"
7,Kamerz, 5 stars ,4 months ago,"Called them they offered me a lens below market value and I got a ND filter on too of that that was so affordable, wow I'm impressed"
8,Kamerz, 5 stars ,4 months ago,Bought a second hand nikon 35mm from Kameraz. It was neatly package and delivered quite fast with Dawn wing. Awesome customer service.
9,Kamerz, 5 stars ,3 months ago,We got helped immediately we entered the shop.  since I know nothing about cameras the gentleman was friendly enough to help my son pick the right one
10,Kamerz, 5 stars ,3 months ago,Excellent service & quick delivery time. The lady I spoke to on the phone was so helpful & product is in excellent used condition.
11,Kamerz, 5 stars ,8 months ago,"Incredible service and fantastic communication!
Placed an online order and received my parcel the very next day and I was kept up to date on the status of my delivery at every step of the way.
Would highly recommend this shop for any avid photographers."
12,Kamerz, 5 stars ,2 months ago,Delightful ambiance! Cute coffee shop with excellent espresso. Very good service! Sit and sip your coffee like a lady!
13,Kamerz, 5 stars ,10 months ago,"One of the best camera stores I’ve been to in the country. Beautiful store, I love the extended coffee shop / gallery and studio. Very unique store and is a really cool experience to go there. The staff are extremely friendly and helpful. …"
14,Kamerz, 5 stars ,a year ago,"I ordered a camera on Friday as I live in Cape Town, I was expecting serious delays but got it by Tuesday. I got a little card and hand sanitizer which made me like I'm not just another money-making opportunity but a valued customer 👍👍 very pleased with the service and my camera. Was like Christmas in July haha 😂 Defs recommended."
15,Kamerz, 5 stars ,9 months ago,"Great prices for cameras, lenses and accessories. The staff is very friendly and helpful. They have a great selection of cameras and lenses. The store is very clean and the products are nicely packaged. The service is also great and fast."
16,Kamerz, 5 stars ,a month ago,Always a pleasure shopping here. Helpful and friendly staff
17,Kamerz, 5 stars ,4 months ago,"Amazing products, very impressive setup, the exchange rate is not a nice with this place."
18,Kamerz, 5 stars ,a month ago,I was surprised they are still around. Good place for cameras and accessories.
19,Kamerz, 5 stars ,2 weeks ago,Great  shopping  great service Knowledgeable salespeople  Honest
20,Kamerz, 3 stars ,5 months ago,Good place but couldn't find a battery for my camera. I ended up buying from TaL.
21,Kamerz, 5 stars ,9 months ago,"Just great service, specifically from Jean-Francen, he was both helpful and professional and went out of his way to assist. The shop itself is really well kitted out and way bigger than I assumed, with a great range of kit, well worth a visit!"
22,Kamerz, 4 stars ,a year ago,"It's amazing to see how this iconic shop has evolved. I have seen it develop from being a smallish, cluttered shop, to the beautiful, well laid out and friendly store it is now. Staff are so knowledgeable and eager to engage. So many …"
23,Kamerz, 5 stars ,7 months ago,I was blown away by KAMERAZ – Not only was their advise great but their price beat anyone else and I received the delivery the day after I ordered. Truly impressive !
