,Name,Review Rate,Review Time,Review Text
0,Kebab Corner, 1 star ,5 months ago,"Unfortunately there was no hand soap, or hand sanitizer. The meat had more nerves and fat then proper meat. The owner is very nice, but the cleanliness is 0."
1,Kebab Corner, 5 stars ,5 months ago,Food is great and the sauce is better. I went here once and I’ve been craving it ever since. Went again and it was just as good. Highly recommend
2,Kebab Corner, 5 stars ,4 months ago,"Delicious food and very friendly staff.
I highly recommend.
Food is Halal."
3,Kebab Corner, 4 stars ,2 years ago,Nice place. They have amazing sauce which fit with kebab.
4,Kebab Corner, 2 stars ,3 years ago,"The food ist very tasty, but the owner was very unfriendly after he made a mistake. Very offensive against the customers."
5,Kebab Corner, 4 stars ,2 years ago,"Large and tasty, yet a bit fatty, chicken shawarma plate or roll at a decent price. Staff is just friendly enough to make your experience pleasant. If you looking for a quick Oriental meal, this is your place."
6,Kebab Corner, 1 star ,2 years ago,"Most disgusting garlic sauce ive ever had, and my döner kebab tasted really bad, ive been that day to another place and the döner kebab was really nice. I would never eat here anymore! Even for that price for an Döner kebab i would rather pay the double if the döner kebab is good"
7,Kebab Corner, 1 star ,2 years ago,"very bad experience, we asked for the kebad without salad and he put it on us and he did not want to change it, in fact we did not change it we had to remove the salad us, the lamb tasted weird and strong, the potatoes with a lot of salt despite  Say without salt, pieces of gummy and tasteless pizzas."
8,Kebab Corner, 1 star ,2 years ago,"People giving more then 1 star obviously have never eaten in a real turkish kebab house, service is bad the food bad, the handling of the food you eat is bad, but to let you know none of the workers are turkish, nor anything turkish about the place just the menu"
9,Kebab Corner, 5 stars ,2 years ago,"Had the shawarma sandwich, 6.5 euros, and it was really good. Staff were very friendly and nice. Thank you!"
10,Kebab Corner, 5 stars ,2 years ago,Nice place  u will luv it good price too
11,Kebab Corner, 5 stars ,2 years ago,Awesome chicken plate! Pretty dry falafel (whos like it that way). Not very crowded. …
12,Kebab Corner, 2 stars ,a year ago,"Kebab Corner doesn't even have tomatoes, onions and red cabbage to add to your kebab. Heavily overpriced, was really disappointed."
13,Kebab Corner, 1 star ,3 years ago,"The owner is really rude.
You are not allowed to eat inside and share your meal with your friend. If you want to share, you need to take out.
Do not go there if you want to be well served."
14,Kebab Corner, 2 stars ,2 years ago,Waiter seemed to bot like customers.  Food was mediocre. They sold no beer. They did not accept cards.
15,Kebab Corner, 2 stars ,2 years ago,I would give more stars if the food was not handled with their bare hands while wrapping my Shawarma
16,Kebab Corner, 5 stars ,2 years ago,"Best Chicken Kebab with Garlic Sauce, will be back for another few. My mouth is watering while I write this 😊"
17,Kebab Corner, 3 stars ,2 years ago,"Hit and miss with the service, the staff just seemed to give you what they wanted to as opposed to what you asked for, the food was lovely though"
18,Kebab Corner, 1 star ,3 years ago,"I would like to give zero starts, but thats not possible... the Kebab and the Hot-Dogs are very bad and the guys are unsympatical!!!"
19,Kebab Corner, 5 stars ,2 years ago,"This is a really good pleace the owner is really nice
And really good kapsalon.👍"
20,Kebab Corner, 4 stars ,2 years ago,Nice food reasonably priced considering where you are
21,Kebab Corner, 5 stars ,2 years ago,"Absolutely divine food, super friendly."
22,Kebab Corner, 5 stars ,3 years ago,Kebabs were so good I had to take 2 ! *_*
23,Kebab Corner, 1 star ,3 years ago,"was promised beer, but did not get any :( kebab tasted really bad"
24,Kebab Corner, 5 stars ,2 years ago,Good one.. Nice place for wraps
25,Kebab Corner, 5 stars ,a year ago,Delicious and generous portion.
26,Kebab Corner, 1 star ,2 years ago,Service here is awful. The guy was very rude.
27,Kebab Corner, 1 star ,2 years ago,The assistant was very rude. Awful!
28,Kebab Corner, 1 star ,2 years ago,Very rude service and unhygienic 😳 #firstnightinamsterdam.
29,Kebab Corner, 4 stars ,2 years ago,Very good dressing!
30,Kebab Corner, 5 stars ,3 years ago,Great food great service
31,Kebab Corner, 5 stars ,2 years ago,The best place to eat
32,Kebab Corner, 4 stars ,7 months ago,Reasonable
33,Kebab Corner, 1 star ,2 years ago,Even high it was disgusting
34,Kebab Corner, 3 stars ,2 years ago,Ok
35,Kebab Corner, 5 stars ,a year ago,Good fries
36,Kebab Corner, 3 stars ,2 years ago,Salty food.
37,Kebab Corner, 5 stars ,a week ago,"Fair, reasonable comfort food, as you could exect."
38,Kebab Corner, 1 star ,5 months ago,"(Translated by Google) A Flee no no no no! Food too bad no taste not fresh it looks like prepared several days before! Hygiene, let's not even talk about it with the prepared sandwiches put on the floor in the back kitchen, we were sick …"
39,Kebab Corner, 1 star ,3 months ago,(Translated by Google) What should have been a nice day in Amsterdam ends in a gigantic anti-climax: the doner sandwich was truly unbelievable. …
40,Kebab Corner, 5 stars ,3 years ago,"(Translated by Google) If you are Italian, this is the ideal place to find quality food that will satisfy your palates.
Average prices maybe the cheapest in all of Amsterdam but the food deserves …"
41,Kebab Corner, 5 stars ,a year ago,"(Translated by Google) Well, I can’t say it’s delicious, but it’s okay

(Original)
嗯，不能說好吃，但也還可以"
42,Kebab Corner, 1 star ,2 years ago,(Translated by Google) Bad food ... And what a surprise when I saw how it was stored ... Even the floor behind the counter! (see photo!) inadmissible dsl …
43,Kebab Corner, 1 star ,a year ago,"(Translated by Google) Absolutely not to eat, really not recommended ... The meat was much dry and cut into large chunks. If you come here to eat you must have suicidal tendencies! …"
44,Kebab Corner, 1 star ,a year ago,(Translated by Google) Food really is not to eat. Meat is not tasty and chips don't taste good either. Definitely not recommended. I had dinner with you yesterday (Sunday). …
45,Kebab Corner, 5 stars ,2 years ago,"(Translated by Google) Super good service! Also good food, cozy restaurant, not too big / not too small. Nice owner and the best hair salon! …"
46,Kebab Corner, 5 stars ,2 years ago,"(Translated by Google) The best Kebab wrap I've eaten in my life! I went the 6 days I was there, apart from having a good price and friendly and quick attention. …"
47,Kebab Corner, 5 stars ,2 years ago,"(Translated by Google) Excellent, really. But beware, exit the kebabs in 5th. We paid 24th for the two fried sandwiches. …"
48,Kebab Corner, 4 stars ,2 years ago,"(Translated by Google) Very good sandwich.
Boss and waiters are friendly, cheerful, and welcoming. …"
49,Kebab Corner, 4 stars ,a year ago,(Translated by Google) Good and great Doner kebabs at a good price. Very good service. They also take home. …
50,Kebab Corner, 3 stars ,2 years ago,"(Translated by Google) Really a great atmosphere! Kebab of good quality.

(Original) …"
51,Kebab Corner, 1 star ,a year ago,"(Translated by Google) You can't call it kebab💩

(Original) …"
52,Kebab Corner, 1 star ,3 years ago,(Translated by Google) Only the price is what it is worth and for the area. Hygiene 0 customer service 0 …
53,Kebab Corner, 5 stars ,2 years ago,"(Translated by Google) Very good

(Original)
Muito bom"
54,Kebab Corner, 5 stars ,a year ago,"(Translated by Google) Very tasty kebab !!

(Original)
Вельмі смачны Кебаб!!"
55,Kebab Corner, 5 stars ,2 years ago,"(Translated by Google) Great hair salon

(Original)
Heerlijke kapsalon"
56,Kebab Corner, 1 star ,a year ago,"(Translated by Google) I do not recommend 😔

(Original)
Je vous déconseille 😔"
57,Kebab Corner, 4 stars ,a year ago,"(Translated by Google) Nice people and snack

(Original)
Aardige mensen en lekkerhapje"
58,Kebab Corner, 4 stars ,2 years ago,"(Translated by Google) Tasty

(Original)
Lekkere"
59,Kebab Corner, 5 stars ,a year ago,"(Translated by Google) Good

(Original)
Gut"
60,Kebab Corner, 5 stars ,3 years ago,"(Translated by Google) Excellent

(Original)
Excellent"
61,Kebab Corner, 3 stars ,3 years ago,
62,Kebab Corner, 5 stars ,3 years ago,
63,Kebab Corner, 4 stars ,2 years ago,
64,Kebab Corner, 4 stars ,2 years ago,
65,Kebab Corner, 5 stars ,a year ago,
66,Kebab Corner, 5 stars ,3 years ago,
67,Kebab Corner, 4 stars ,3 years ago,
68,Kebab Corner, 5 stars ,2 years ago,
69,Kebab Corner, 1 star ,2 years ago,
70,Kebab Corner, 1 star ,2 years ago,
71,Kebab Corner, 4 stars ,2 years ago,
