,Name,Review Rate,Review Time,Review Text
0,Kedai Jalan-Jalan, 1 star ,2 years ago,We ordered the Rijsttafel Compact 2 days ago and it arrived quickly through UberEATS. The taste was good but unfortunately both my friend and I got sick. This is really not OK.
1,Kedai Jalan-Jalan, 5 stars ,2 years ago,"Good food. Family run restaurant, authentic Indonesian food."
2,Kedai Jalan-Jalan, 5 stars ,a year ago,Real tasty and good quality food. And that for a fair price!
3,Kedai Jalan-Jalan, 5 stars ,3 years ago,"I thought this was going to be an overrated Indonesian take away, but I was wrong. The food was outstanding and well priced. Not much seating room."
4,Kedai Jalan-Jalan, 4 stars ,3 years ago,"Tasty and reasonably priced,  could be a bit more diverse."
5,Kedai Jalan-Jalan, 4 stars ,a year ago,"Taste food, good sercice"
6,Kedai Jalan-Jalan, 4 stars ,4 years ago,Nice food and fast service
7,Kedai Jalan-Jalan, 3 stars ,a year ago,"(Translated by Google) Fine food, only found out too late that a spicy egg costs 2.50. Maybe they accidentally put golden eggs in it. For this money I prefer to go to the neighbors a block away- is at least as good. …"
8,Kedai Jalan-Jalan, 1 star ,3 years ago,"(Translated by Google) I am very surprised about the good reviews of this toko. The food was absolutely rubbish. Ordered nasi rames, both the ayam kecap, semoer, sayur lodeh and sayur buncis were tremendously watery. The white rice had been …"
9,Kedai Jalan-Jalan, 1 star ,a year ago,"(Translated by Google) Does not smell good, shrimp tough and salty and hot but no flavor, gado gado a shame! Just filthy. Raw vegetables with a gigantic satay sauce ..... (I hope it was indeed) …"
10,Kedai Jalan-Jalan, 5 stars ,a year ago,(Translated by Google) Good Indian take out with enough vegetarian (/ vegan) options. The food is not greasy and it tasted delicious ... Just try and enjoy! …
11,Kedai Jalan-Jalan, 5 stars ,a year ago,(Translated by Google) Enough choice in the different vegetarian options. I really enjoyed the rijsttafel! …
12,Kedai Jalan-Jalan, 4 stars ,9 months ago,"(Translated by Google) Great food for a good price!

(Original) …"
13,Kedai Jalan-Jalan, 2 stars ,2 years ago,"(Translated by Google) Food of moderate quality, not well seasoned at all

(Original) …"
14,Kedai Jalan-Jalan, 5 stars ,a year ago,"(Translated by Google) Always tasty!

(Original)
Altijd lekker!"
15,Kedai Jalan-Jalan, 5 stars ,2 years ago,"(Translated by Google) Very nice

(Original)
נחמד מאוד"
16,Kedai Jalan-Jalan, 5 stars ,2 years ago,"(Translated by Google) Good fresh affordable food

(Original)
Goed vers betaalbaar eten"
17,Kedai Jalan-Jalan, 4 stars ,3 years ago,"(Translated by Google) Good food for little

(Original)
Lekker eten voor weinig"
18,Kedai Jalan-Jalan, 5 stars ,4 years ago,"(Translated by Google) Delicious

(Original)
Heerlijk"
19,Kedai Jalan-Jalan, 5 stars ,4 years ago,"(Translated by Google) Truly Indonesian!

(Original)
Écht Indonesisch!"
