,Name,Review Rate,Review Time,Review Text
0,L'Amour, 1 star ,2 weeks ago,"Absolutely disgusting food.
How can anyone have the audacity to serve food so bad?
Everything looks like it has been out for a while so we asked the waiter if they …"
1,L'Amour, 1 star ,2 years ago,"Avoid this place at all costs!!! We were greeted with rudeness and paid over €18 for 2 coffees, a bagel and a pastry all of which was less than average food. My pastry came fried/grilled with chocolate all over it which I didn’t ask for and …"
2,L'Amour, 1 star ,4 months ago,"Very rude and disrespectful, I ask for a bill. He said I won’t give you. Do what you want to do!"
3,L'Amour, 5 stars ,5 months ago,"Cookies are amazing and also the toast 5 stars. The smoothies are so worth it, you need to get one!!"
4,L'Amour, 2 stars ,2 years ago,"Chocolate cookie was good, the bagel was alright. The coffee was under average and the orange juice was alright. I paid 27€ for these 4 items - so absolutely overpriced and feels like a tourist trap. Happened to me, shouldn’t happen to anyone else. Amsterdam has way better places to grab food - unfortunately we were in a hurry."
5,L'Amour, 3 stars ,2 years ago,"Nice selection of products, maybe too expensive considering  how is the store. Waffle starts from 4€"
6,L'Amour, 1 star ,a year ago,When passing by this store we noticed amazing looking sweets so we went in to have a better look. The staff weren’t very friendly but we craved a sweet treat and they looked delish so we ended up with an eclair and an oreo brownie. We had …
7,L'Amour, 1 star ,2 years ago,"The desserts were okay, but extremely over priced. It was 8 Euros for a single pastry, which is the exact same as the ones you can get anywhere in the area. It's not price competitive and the pastry was okay, but nothing extraordinary so I …"
8,L'Amour, 4 stars ,3 years ago,"Nice variety of desserts, waffles, cheese cakes be lots of chocolate / caramel tasty stuff …"
9,L'Amour, 4 stars ,2 years ago,"We has two bagels, one was mozzarella and tomatoes and the other was chicken curry and lettuce. The tomatoes werent very fresh but overall they were quite nice. …"
10,L'Amour, 3 stars ,3 years ago,"Extremely overpriced mediocre shop. Was in a hurry and need a very quick on the go bite, so  I got lured in by the ""bagel"" sign on the window. Ordered 2 bagels without really looking at the menu and was shocked at the 10 euro price! 5 euro …"
11,L'Amour, 1 star ,3 years ago,"!!!DO NOT GO THERE!!! - 10 STARS!!!!

The food is under average and way overpriced! …"
