,Name,Review Rate,Review Time,Review Text
0,L'arco Pizzeria, 5 stars ,4 years ago,"Best place in town the chef is 5 stars the staff is very friendly you can eat an amazing food in this amazing.
Il miglior posto della cita dove si mangaia si paga gisuto e lo staff e sempre a disposizione. 5 stelle"
1,L'arco Pizzeria, 5 stars ,2 weeks ago,Top!
2,L'arco Pizzeria, 5 stars ,5 years ago,"The restaurant that introduced me to Italian food when I lived in Latina. Amazing pizza, pasta and meat. I don't like seafood but my friends loved it. The staff is great. The owner treated me like family. This is a must visit place anytime …"
3,L'arco Pizzeria, 3 stars ,4 years ago,"This place is always busy in the evening. However, we went on a Saturday lunchtime and it was practically empty.  I had amatriciana. It was very tasty initially but found 2 bits of grissle in it which put me off returning."
4,L'arco Pizzeria, 5 stars ,6 years ago,"It is a great place. Big pizza, thin pasta, personnel very friendly.
Been there twice and twice a great moment of pleasure"
5,L'arco Pizzeria, 3 stars ,4 years ago,Nice place for a light meal with fast service and quite. Very good Italian food.
6,L'arco Pizzeria, 4 stars ,3 years ago,The food was decent and plentiful and rather modestly priced.
7,L'arco Pizzeria, 4 stars ,4 years ago,"Bit chilly in the winter, but tasty food at great prices."
8,L'arco Pizzeria, 3 stars ,4 years ago,Good food but a bit expensive. Friendly staff.
9,L'arco Pizzeria, 5 stars ,a year ago,Very good food for good value.
10,L'arco Pizzeria, 2 stars ,4 years ago,Not very good. At least the food was fresh
11,L'arco Pizzeria, 5 stars ,3 years ago,Wonderful staff and delicious pizza
12,L'arco Pizzeria, 5 stars ,5 years ago,Great place. Pic added.
13,L'arco Pizzeria, 5 stars ,2 years ago,TOP
14,L'arco Pizzeria, 5 stars ,2 years ago,Excellent NM
15,L'arco Pizzeria, 5 stars ,a week ago,super🤩❤️
16,L'arco Pizzeria, 4 stars ,5 months ago,"(Translated by Google) Cheap restaurant and pizzeria. Pretty location, easy to reach given its centrality and the large availability of parking. The staff are very friendly and helpful. The menu offers good choices of both meat and fish not …"
