,Name,Review Rate,Review Time,Review Text
0,La Bastille, 1 star ,5 years ago,My colleagues from work went inside for a Christmas night together. The man at the door didn't allow my friend and I to step in because we couldn't speak Dutch. In my personal opinion this was a bit racist. The guy at the door confirm it by …
1,La Bastille, 4 stars ,7 years ago,this place gets crazy late at night and is a place that amsterdam folks love to end up drinking and singing along to dutch drinking songs until early in the morning... good thing is they take bank cards so you can buy a few rounds of drinks for your work mates
2,La Bastille, 4 stars ,5 years ago,"Good bar for beers and music till late. You can dance and drink, but don't expect good DJs or anything fancy."
3,La Bastille, 1 star ,4 years ago,The bouncer kicked me out for not paying €0.50 for going to the toilet after paying €54 for a round of drinks. Don't go here.
4,La Bastille, 5 stars ,2 years ago,How do I contact your bar . I left my black Volcom  jacket at your bar last night
5,La Bastille, 4 stars ,2 years ago,Typical Dutch cafe ! Nice and decent crowds !
6,La Bastille, 4 stars ,6 years ago,Very nice bar with great music!
7,La Bastille, 3 stars ,2 years ago,Nice old mariscal place
8,La Bastille, 5 stars ,2 years ago,Love it
9,La Bastille, 4 stars ,2 years ago,(Translated by Google) Café La Bastille ????? I had drunk but I am sure that I was in Amstel 54. Nice place. …
10,La Bastille, 2 stars ,6 years ago,"(Translated by Google) Too many people are allowed on step evenings, so there is no room for dancing and it is difficult to get to the bar. …"
11,La Bastille, 3 stars ,2 years ago,(Translated by Google) Great party cafe but a pity that fighters are not immediately put out by their friendly bouncers …
12,La Bastille, 5 stars ,2 years ago,(Translated by Google) Here you just want to step inside and celebrate. What a puke of a tent is this! …
13,La Bastille, 4 stars ,2 years ago,"(Translated by Google) Cozy bar, Top DJ that also plays request numbers. Top

(Original) …"
14,La Bastille, 5 stars ,a year ago,"(Translated by Google) Our coffee is very good, do not let yourself see the last floor …"
15,La Bastille, 4 stars ,4 years ago,"(Translated by Google) Was nice and busy again, beer was good

(Original) …"
16,La Bastille, 5 stars ,2 years ago,"(Translated by Google) Top tent..super cozy

(Original)
Top tent..super gezellig"
17,La Bastille, 4 stars ,3 years ago,"(Translated by Google) Always good for an evening of drinking in 020

(Original) …"
18,La Bastille, 4 stars ,2 years ago,"(Translated by Google) Usually pleasantly busy on weekends

(Original) …"
19,La Bastille, 5 stars ,4 years ago,"(Translated by Google) A nice Dutch dance cafe!

(Original) …"
20,La Bastille, 5 stars ,2 years ago,"(Translated by Google) Amazing as the city itself

(Original) …"
21,La Bastille, 5 stars ,4 years ago,"(Translated by Google) Top tent

(Original)
Top tent"
22,La Bastille, 5 stars ,2 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
23,La Bastille, 3 stars ,5 years ago,"(Translated by Google) Cozy

(Original)
Wel gezellig"
24,La Bastille, 5 stars ,2 years ago,
25,La Bastille, 4 stars ,2 years ago,
26,La Bastille, 4 stars ,4 years ago,
27,La Bastille, 2 stars ,2 years ago,
28,La Bastille, 5 stars ,2 years ago,
29,La Bastille, 4 stars ,2 years ago,
